	inchi_key	smiles	cas_number	moa	target	title	name	cid
IF-72-BO18	IAASQMCXDRISAV-CYBMUJFWSA-N	O=C(N[C@H](Cc1ccccc1)C(=O)O)c1sc2cc(F)ccc2c1Cl	1279713-77-7	TLR3 gene inhibitor	['TLR3']	CU CPT 4a	(2R)-2-[(3-chloro-6-fluoro-1-benzothiophene-2-carbonyl)amino]-3-phenylpropanoic acid	53242268
AA-44-BX20	BLQAXSAXSUNGMZ-UHFFFAOYSA-N	COc1ccc(-c2cnc(Nc3ccc(CCN4CCC(C(=O)O)CC4)cc3)nc2)cc1			[]	1-[2-[4-[[5-(4-Methoxyphenyl)pyrimidin-2-yl]amino]phenyl]ethyl]piperidine-4-carboxylic acid	1-[2-[4-[[5-(4-methoxyphenyl)pyrimidin-2-yl]amino]phenyl]ethyl]piperidine-4-carboxylic acid	16129187
DB-69-JG66	DRDIHUMOFDGYRJ-UHFFFAOYSA-N	CCN(CC)CCCNC(=O)Cn1nc(C)n2c(cc3sccc32)c1=O			[]	N-[3-(diethylamino)propyl]-2-(12-methyl-9-oxidanylidene-5-thia-1,10,11-triazatricyclo[6.4.0.0^2,6]dodeca-2(6),3,7,11-tetraen-10-yl)ethanamide	N-[3-(diethylamino)propyl]-2-(12-methyl-9-oxo-5-thia-1,10,11-triazatricyclo[6.4.0.02,6]dodeca-2(6),3,7,11-tetraen-10-yl)acetamide	16011141
AB-16-LY07	PHVGLTMQBUFIQQ-UHFFFAOYSA-N	CNCCC=C1c2ccccc2CCc2ccccc21	203784-52-5	K(ir) 4.1 Blockers	['KCNJ10']	Nortriptyline	N-methyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine	4543
GB-06-BA49	KILIYQSGUAKAHL-UHFFFAOYSA-N	Cc1cccc(-c2cc(-c3cncc(-c4ccc(C(C)N)cc4)c3)c3cc[nH]c3n2)n1	1171894-79-3	Activin receptor antagonist	['TGFBR1']	1-[4-[5-[6-(6-methylpyridin-2-yl)-1H-pyrrolo[2,3-b]pyridin-4-yl]pyridin-3-yl]phenyl]ethanamine	1-[4-[5-[6-(6-methylpyridin-2-yl)-1H-pyrrolo[2,3-b]pyridin-4-yl]pyridin-3-yl]phenyl]ethanamine	44195094
PA-75-VL17					[]			
HB-49-VZ71	VPBYZLCHOKSGRX-UHFFFAOYSA-N	CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl	286370-15-8	VEGFR-2 (FLK-1/KDR) Inhibitors;Angiogenesis Inhibitors;Inhibitors of Signal Transduction Pathways	['MAPK4' 'MAPK6' 'MAPK7' 'MAPK12' 'MAPK15']	Krn-633	1-[2-chloro-4-(6,7-dimethoxyquinazolin-4-yl)oxyphenyl]-3-propylurea	9549295
CB-83-LF14	VDPYORASPBMPQL-LBPRGKRZSA-N	CC(C)OCCCNCC(=O)N1CCC[C@H]1C#N		DP-IV) Inhibitors;DPP-IV;Dipeptidyl Peptidase IV (CD26	['DPP4']	(2S)-1-[2-(3-propan-2-yloxypropylamino)acetyl]pyrrolidine-2-carbonitrile	(2S)-1-[2-(3-propan-2-yloxypropylamino)acetyl]pyrrolidine-2-carbonitrile	15480182
DE-59-OT87	WQTKNBPCJKRYPA-OAQYLSRUSA-N	CCOc1ccc(-n2c([C@@H](C)N(Cc3cccnc3)C(=O)Cc3ccc(OC(F)(F)F)cc3)nc3ncccc3c2=O)cc1	473719-41-4	Chemokine CXCR3 Antagonists	['CXCR3']	N-[(1R)-1-[3-(4-ethoxyphenyl)-4-oxopyrido[2,3-d]pyrimidin-2-yl]ethyl]-N-(pyridin-3-ylmethyl)-2-[4-(trifluoromethoxy)phenyl]acetamide	N-[(1R)-1-[3-(4-ethoxyphenyl)-4-oxopyrido[2,3-d]pyrimidin-2-yl]ethyl]-N-(pyridin-3-ylmethyl)-2-[4-(trifluoromethoxy)phenyl]acetamide	24957182
QA-73-SR92					[]			
