	pert_name	target	moa	canonical_smiles	inchi_key	compound_aliases	sig_count
BRD-K60230970	MG-132	PSMB1	Proteasome inhibitor	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O	TZYWCYJVHRLUCT-VABKMULXSA-N	-	8257
BRD-K50691590	bortezomib	PSMB2, PSMB5, PSMB1	Proteasome inhibitor, NFKB pathway inhibitor	CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O	RFGAQTOFZHCFHG-NVXWUHKLSA-N	-	6776
BRD-K81418486	vorinostat	HDAC8, HDAC2, HDAC3, HDAC6, HDAC1	HDAC inhibitor	ONC(=O)CCCCCCC(=O)Nc1ccccc1	WAEXFXRVDQXREF-UHFFFAOYSA-N	-	3244
BRD-K49865102	PD-0325901	MAP2K1	MEK inhibitor, Protein kinase inhibitor, MAP kinase inhibitor	OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F	SUDAHWBOROXANE-SECBINFHSA-N	-	1796
BRD-K21680192	mitoxantrone	TOP2A	Topoisomerase inhibitor	OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12	KKZJGLLVHKMTCM-UHFFFAOYSA-N	-	1740
BRD-K88510285	bortezomib	PSMB2, PSMB5, PSMB1	Proteasome inhibitor, NFKB pathway inhibitor	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	GXJABQQUPOEUTA-RDJZCZTQSA-N	-	1735
BRD-A79768653	sirolimus	MTOR, FKBP1A	MTOR inhibitor	COC1CC(CC(C)C2CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C(C)C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)OC)CCC1O	QFJCIRLUMZQUOT-XWBLMERNSA-N	-	1603
BRD-A75409952	wortmannin	PLK1, PIK3CA, PIK3CG	PI3K inhibitor	COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O	QDLHCMPXEPAAMD-UHFFFAOYSA-N	-	1558
BRD-K49328571	dasatinib	KIT, LCK, PDGFRB, SRC, EPHA2, BCR, YES1, ABL1, LYN, FYN	Ephrin inhibitor, PDGFR inhibitor, Tyrosine kinase inhibitor, Src inhibitor, KIT inhibitor, Abl kinase inhibitor	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	-	1513
BRD-A19037878	BRD-A19037878	-	-	CC(C=C(C)C=CC(=O)NO)C(=O)c1ccc(cc1)N(C)C	RTKIYFITIVXBLE-WKWSCTOISA-N	trichostatin-a	1442
BRD-A19500257	geldanamycin	HSP90AA1	HSP inhibitor	COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)C(C)=CC=CC(OC)C(OC(N)=O)C(C)=CC(C)C1O)C2=O	QTQAWLPCGQOSGP-VDYWNIEOSA-N	-	1385
BRD-K70401845	erlotinib	EGFR	EGFR inhibitor	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC	AAKJLRGGTJKAMG-UHFFFAOYSA-N	-	1134
BRD-K57080016	selumetinib	MAP2K1	MEK inhibitor	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO	CYOHGALHFOKKQC-UHFFFAOYSA-N	-	1121
BRD-K68065987	MK-2206	AKT1	Akt inhibitor	NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1	ULDXWLCXEDXJGE-UHFFFAOYSA-N	-	1093
BRD-A13084692	troglitazone	PPARG	Insulin sensitizer, PPAR receptor agonist	Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O	GXPHKUHSUJUWKP-UHFFFAOYSA-N	-	1092
BRD-K64052750	gefitinib	EGFR	EGFR inhibitor	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	XGALLCVXEZPNRQ-UHFFFAOYSA-N	-	1011
BRD-K52911425	GDC-0941	PIK3CG	PI3K inhibitor	CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1	LHNIIDJUOCFXAP-UHFFFAOYSA-N	-	1009
BRD-K02113016	olaparib	PARP1, PARP2	PARP inhibitor	Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	FDLYAMZZIXQODN-UHFFFAOYSA-N	-	999
BRD-K77908580	entinostat	HDAC1	HDAC inhibitor	Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	INVTYAOGFAGBOE-UHFFFAOYSA-N	-	988
BRD-K66175015	afatinib	ERBB2, ERBB4, EGFR	EGFR inhibitor	CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	ULXXDDBFHOBEHA-CWDCEQMOSA-N	-	983
