compound_1,compound_2,pubchem_cid_1,pubchem_cid_2,morgan_tanimoto,maccs_tanimoto,cactvs_pubchem_tanimoto
agmatine,histamine,199.0,774.0,0.1111111111111111,0.4722222222222222,0.26804123711340205
agmatine,hypoxanthine,199.0,790.0,0.02631578947368421,0.11320754716981132,0.20952380952380953
agmatine,orotic-acid,199.0,967.0,0.02564102564102564,0.14545454545454545,0.24285714285714285
agmatine,zopolrestat,199.0,1613.0,0.02857142857142857,0.13333333333333333,0.095
agmatine,oxyquinoline,199.0,1923.0,0.02564102564102564,0.045454545454545456,0.10059171597633136
agmatine,acemetacin,199.0,1981.0,0.029411764705882353,0.09859154929577464,0.07339449541284404
agmatine,acetohexamide,199.0,1989.0,0.03773584905660377,0.25,0.18032786885245902
agmatine,adiphenine,199.0,2031.0,0.041666666666666664,0.20833333333333334,0.13392857142857142
agmatine,alrestatin,199.0,2120.0,0.044444444444444446,0.12280701754385964,0.11940298507462686
agmatine,am-251,199.0,2125.0,0.028985507246376812,0.22388059701492538,0.12429378531073447
agmatine,ametantrone,199.0,2134.0,0.1111111111111111,0.3148148148148148,0.14666666666666667
agmatine,bhq,199.0,2374.0,0.030303030303030304,0.022727272727272728,0.07964601769911504
agmatine,butamben,199.0,2482.0,0.09302325581395349,0.21428571428571427,0.12307692307692308
agmatine,chlorambucil,199.0,2708.0,0.06382978723404255,0.3181818181818182,0.12598425196850394
agmatine,chlorpropham,199.0,2728.0,0.06382978723404255,0.10638297872340426,0.1504424778761062
agmatine,chlorzoxazone,199.0,2733.0,0.0,0.07407407407407407,0.1095890410958904
agmatine,clofibric-acid,199.0,2797.0,0.023255813953488372,0.0,0.072
agmatine,cinchocaine,199.0,3025.0,0.09836065573770492,0.26229508196721313,0.12105263157894737
agmatine,dibutyl-phthalate,199.0,3026.0,0.07317073170731707,0.10869565217391304,0.07563025210084033
agmatine,ebastine,199.0,3191.0,0.0625,0.18181818181818182,0.11764705882352941
agmatine,fenthion,199.0,3346.0,0.0,0.017857142857142856,0.07692307692307693
agmatine,flopropione,199.0,3362.0,0.05263157894736842,0.06521739130434782,0.06976744186046512
agmatine,gabexate,199.0,3447.0,0.3191489361702128,0.5434782608695652,0.17777777777777778
agmatine,vanoxerine,199.0,3455.0,0.03636363636363636,0.21153846153846154,0.14049586776859505
agmatine,gemfibrozil,199.0,3463.0,0.06,0.11320754716981132,0.06870229007633588
agmatine,guanidinoethyldisulfide-bicarbonate,199.0,3521.0,0.48,0.8333333333333334,0.6764705882352942
agmatine,haloprogin,199.0,3561.0,0.023255813953488372,0.045454545454545456,0.06299212598425197
agmatine,hexachlorophene,199.0,3598.0,0.05405405405405406,0.06818181818181818,0.05925925925925926
agmatine,hycanthone,199.0,3634.0,0.06557377049180328,0.2833333333333333,0.1206896551724138
agmatine,ibmx,199.0,3758.0,0.019230769230769232,0.16176470588235295,0.2066115702479339
agmatine,qx-314,199.0,3925.0,0.06666666666666667,0.23076923076923078,0.17699115044247787
agmatine,linopirdine,199.0,3932.0,0.018867924528301886,0.08771929824561403,0.12025316455696203
agmatine,lobenzarit,199.0,3946.0,0.043478260869565216,0.10204081632653061,0.11258278145695365
agmatine,mafenide,199.0,3998.0,0.08333333333333333,0.23076923076923078,0.20652173913043478
agmatine,mebendazole,199.0,4030.0,0.03508771929824561,0.17857142857142858,0.1270718232044199
agmatine,mesalazine,199.0,4075.0,0.05128205128205128,0.13333333333333333,0.10638297872340426
agmatine,methapyrilene,199.0,4098.0,0.018518518518518517,0.24528301886792453,0.15492957746478872
agmatine,methazolamide,199.0,4100.0,0.041666666666666664,0.12987012987012986,0.39622641509433965
agmatine,nocodazole,199.0,4122.0,0.03225806451612903,0.1724137931034483,0.11616161616161616
agmatine,metoclopramide,199.0,4168.0,0.1111111111111111,0.2903225806451613,0.12209302325581395
agmatine,naratriptan,199.0,4440.0,0.03125,0.2465753424657534,0.1411042944785276
agmatine,nimesulide,199.0,4495.0,0.03636363636363636,0.0945945945945946,0.11724137931034483
agmatine,oxidopamine,199.0,4624.0,0.15151515151515152,0.3488372093023256,0.152
agmatine,pacocf3,199.0,4670.0,0.08108108108108109,0.1282051282051282,0.17647058823529413
agmatine,pimethixene,199.0,4822.0,0.0,0.16363636363636364,0.15384615384615385
agmatine,pj-34,199.0,4858.0,0.05357142857142857,0.18333333333333332,0.1388888888888889
agmatine,promazine,199.0,4926.0,0.043478260869565216,0.2,0.14782608695652175
agmatine,mepyramine,199.0,4992.0,0.01818181818181818,0.23214285714285715,0.13253012048192772
