drug_name,pubchem_cid,smiles,moa,target,fda_approved,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,umap_1,umap_2
be-2254,86308637,Oc1ccc(CCNC[C@H]2CCc3ccccc3C2=O)cc1 |r|,adrenergic receptor antagonist,ADRA1A,False,-4.3861127,4.102465,6.2162037,-0.2586728,10.162117,4.865364,-0.09736821,-2.8216918,-0.42407918,-0.6105364,4.1114607,-9.05307,3.182982,-7.0190773,-2.6482534,1.6327908,2.4720473
tasimelteon,10220503,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2OCCc12,melatonin receptor agonist,MTNR1A|MTNR1B,True,-2.475837,5.107546,6.7199116,1.0816871,9.151881,6.534824,0.36187118,-2.5043755,2.1331887,0.012761913,4.9754643,-9.534292,5.0917754,-2.380114,-0.7124889,1.900512,0.82934535
esaxerenone,25052023,Cc1c(cn(CCO)c1-c1ccccc1C(F)(F)F)C(=O)Nc1ccc(cc1)S(C)(=O)=O,mineralocorticoid receptor antagonist,,False,-3.7260334,-2.6906295,4.3660083,0.16839969,9.643325,6.0270057,-2.2722228,-4.4403014,2.1124916,0.62145597,6.2482285,-6.874542,-1.7922857,-8.058927,3.9171586,-0.13147603,0.5912172
ixazomib-citrate,69040311,"CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C[C@@](CC(O)=O)(O1)C(O)=O |a:4,&1:25|",proteasome inhibitor,,True,-1.9318709,0.21830873,3.9732878,1.4293358,2.7092562,3.2482533,0.7141664,-2.3447149,1.5425959,-1.5208654,5.4420958,-2.4588916,1.0296285,-5.838616,1.6867332,0.51072925,-2.350053
alendronate,44400013,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,bone resorption inhibitor,ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS,True,-3.9043846,4.1145015,7.306038,2.1665905,0.41597402,0.39524442,-6.0514493,-2.3423076,3.699525,-2.8971608,8.015383,-3.2435894,1.271625,-4.694563,0.32653254,-0.8930335,-5.001771
dazmegrel,53555,Cc1c(Cn2ccnc2)c2ccccc2n1CCC(O)=O,thromboxane synthase inhibitor,TBXAS1,False,-3.610833,-0.32887518,5.0637956,4.2195597,9.29917,1.665936,-1.3648545,-4.9914665,-3.9963386,-0.9516206,5.8605375,-5.084896,5.329175,-7.5253873,1.7848029,-0.6979454,-1.6335386
nobiletin,72344,COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1,MEK inhibitor,MAP2K1,False,-5.59947,4.6150856,6.1107163,0.04059591,7.673475,9.666121,-2.457162,2.8623548,-2.6198013,-0.65969026,5.1155868,-0.68561727,1.9675639,1.6831146,-0.22495417,-0.796249,-0.55514
azd7986,118253852,Cn1c2cc(ccc2oc1=O)-c1ccc(C[C@H](NC(=O)[C@@H]2CNCCCO2)C#N)cc1,dipeptidyl peptidase inhibitor,,False,0.16909428,1.6816612,2.2260344,-0.059003834,6.4881744,2.3905647,0.22892007,-3.2411604,1.7884293,1.717052,2.9590647,-7.720338,3.6283379,-1.0033567,0.09969349,3.0250247,-0.934458
bebt-908,59474330,CNc1ccc(cn1)-c1nc(N2CCOCC2)c2sc(CN(C)c3ncc(cn3)C(=O)NO)cc2n1,PI3K inhibitor,,False,1.9480188,-1.9711018,0.73126745,-0.11860001,8.233685,4.0360546,1.5560265,-2.3580048,-1.2088164,3.3239577,4.7042947,-6.8587756,6.145568,-1.2693361,1.3976572,2.8877087,-0.073092185
nitromide,4511,NC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,,,True,-3.7008297,0.6743633,8.569816,-2.7566059,7.829927,6.6489644,-6.193973,-1.6153343,1.8973494,-1.7709237,11.211759,-8.586085,0.70635617,-9.761351,-1.1357253,-2.584877,1.3958875
saroglitazar,60151560,CCO[C@@H](Cc1ccc(OCCn2c(C)ccc2-c2ccc(SC)cc2)cc1)C(O)=O,PPAR receptor agonist,PPARA|PPARG,True,-1.0746195,2.2557054,7.34037,3.9489436,6.6093154,3.9388576,-1.0100034,-1.631259,-0.88966256,0.36449152,6.3128386,-5.736522,4.9295945,-0.60676914,4.4711246,0.024670226,-1.3600297
l-368899,9872389,Cc1ccccc1N1CCN(CC1)S(=O)(=O)C[C@]12CC[C@H](C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C,oxytocin receptor antagonist,AVPR1A|AVPR2|OXTR,False,1.136209,2.4289293,6.275605,-0.30463374,4.1160064,3.918015,1.7162778,-1.8821115,4.944219,-0.06786661,5.4984446,-9.061292,1.5739186,-4.9419723,1.0254283,5.0366173,0.110253096
betamethasone-valerate,16533,"CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO |c:19,t:15|",glucocorticoid receptor agonist,NR3C1,True,3.298987,-1.5725127,8.675012,-10.163833,1.9080111,1.0111665,10.301135,4.6229386,-1.378273,0.90118515,-0.4487561,-16.037374,-3.365196,-9.135284,-4.6798763,9.520978,0.046784017
2-methylimidazole,12749,Cc1ncc[nH]1,cholesterol inhibitor,,False,-1.7642119,1.9919171,1.2180083,2.1560214,4.596892,1.3194321,-4.806543,-1.7021686,-0.19004196,-0.554287,5.8539414,0.33613288,3.349603,-3.0011032,-0.41829222,1.4735278,-3.2211277
pnu-282987,9795278,Clc1ccc(cc1)C(=O)N[C@H]1CN2CCC1CC2,cholinergic receptor agonist,CHRNA7,False,0.38220716,-0.09337357,2.3738482,1.2537009,5.358981,4.1008463,2.1035233,-3.0741124,3.3721912,-0.81892204,6.9971943,-4.0678267,3.9313457,-9.384104,-0.49073127,3.651184,0.5133971
kx2-391,23635314,O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1,SRC inhibitor|tubulin polymerization inhibitor,SRC,False,-3.2203271,-0.5336005,4.8609724,2.8837905,13.963215,5.335324,1.5181375,-3.803882,-4.0323324,3.0665905,4.9282155,-9.396681,9.922853,-2.1330302,1.0195956,1.9213959,1.4340476
asivatrep,56649347,CCCc1nc(ccc1\C=C\C(=O)N[C@H](C)c1cc(F)c(NS(C)(=O)=O)c(F)c1)C(F)(F)F,transient receptor potential channel antagonist,,False,-5.006434,-0.7639636,5.418715,2.6822119,6.6703334,3.2717688,-4.0825286,-3.256347,1.8417444,2.044407,5.0962815,-4.695185,0.92780405,-0.1465166,5.642355,0.2230631,-2.1079087
diclofenac,3033,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A,True,-6.844188,0.5886902,6.149482,3.4177964,7.958834,4.845069,-3.1137836,-4.431285,-0.79692996,-2.2356055,6.726668,-2.7622883,1.0620382,-8.930863,2.4783244,-1.7050138,0.116063
emeramide,21133161,SCCNC(=O)c1cccc(c1)C(=O)NCCS,antioxidant,,False,-7.714597,-0.7253017,8.515863,3.4864507,7.090128,3.858039,-5.215677,-3.9581716,0.6474091,-0.6682618,10.041638,-4.0129247,4.180524,-8.614304,2.7080083,-2.9531486,-0.18730992
hemado,10981286,CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3,False,-2.1950622,5.317243,5.50279,3.4177506,4.4154243,-4.062125,-4.3879466,-0.6362963,2.7845466,4.708674,2.0493915,-6.026906,7.3703656,6.7551894,1.6061611,4.2525244,-5.145965
proadifen,4910,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,nitric oxide synthase inhibitor,NOS1,False,-10.807233,3.4632976,13.057863,4.701701,8.789277,9.497785,-2.5168023,-3.6585011,-0.5661655,-4.7421846,8.583525,-5.33157,-1.0468862,-8.858692,4.2410364,-3.8074799,0.11704772
simvastatin,54454,"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12 |c:14,t:12|",HMGCR inhibitor,HMGCR|ITGB2,True,3.5072536,3.0528245,3.7290745,1.4170697,0.4808786,0.32727593,3.4076385,-0.46828732,2.7095513,0.08292937,3.8637621,-5.539838,5.400933,-0.4404312,-0.47705463,6.0071063,-2.7427907
gabexate,3447,CCOC(=O)c1ccc(OC(=O)CCCCCNC(N)=N)cc1,serine protease inhibitor,PRSS1|TPSAB1,True,-10.64122,0.046135813,18.162727,4.4164624,9.02904,8.3834305,-5.12321,-0.51893246,2.190716,0.20865242,15.109633,-8.199432,6.961699,-8.531626,5.2275476,-4.0992393,0.31990075
cis-aconitic-acid,643757,OC(=O)C\C(=C\C(O)=O)C(O)=O,,ACO2,False,-4.1978846,1.164464,5.979405,1.0290198,2.868355,3.7817698,-1.4984002,-2.7838576,0.98700744,-2.9747431,6.486143,-3.8888485,1.0465841,-6.901793,-0.18071207,-1.5163713,-4.4081316
thioperamide,6604452,"S=C(NC1CCCCC1)N1CCC(CC1)[C@H]1C=NC=N1 |r,c:18,20|",histamine receptor antagonist,HRH3|HRH4,False,-2.0087664,-0.44664145,1.8795948,0.13444504,4.8300614,1.2554466,-1.576433,-2.0064368,5.3950977,1.3914433,6.0132074,-3.4628499,4.4335747,-7.7490835,-2.3224525,4.866397,0.039470498
methicillin,6087,COc1cccc(OC)c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,bacterial cell wall synthesis inhibitor,,True,3.3175313,1.5216428,5.1747603,-2.4844198,6.35536,7.1898923,6.8271422,-2.0819073,-1.1071833,-3.4171138,6.770159,-10.495947,2.590999,-9.993531,-3.4004226,12.032694,-2.3936496
capadenoson,9936489,Nc1nc(SCc2csc(n2)-c2ccc(Cl)cc2)c(C#N)c(-c2ccc(OCCO)cc2)c1C#N,adenosine receptor agonist,ADORA1,False,-0.88206124,1.5817354,2.6520615,2.7201662,3.22818,0.66499174,-4.0317464,-1.4165343,0.48238516,0.73865,4.1533313,-0.55358464,-0.12531358,1.1628134,4.597092,1.7854605,-2.8097324
fluvoxamine,5324346,COCCCC\C(=N/OCCN)c1ccc(cc1)C(F)(F)F,selective serotonin reuptake inhibitor (SSRI),SLC6A4,True,-2.8259902,1.1790446,5.801905,0.16152027,5.440265,7.6854486,-2.9260738,-0.47658327,0.17996131,-1.1639271,7.03153,-3.3578947,-1.3952615,-2.9859982,3.4407058,-0.57439065,0.5815939
cp-316819,10273347,CON(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1,glycogen phosphorylase inhibitor,PYGL,False,-3.2051249,0.07439028,6.171101,4.0112834,5.665403,3.79019,3.1878133,-4.1081905,-3.278599,-2.60718,4.4387336,-4.269021,2.633306,-7.4236956,2.8062851,-0.46625537,-1.9070574
bay-11-7085,5353432,CC(C)(C)c1ccc(cc1)S(=O)(=O)\C=C\C#N,NFkB pathway inhibitor,NFKBIA,False,-4.49277,1.3473364,4.9707522,-0.5675165,5.6934733,4.301786,-6.2370124,-1.5072409,1.8719069,-0.60693884,5.7272778,-3.8223143,-3.6615133,-3.522777,2.4066036,-0.7268642,0.59555656
capsazepine,2733484,Oc1cc2CCCN(Cc2cc1O)C(=S)NCCc1ccc(Cl)cc1,TRPV agonist,TRPV1|TRPV4,False,-6.0799108,0.51075566,4.6464076,1.1335166,7.4705315,2.0459044,-2.4204497,-2.437121,2.2182279,0.9281768,4.664105,-4.2890244,2.2737327,-7.6981335,-0.22447784,0.6421438,0.74208397
