record_id,name,pubchem_cid,inchi_key,smiles,broad_id,moa,target,clinical_phase,disease_area,indication,fda_approved,molecular_weight,logP,TPSA,h_bond_donors,h_bond_acceptors,rotatable_bonds,aromatic_rings,heavy_atoms,formal_charge
be-2254,be-2254,86308637,PZZOEXPDTYIBPI-MRXNPFEDSA-N,Oc1ccc(CCNC[C@H]2CCc3ccccc3C2=O)cc1 |r|,BRD-A24429032-003-03-2,adrenergic receptor antagonist,ADRA1A,Phase 2,,,False,295.382,2.9696000000000016,49.33,2,3,5,2,22,0
tasimelteon,tasimelteon,10220503,PTOIAAWZLUQTIO-GXFFZTMASA-N,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2OCCc12,BRD-K62971431-001-01-9,melatonin receptor agonist,MTNR1A|MTNR1B,Launched,neurology/psychiatry,Non-24-Hour Sleep-Wake Disorder,True,245.32199999999995,2.2512,38.33,1,2,4,1,18,0
esaxerenone,esaxerenone,25052023,NOSNHVJANRODGR-UHFFFAOYSA-N,Cc1c(cn(CCO)c1-c1ccccc1C(F)(F)F)C(=O)Nc1ccc(cc1)S(C)(=O)=O,BRD-K00003374-001-01-9,mineralocorticoid receptor antagonist,,Preclinical,,,False,466.48100000000017,4.130420000000003,88.4,2,4,6,3,32,0
ixazomib-citrate,ixazomib-citrate,69040311,YTXSYWAKVMZICI-VBKZILBWSA-N,"CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C[C@@](CC(O)=O)(O1)C(O)=O |a:4,&1:25|",BRD-A66419424-001-02-4,proteasome inhibitor,,Launched,hematologic malignancy,multiple myeloma,True,517.1270000000003,1.5430999999999993,168.32999999999998,4,7,10,1,34,0
alendronate,alendronate,44400013,OGSPWJRAVKPPFI-UHFFFAOYSA-N,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,BRD-K75527158-360-05-6,bone resorption inhibitor,ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS,Launched,orthopedics,osteoporosis,True,249.096,-1.2731999999999999,161.31,6,4,5,0,14,0
dazmegrel,dazmegrel,53555,DEQLGSOHGTZKFB-UHFFFAOYSA-N,Cc1c(Cn2ccnc2)c2ccccc2n1CCC(O)=O,BRD-K20738689-001-01-2,thromboxane synthase inhibitor,TBXAS1,Phase 2,,,False,283.33099999999996,2.669220000000001,60.050000000000004,1,2,5,3,21,0
nobiletin,nobiletin,72344,MRIAQLRQZPPODS-UHFFFAOYSA-N,COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1,BRD-K06753942-001-14-5,MEK inhibitor,MAP2K1,Preclinical,,,False,402.3990000000002,3.5116000000000023,85.59000000000002,0,8,7,3,29,0
azd7986,azd7986,118253852,AEXFXNFMSAAELR-RXVVDRJESA-N,Cn1c2cc(ccc2oc1=O)-c1ccc(C[C@H](NC(=O)[C@@H]2CNCCCO2)C#N)cc1,BRD-K00003398-001-01-9,dipeptidyl peptidase inhibitor,,Phase 1,,,False,420.4690000000002,1.7278799999999992,109.29000000000002,2,6,5,3,31,0
bebt-908,bebt-908,59474330,TWJZFXHSPBBPNI-UHFFFAOYSA-N,CNc1ccc(cn1)-c1nc(N2CCOCC2)c2sc(CN(C)c3ncc(cn3)C(=O)NO)cc2n1,BRD-K00003291-001-01-9,PI3K inhibitor,,Preclinical,,,False,507.58000000000015,2.1769999999999996,141.51999999999998,3,12,7,4,36,0
nitromide,nitromide,4511,UUKWKUSGGZNXGA-UHFFFAOYSA-N,NC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,BRD-K76381435-001-09-9,,,Launched,infectious disease,coccidiosis,True,211.13299999999995,0.6019,129.37,1,5,3,1,15,0
