name,pubchem_cid,TSNE1,TSNE2
be-2254,86308637.0,-24.2513,31.346226
tasimelteon,10220503.0,-25.76884,23.368767
esaxerenone,25052023.0,7.0893416,-71.24314
ixazomib-citrate,69040311.0,-31.031565,14.077982
alendronate,44400013.0,-25.671328,-49.923244
dazmegrel,53555.0,20.88613,54.49324
nobiletin,72344.0,-52.461914,-45.60773
azd7986,118253852.0,31.228256,29.44667
bebt-908,59474330.0,52.81684,12.883651
nitromide,4511.0,24.421843,-44.97148
saroglitazar,60151560.0,-2.0393682,41.524258
l-368899,9872389.0,24.416092,-73.58442
betamethasone-valerate,16533.0,-92.103004,4.434479
2-methylimidazole,12749.0,-3.0726469,-0.023605835
pnu-282987,9795278.0,42.226482,46.932125
kx2-391,23635314.0,28.072641,34.264153
asivatrep,56649347.0,-10.207528,-73.34159
diclofenac,3033.0,-31.29212,-1.9539139
emeramide,21133161.0,-35.33717,15.935294
hemado,10981286.0,68.550064,-12.127603
proadifen,4910.0,-15.423347,62.407112
simvastatin,54454.0,-81.40415,3.39851
gabexate,3447.0,-40.832546,26.48141
cis-aconitic-acid,643757.0,-48.220085,-16.037941
thioperamide,6604452.0,16.638462,59.844376
methicillin,6087.0,46.013897,-37.112648
capadenoson,9936489.0,5.987988,-20.977736
fluvoxamine,5324346.0,-21.673254,61.50856
cp-316819,10273347.0,21.638386,0.7581144
bay-11-7085,5353432.0,-14.251021,-65.55277
capsazepine,2733484.0,-23.09925,33.17935
montelukast,5281040.0,-74.635735,-16.930002
cgp-52411,1697.0,8.324699,-30.095806
sym-2206,92209239.0,18.4509,-8.522939
pac-1,9675990.0,25.944893,35.730507
tenofovir-disoproxil,5481350.0,66.23772,2.8532157
relebactam,44129647.0,28.734125,-68.45685
cerulenin,5282054.0,-52.053177,22.789806
gr-135531,4284525.0,-1.6948702,19.5784
pipotiazine-palmitate,37767.0,12.657634,-76.1683
erlotinib,176870.0,21.17968,9.322158
farnesyl-thiosalicylic-acid-amide,25187973.0,-58.9038,-5.407946
losmapimod,11552706.0,50.700176,55.030876
ru-42173,3086576.0,39.2383,7.0700693
(r)-baclofen,6918881.0,-50.84734,9.86268
raloxifene,5035.0,8.1214285,44.325287
butaprost,5311035.0,-65.63157,-14.617193
aee788,10297043.0,23.608221,64.3398
thiamet-g,24808478.0,-55.897804,31.810173
mek1-2-inhibitor,54483521.0,-14.181075,5.374371
abamectin,6858005.0,-78.940834,13.403743
gsk356278,10252640.0,44.748264,19.991856
salinomycin,3085092.0,-78.54905,8.860385
riodoxol,152256.0,-41.857544,-26.840754
umeclidinium,11519070.0,4.302983,54.948425
a922500,24768273.0,-33.03824,1.291921
dextran,5460037.0,-63.76413,-45.603863
pf-4191834,24986635.0,42.117706,37.67614
ursodeoxycholyltaurine,9848818.0,-10.28117,-55.125435
ethynodiol-diacetate,9270.0,-84.19788,-2.0813174
oxyclozanide,16779.0,-31.744831,-9.042934
cb-5083,73051434.0,36.614346,36.61331
pindolol-(-),688095.0,-37.203415,40.742817
ambrisentan,6918493.0,-9.649651,-22.231874
sevoflurane,5206.0,-29.109203,-34.93147
sulfacarbamide,11033.0,-10.078729,-69.02522
r306465,10309899.0,12.614786,-82.96972
dimethyl-fumarate,637568.0,-37.14845,-33.90358
relugolix,10348973.0,51.131615,-21.137339
mirabegron,9865528.0,19.763994,14.108064
sasapyrine,5161.0,-49.901302,-31.45334
gdc-0927,87055263.0,6.395129,45.13648
gnf-2,5311510.0,-2.680132,-23.696325
mln0128,45375953.0,13.533461,-7.995576
atropine-oxide,,-5.949562,47.197372
buclizine,3246096.0,8.013015,63.045567
bremelanotide,,49.295383,-8.255361
decamethoxine,,-14.251764,57.640285
mofegiline,6437850.0,-18.446465,18.833838
cefditoren-pivoxil,6437877.0,57.192047,-40.216057
bix-02189,,26.74724,-1.0854025
ly344864,5311097.0,42.503143,52.123165
fenebrutinib,86567195.0,53.615158,15.835236
shikimic-acid,11332752.0,-53.753864,-33.98385
tegaserod,135409453.0,-5.3703814,18.544947
apramycin,3081545.0,-54.76478,32.913723
alizarin,6293.0,-47.950726,-37.391544
azd3965,10369242.0,53.740944,-20.912458
cid-5458317,,-22.322422,28.097965
roflumilast,449193.0,-3.0866566,-26.596136
ssr128129e,11347895.0,25.19221,-3.5461557
ombrabulin,6918405.0,-33.58141,6.243529
deferiprone,2972.0,-23.334991,-28.015726
cevimeline,18642481.0,10.709649,64.55306
tc-f-2,25198728.0,37.332905,32.797646
gsk269962,16095342.0,48.688244,14.940377
cgp-54626,197584.0,-43.742794,34.454945
ticlopidine,5472.0,15.374294,64.17904
dofequidar,9960287.0,26.79475,34.356052
tgx-221,51601993.0,33.127033,36.464672
rs-100329,3567002.0,62.369373,29.024586
sa-47,9840648.0,36.606403,34.65726
olopatadine,5281071.0,-1.0117272,73.55539
khellin,3828.0,-52.243084,-43.362514
osi-930,9868037.0,1.6390756,-29.147284
ammonium-lactate,10313098.0,-36.286526,-35.57387
azd4573,124155204.0,46.672398,35.864727
cefoselis,9830520.0,56.84006,-42.812935
isoflurane,4369440.0,-29.924894,-34.42065
cp-775146,10410059.0,-3.5024858,53.420986
n-methylpyrrolidone,13387.0,10.858117,29.4472
clomifene,1548955.0,-11.157296,60.480576
minerval,11066464.0,-54.30984,-13.753465
pifithrin-alpha,4817.0,19.133362,57.804165
way-161503,6604916.0,50.953037,41.668312
palonosetron,6337614.0,34.899876,43.84434
quinethazone,6604207.0,-1.1057832,-80.2835
xe-991,656732.0,-12.786011,-20.626133
megestrol,19090.0,-77.29227,-1.2301518
ac-7954-(+/-),10937426.0,-4.164167,61.750362
edonerpic-maleate,9901946.0,9.716683,46.03336
norcyclobenzaprine,9918.0,-21.500227,16.265705
tucatinib,51039094.0,36.48642,-24.374813
ldn-209929,46871867.0,-16.676235,29.667423
fosfructose,84951.0,-29.118368,-48.57252
liothyronine,7048703.0,-40.913025,0.9491314
deoxycorticosterone-acetate,5952.0,-85.67041,-0.47527263
ganetespib,135564985.0,31.374306,-18.14917
epirizole,3242.0,29.477276,-19.258438
opc-21268,114904.0,25.740599,26.496653
acrivastine,5284514.0,10.004382,58.736645
gsk1070916,46885626.0,29.207676,0.83327556
zolmitriptan,60857.0,19.448769,36.866325
"2,4-dinitrochlorobenzene",6.0,22.887318,-44.805035
astragaloside-a,13943299.0,-81.9726,14.153809
chir-98014,53396311.0,32.338257,-34.690933
dizocilpine-(+),180081.0,-17.653685,11.582368
amineptine,38988248.0,-30.075335,18.854055
lb42708,10099206.0,44.750084,40.390728
p-dimethylinamyl-benzoate,26890.0,-17.413248,61.733322
tc2559,9823180.0,-26.252546,39.358852
anisindione,2197.0,-48.870926,-39.921803
dmh1,50997747.0,14.310883,-12.692209
butabindide,9817923.0,7.196846,28.681253
way-100635,5684.0,48.561848,21.61197
pivmecillinam,,47.80113,-33.66063
lercanidipine,9809926.0,30.66696,-52.637123
asp-9521,25210792.0,26.89906,22.212488
sb-452533,9842609.0,-21.422974,43.05478
resibufogenin,6917974.0,-77.53037,-9.689892
vinburnine,71203.0,33.5522,41.62844
kl-001,1367681.0,9.6544285,-78.33758
fenspiride,3344.0,28.247555,39.718197
rimcazole,53389.0,7.900524,69.33961
cgp-78608,6604872.0,57.892647,-12.900239
mn-64,2802462.0,-45.740723,-42.842957
liraglutide,16153050.0,50.264515,-8.772817
inarigivir,,59.81719,-14.841635
bexagliflozin,25195624.0,-62.971695,-52.529823
cinobufotalin,259776.0,-77.704796,8.374306
alisertib,24771867.0,0.86529034,-22.56628
butibufen,71314316.0,-33.64511,-36.36978
miridesap,125516.0,11.729498,24.133266
efaroxan,11957548.0,-11.158305,26.756636
am-580,2126.0,-24.371689,-1.5164659
l-152804,969478.0,-82.5453,-15.672572
a61603,6604803.0,6.208626,-80.82492
tangeritin,68077.0,-52.461887,-45.607704
kaempferol,5280863.0,-49.049126,-48.879112
nialamide,4472.0,-36.260727,18.78879
efatutazone,76962475.0,39.50532,-0.27252853
doxercalciferol,46931009.0,-74.80052,2.998098
pf-06273340,66571548.0,37.595276,-0.43241835
cintirorgon,124126348.0,5.947926,-60.763245
neridronic-acid,71237.0,-25.59713,-50.006413
tyrphostin-ag-99,5328768.0,-33.522278,-12.263031
nampt-in-1,92044379.0,18.726233,-71.5941
vanillylacetone,31211.0,-57.491005,-22.726337
nsc-663284,379077.0,67.27881,32.179165
sitaxentan,216235.0,0.047863353,-69.10555
osemozotan,198747.0,-17.646393,33.560158
drofenine,38988270.0,-15.565496,61.81729
semapimod,492132.0,-26.401453,17.247158
