name,pubchem_cid,TSNE1,TSNE2
be-2254,86308637.0,-49.3895,-1.9810789
tasimelteon,10220503.0,12.489369,11.785906
esaxerenone,25052023.0,37.57472,-5.887135
ixazomib-citrate,69040311.0,26.449635,-12.180074
alendronate,44400013.0,-37.035725,36.758755
dazmegrel,53555.0,34.489315,15.51369
nobiletin,72344.0,-11.325906,-65.15657
azd7986,118253852.0,-40.95167,-15.870227
bebt-908,59474330.0,16.029467,-46.191483
nitromide,4511.0,-18.430767,20.98484
saroglitazar,60151560.0,17.57625,38.762856
l-368899,9872389.0,38.378548,37.004963
betamethasone-valerate,16533.0,-68.06756,54.736828
2-methylimidazole,12749.0,-30.202776,-30.678045
pnu-282987,9795278.0,30.81079,-18.013832
kx2-391,23635314.0,14.807628,-39.888493
asivatrep,56649347.0,17.53309,-0.18895528
diclofenac,3033.0,29.895073,-5.1222696
emeramide,21133161.0,14.975229,22.98833
hemado,10981286.0,-69.68997,-29.531603
proadifen,4910.0,28.904707,27.21144
simvastatin,54454.0,-71.63956,21.913454
gabexate,3447.0,15.242379,28.661362
cis-aconitic-acid,643757.0,-10.856347,49.737286
thioperamide,6604452.0,-39.88243,21.423923
methicillin,6087.0,12.126753,79.72975
capadenoson,9936489.0,-41.504284,-25.543188
fluvoxamine,5324346.0,11.01662,31.34981
cp-316819,10273347.0,53.4765,19.845163
bay-11-7085,5353432.0,-19.235611,6.839249
capsazepine,2733484.0,23.475183,-21.466734
montelukast,5281040.0,22.693336,2.4148088
cgp-52411,1697.0,-12.08339,-9.221296
sym-2206,92209239.0,-38.33166,-41.848274
pac-1,9675990.0,54.5599,7.0399585
tenofovir-disoproxil,5481350.0,-59.97973,-34.36055
relebactam,44129647.0,-5.5950456,35.737442
cerulenin,5282054.0,-17.037836,50.991573
gr-135531,4284525.0,38.95744,53.637917
pipotiazine-palmitate,37767.0,13.365185,-23.708158
erlotinib,176870.0,23.51926,-72.942535
farnesyl-thiosalicylic-acid-amide,25187973.0,26.55266,15.793829
losmapimod,11552706.0,50.98797,-21.653322
ru-42173,3086576.0,35.894432,43.243835
(r)-baclofen,6918881.0,18.754711,-2.840779
raloxifene,5035.0,2.258197,-53.883263
butaprost,5311035.0,-26.5878,61.77925
aee788,10297043.0,0.6348177,-41.135036
thiamet-g,24808478.0,-74.53065,-2.8312302
mek1-2-inhibitor,54483521.0,-15.19269,-17.311699
abamectin,6858005.0,-74.25251,18.168396
