name,pubchem_cid,UMAP1,UMAP2
be-2254,86308637.0,10.489925,1.3550146
tasimelteon,10220503.0,10.278861,1.2986828
esaxerenone,25052023.0,4.0436826,1.795854
ixazomib-citrate,69040311.0,10.068536,1.6109487
alendronate,44400013.0,9.026291,1.9930891
dazmegrel,53555.0,10.490717,-0.3252683
nobiletin,72344.0,7.4473996,1.5091462
azd7986,118253852.0,11.667274,-1.0890828
bebt-908,59474330.0,10.992969,-1.0631585
nitromide,4511.0,7.7171283,-0.92689455
saroglitazar,60151560.0,11.710572,-0.02306068
l-368899,9872389.0,4.0088263,1.5191926
betamethasone-valerate,16533.0,7.457349,4.444425
2-methylimidazole,12749.0,8.768881,-0.1054068
pnu-282987,9795278.0,11.029102,-0.36512154
kx2-391,23635314.0,11.547691,-0.7312671
asivatrep,56649347.0,4.239313,2.1262388
diclofenac,3033.0,9.278029,1.0373085
emeramide,21133161.0,9.890811,1.3316103
hemado,10981286.0,11.911376,-2.446153
proadifen,4910.0,11.470387,1.0627177
simvastatin,54454.0,7.7862473,3.8697228
gabexate,3447.0,10.116913,1.7238853
cis-aconitic-acid,643757.0,8.627701,2.3504071
thioperamide,6604452.0,10.485889,0.06780022
methicillin,6087.0,5.053819,0.22505249
capadenoson,9936489.0,9.19839,-0.090677224
fluvoxamine,5324346.0,10.568477,1.3918439
cp-316819,10273347.0,9.733346,0.02977852
bay-11-7085,5353432.0,4.689829,2.175219
capsazepine,2733484.0,10.798346,1.0533602
montelukast,5281040.0,8.628881,0.652793
cgp-52411,1697.0,9.354551,-0.06769014
sym-2206,92209239.0,10.626417,-1.2279632
pac-1,9675990.0,11.615218,-0.72661006
tenofovir-disoproxil,5481350.0,11.34351,-2.1378658
relebactam,44129647.0,4.1819997,1.4652966
cerulenin,5282054.0,9.753334,1.843934
gr-135531,4284525.0,9.921476,0.42410854
pipotiazine-palmitate,37767.0,4.0336094,1.6031078
erlotinib,176870.0,9.499683,-0.4789501
farnesyl-thiosalicylic-acid-amide,25187973.0,8.532408,2.72042
losmapimod,11552706.0,9.457556,0.30151242
ru-42173,3086576.0,10.596442,-1.6429683
(r)-baclofen,6918881.0,9.6081505,1.7824302
raloxifene,5035.0,11.668039,0.056381408
butaprost,5311035.0,7.929992,3.177877
aee788,10297043.0,10.5639925,-0.3020654
thiamet-g,24808478.0,10.508542,2.6175911
mek1-2-inhibitor,54483521.0,9.005409,0.6961449
abamectin,6858005.0,7.4105062,3.8713543
gsk356278,10252640.0,10.781038,-1.185909
salinomycin,3085092.0,7.5351553,3.7864792
riodoxol,152256.0,7.9905934,1.5818801
umeclidinium,11519070.0,11.539327,0.39442927
a922500,24768273.0,9.327115,1.1510509
dextran,5460037.0,7.4247465,2.2597501
pf-4191834,24986635.0,10.804814,-0.9854986
ursodeoxycholyltaurine,9848818.0,4.802342,1.8006862
ethynodiol-diacetate,9270.0,7.816507,3.9665022
oxyclozanide,16779.0,9.174623,0.853474
cb-5083,73051434.0,10.923099,-0.89034
pindolol-(-),688095.0,10.625171,1.8781135
ambrisentan,6918493.0,8.693863,0.50123674
sevoflurane,5206.0,8.605617,1.8366563
sulfacarbamide,11033.0,4.3791647,2.2340393
r306465,10309899.0,3.8806467,1.6873684
dimethyl-fumarate,637568.0,8.434643,2.0198507
relugolix,10348973.0,9.84271,-1.3819226
mirabegron,9865528.0,10.1916275,-0.3995673
sasapyrine,5161.0,7.8753004,1.6205391
gdc-0927,87055263.0,11.671864,0.13009253
