name,pubchem_cid,smiles,valid_smiles,has_metal,metal_count,metal_symbols,metal_category
be-2254,86308637,Oc1ccc(CCNC[C@H]2CCc3ccccc3C2=O)cc1 |r|,True,False,0,,No metal
tasimelteon,10220503,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2OCCc12,True,False,0,,No metal
esaxerenone,25052023,Cc1c(cn(CCO)c1-c1ccccc1C(F)(F)F)C(=O)Nc1ccc(cc1)S(C)(=O)=O,True,False,0,,No metal
ixazomib-citrate,69040311,"CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C[C@@](CC(O)=O)(O1)C(O)=O |a:4,&1:25|",True,False,0,,No metal
alendronate,44400013,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,True,False,0,,No metal
dazmegrel,53555,Cc1c(Cn2ccnc2)c2ccccc2n1CCC(O)=O,True,False,0,,No metal
nobiletin,72344,COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1,True,False,0,,No metal
azd7986,118253852,Cn1c2cc(ccc2oc1=O)-c1ccc(C[C@H](NC(=O)[C@@H]2CNCCCO2)C#N)cc1,True,False,0,,No metal
bebt-908,59474330,CNc1ccc(cn1)-c1nc(N2CCOCC2)c2sc(CN(C)c3ncc(cn3)C(=O)NO)cc2n1,True,False,0,,No metal
nitromide,4511,NC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,True,False,0,,No metal
saroglitazar,60151560,CCO[C@@H](Cc1ccc(OCCn2c(C)ccc2-c2ccc(SC)cc2)cc1)C(O)=O,True,False,0,,No metal
l-368899,9872389,Cc1ccccc1N1CCN(CC1)S(=O)(=O)C[C@]12CC[C@H](C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C,True,False,0,,No metal
betamethasone-valerate,16533,"CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO |c:19,t:15|",True,False,0,,No metal
2-methylimidazole,12749,Cc1ncc[nH]1,True,False,0,,No metal
pnu-282987,9795278,Clc1ccc(cc1)C(=O)N[C@H]1CN2CCC1CC2,True,False,0,,No metal
kx2-391,23635314,O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1,True,False,0,,No metal
asivatrep,56649347,CCCc1nc(ccc1\C=C\C(=O)N[C@H](C)c1cc(F)c(NS(C)(=O)=O)c(F)c1)C(F)(F)F,True,False,0,,No metal
diclofenac,3033,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,True,False,0,,No metal
emeramide,21133161,SCCNC(=O)c1cccc(c1)C(=O)NCCS,True,False,0,,No metal
hemado,10981286,CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,True,False,0,,No metal
proadifen,4910,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,True,False,0,,No metal
