name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
be-2254,86308637.0,9.51334,2.6293147,86308637,be-2254,False,0.0,,No metal,True
tasimelteon,10220503.0,9.782667,2.0932994,10220503,tasimelteon,False,0.0,,No metal,True
esaxerenone,25052023.0,9.814395,3.4658597,25052023,esaxerenone,False,0.0,,No metal,True
ixazomib-citrate,69040311.0,10.552727,2.2967227,69040311,ixazomib-citrate,False,0.0,,No metal,True
alendronate,44400013.0,9.950693,1.4262182,44400013,alendronate,False,0.0,,No metal,True
dazmegrel,53555.0,10.296234,2.159788,53555,dazmegrel,False,0.0,,No metal,True
nobiletin,72344.0,8.726894,2.8098645,72344,nobiletin,False,0.0,,No metal,True
azd7986,118253852.0,8.89334,1.3224721,118253852,azd7986,False,0.0,,No metal,True
bebt-908,59474330.0,9.626883,2.5119932,59474330,bebt-908,False,0.0,,No metal,True
nitromide,4511.0,8.412282,2.1253102,4511,nitromide,False,0.0,,No metal,True
saroglitazar,60151560.0,10.849949,2.387106,60151560,saroglitazar,False,0.0,,No metal,True
l-368899,9872389.0,9.314802,1.1435013,9872389,l-368899,False,0.0,,No metal,True
betamethasone-valerate,16533.0,8.029983,-1.1928561,16533,betamethasone-valerate,False,0.0,,No metal,True
2-methylimidazole,12749.0,8.970778,1.9224378,12749,2-methylimidazole,False,0.0,,No metal,True
pnu-282987,9795278.0,9.928674,2.4190934,9795278,pnu-282987,False,0.0,,No metal,True
kx2-391,23635314.0,9.834005,3.1637104,23635314,kx2-391,False,0.0,,No metal,True
asivatrep,56649347.0,10.101704,2.1714642,56649347,asivatrep,False,0.0,,No metal,True
diclofenac,3033.0,10.0505495,2.6666024,3033,diclofenac,False,0.0,,No metal,True
emeramide,21133161.0,10.009166,3.051964,21133161,emeramide,False,0.0,,No metal,True
hemado,10981286.0,10.414798,-0.6239635,10981286,hemado,False,0.0,,No metal,True
proadifen,4910.0,10.676813,3.1974368,4910,proadifen,False,0.0,,No metal,True
simvastatin,54454.0,9.881835,1.6122161,54454,simvastatin,False,0.0,,No metal,True
gabexate,3447.0,10.681706,2.715481,3447,gabexate,False,0.0,,No metal,True
cis-aconitic-acid,643757.0,10.240271,1.7618464,643757,cis-aconitic-acid,False,0.0,,No metal,True
thioperamide,6604452.0,9.268516,1.7814385,6604452,thioperamide,False,0.0,,No metal,True
methicillin,6087.0,13.255382,1.9106055,6087,methicillin,False,0.0,,No metal,True
capadenoson,9936489.0,9.632619,2.3487456,9936489,capadenoson,False,0.0,,No metal,True
fluvoxamine,5324346.0,9.625455,1.9406548,5324346,fluvoxamine,False,0.0,,No metal,True
cp-316819,10273347.0,10.3625345,2.569223,10273347,cp-316819,False,0.0,,No metal,True
bay-11-7085,5353432.0,8.87268,2.2465692,5353432,bay-11-7085,False,0.0,,No metal,True
capsazepine,2733484.0,9.696563,2.4245188,2733484,capsazepine,False,0.0,,No metal,True
montelukast,5281040.0,9.987242,2.5543284,5281040,montelukast,False,0.0,,No metal,True
cgp-52411,1697.0,9.438316,2.6241164,1697,cgp-52411,False,0.0,,No metal,True
sym-2206,92209239.0,8.714185,2.5199227,92209239,sym-2206,False,0.0,,No metal,True
pac-1,9675990.0,10.121276,2.8285108,9675990,pac-1,False,0.0,,No metal,True
tenofovir-disoproxil,5481350.0,10.287021,-0.31602198,5481350,tenofovir-disoproxil,False,0.0,,No metal,True
relebactam,44129647.0,9.359635,1.6940563,44129647,relebactam,False,0.0,,No metal,True
cerulenin,5282054.0,11.085779,1.220905,5282054,cerulenin,False,0.0,,No metal,True
gr-135531,4284525.0,11.316803,2.899854,4284525,gr-135531,False,0.0,,No metal,True
pipotiazine-palmitate,37767.0,8.730797,3.9929333,37767,pipotiazine-palmitate,False,0.0,,No metal,True
erlotinib,176870.0,9.021968,4.1418037,176870,erlotinib,False,0.0,,No metal,True
farnesyl-thiosalicylic-acid-amide,25187973.0,10.128048,1.7245668,25187973,farnesyl-thiosalicylic-acid-amide,False,0.0,,No metal,True
losmapimod,11552706.0,10.025206,2.91075,11552706,losmapimod,False,0.0,,No metal,True
ru-42173,3086576.0,9.253767,1.7545841,3086576,ru-42173,False,0.0,,No metal,True
(r)-baclofen,6918881.0,10.4255705,2.1680882,6918881,(r)-baclofen,False,0.0,,No metal,True
raloxifene,5035.0,9.665159,2.8066266,5035,raloxifene,False,0.0,,No metal,True
butaprost,5311035.0,11.016415,1.2348901,5311035,butaprost,False,0.0,,No metal,True
aee788,10297043.0,10.270059,2.994337,10297043,aee788,False,0.0,,No metal,True
thiamet-g,24808478.0,9.741634,0.34045112,24808478,thiamet-g,False,0.0,,No metal,True
mek1-2-inhibitor,54483521.0,9.234302,2.211238,54483521,mek1-2-inhibitor,False,0.0,,No metal,True
abamectin,6858005.0,9.44632,0.93847597,6858005,abamectin,False,0.0,,No metal,True
gsk356278,10252640.0,9.097042,1.7770215,10252640,gsk356278,False,0.0,,No metal,True
salinomycin,3085092.0,10.417817,1.6809903,3085092,salinomycin,False,0.0,,No metal,True
riodoxol,152256.0,9.42671,2.0545552,152256,riodoxol,False,0.0,,No metal,True
umeclidinium,11519070.0,10.064796,2.6467965,11519070,umeclidinium,False,0.0,,No metal,True
a922500,24768273.0,9.865717,3.3809102,24768273,a922500,False,0.0,,No metal,True
dextran,5460037.0,9.812567,0.38832107,5460037,dextran,False,0.0,,No metal,True
pf-4191834,24986635.0,9.747666,1.9720575,24986635,pf-4191834,False,0.0,,No metal,True
ursodeoxycholyltaurine,9848818.0,8.926466,-0.36575285,9848818,ursodeoxycholyltaurine,False,0.0,,No metal,True
ethynodiol-diacetate,9270.0,8.468611,-0.16656923,9270,ethynodiol-diacetate,False,0.0,,No metal,True
oxyclozanide,16779.0,9.4326515,2.0783906,16779,oxyclozanide,False,0.0,,No metal,True
cb-5083,73051434.0,9.980612,2.8524315,73051434,cb-5083,False,0.0,,No metal,True
pindolol-(-),688095.0,11.008757,3.9237301,688095,pindolol-(-),False,0.0,,No metal,True
