name,pubchem_cid,UMAP1,UMAP2
be-2254,86308637.0,9.51334,2.6293147
tasimelteon,10220503.0,9.782667,2.0932994
esaxerenone,25052023.0,9.814395,3.4658597
ixazomib-citrate,69040311.0,10.552727,2.2967227
alendronate,44400013.0,9.950693,1.4262182
dazmegrel,53555.0,10.296234,2.159788
nobiletin,72344.0,8.726894,2.8098645
azd7986,118253852.0,8.89334,1.3224721
bebt-908,59474330.0,9.626883,2.5119932
nitromide,4511.0,8.412282,2.1253102
saroglitazar,60151560.0,10.849949,2.387106
l-368899,9872389.0,9.314802,1.1435013
betamethasone-valerate,16533.0,8.029983,-1.1928561
2-methylimidazole,12749.0,8.970778,1.9224378
pnu-282987,9795278.0,9.928674,2.4190934
kx2-391,23635314.0,9.834005,3.1637104
asivatrep,56649347.0,10.101704,2.1714642
diclofenac,3033.0,10.0505495,2.6666024
emeramide,21133161.0,10.009166,3.051964
hemado,10981286.0,10.414798,-0.6239635
proadifen,4910.0,10.676813,3.1974368
simvastatin,54454.0,9.881835,1.6122161
gabexate,3447.0,10.681706,2.715481
cis-aconitic-acid,643757.0,10.240271,1.7618464
thioperamide,6604452.0,9.268516,1.7814385
methicillin,6087.0,13.255382,1.9106055
capadenoson,9936489.0,9.632619,2.3487456
fluvoxamine,5324346.0,9.625455,1.9406548
cp-316819,10273347.0,10.3625345,2.569223
bay-11-7085,5353432.0,8.87268,2.2465692
capsazepine,2733484.0,9.696563,2.4245188
montelukast,5281040.0,9.987242,2.5543284
cgp-52411,1697.0,9.438316,2.6241164
sym-2206,92209239.0,8.714185,2.5199227
pac-1,9675990.0,10.121276,2.8285108
tenofovir-disoproxil,5481350.0,10.287021,-0.31602198
relebactam,44129647.0,9.359635,1.6940563
cerulenin,5282054.0,11.085779,1.220905
gr-135531,4284525.0,11.316803,2.899854
pipotiazine-palmitate,37767.0,8.730797,3.9929333
erlotinib,176870.0,9.021968,4.1418037
farnesyl-thiosalicylic-acid-amide,25187973.0,10.128048,1.7245668
losmapimod,11552706.0,10.025206,2.91075
ru-42173,3086576.0,9.253767,1.7545841
(r)-baclofen,6918881.0,10.4255705,2.1680882
raloxifene,5035.0,9.665159,2.8066266
butaprost,5311035.0,11.016415,1.2348901
aee788,10297043.0,10.270059,2.994337
thiamet-g,24808478.0,9.741634,0.34045112
mek1-2-inhibitor,54483521.0,9.234302,2.211238
abamectin,6858005.0,9.44632,0.93847597
gsk356278,10252640.0,9.097042,1.7770215
salinomycin,3085092.0,10.417817,1.6809903
riodoxol,152256.0,9.42671,2.0545552
umeclidinium,11519070.0,10.064796,2.6467965
a922500,24768273.0,9.865717,3.3809102
dextran,5460037.0,9.812567,0.38832107
pf-4191834,24986635.0,9.747666,1.9720575
ursodeoxycholyltaurine,9848818.0,8.926466,-0.36575285
ethynodiol-diacetate,9270.0,8.468611,-0.16656923
oxyclozanide,16779.0,9.4326515,2.0783906
cb-5083,73051434.0,9.980612,2.8524315
pindolol-(-),688095.0,11.008757,3.9237301
ambrisentan,6918493.0,10.130254,2.614424
sevoflurane,5206.0,9.139209,1.635293
sulfacarbamide,11033.0,8.422043,2.6502514
r306465,10309899.0,9.7102165,2.7418048
dimethyl-fumarate,637568.0,9.729134,1.8625696
relugolix,10348973.0,9.806816,3.4086938
mirabegron,9865528.0,10.220571,2.9191039
sasapyrine,5161.0,10.228224,3.1749463
gdc-0927,87055263.0,9.466231,2.6494358
gnf-2,5311510.0,9.776651,2.6659234
mln0128,45375953.0,8.97781,2.3166473
atropine-oxide,,10.653418,2.9464145
buclizine,3246096.0,10.180372,3.468251
bremelanotide,,11.560546,2.6077805
decamethoxine,,10.180595,1.5071504
mofegiline,6437850.0,9.777912,2.079442
cefditoren-pivoxil,6437877.0,13.43041,1.5198551
bix-02189,,10.058712,3.151345
ly344864,5311097.0,9.878511,3.4775643
fenebrutinib,86567195.0,9.188284,1.4411777
