name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
be-2254,86308637,8.994611,2.1411002,86308637,be-2254,True,3.0,2.0,1.0,True,3 rings
tasimelteon,10220503,9.596009,2.6513867,10220503,tasimelteon,True,3.0,1.0,2.0,True,3 rings
esaxerenone,25052023,6.4096212,6.800385,25052023,esaxerenone,True,3.0,3.0,0.0,True,3 rings
ixazomib-citrate,69040311,7.023967,2.5606294,69040311,ixazomib-citrate,True,2.0,1.0,1.0,True,2 rings
alendronate,44400013,-1.2249483,6.4989533,44400013,alendronate,True,0.0,0.0,0.0,False,0 rings
dazmegrel,53555,6.734927,8.033527,53555,dazmegrel,True,3.0,3.0,0.0,True,3 rings
nobiletin,72344,10.665536,1.8719547,72344,nobiletin,True,3.0,3.0,0.0,True,3 rings
azd7986,118253852,9.056203,3.369087,118253852,azd7986,True,4.0,3.0,1.0,True,4+ rings
bebt-908,59474330,6.405701,8.04,59474330,bebt-908,True,5.0,4.0,1.0,True,4+ rings
nitromide,4511,6.9992423,3.1999998,4511,nitromide,True,1.0,1.0,0.0,True,1 ring
saroglitazar,60151560,7.837588,6.859937,60151560,saroglitazar,True,3.0,3.0,0.0,True,3 rings
l-368899,9872389,7.050431,3.6459136,9872389,l-368899,True,4.0,1.0,3.0,True,4+ rings
betamethasone-valerate,16533,-3.6415598,4.939568,16533,betamethasone-valerate,True,4.0,0.0,4.0,True,4+ rings
2-methylimidazole,12749,4.766837,8.822325,12749,2-methylimidazole,True,1.0,1.0,0.0,True,1 ring
pnu-282987,9795278,7.002573,2.5671017,9795278,pnu-282987,True,4.0,1.0,3.0,True,4+ rings
kx2-391,23635314,8.017773,6.863433,23635314,kx2-391,True,4.0,3.0,1.0,True,4+ rings
asivatrep,56649347,6.2769775,6.760819,56649347,asivatrep,True,2.0,2.0,0.0,True,2 rings
diclofenac,3033,7.78151,3.284925,3033,diclofenac,True,2.0,2.0,0.0,True,2 rings
