name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
be-2254,86308637.0,10.489925,1.3550146,86308637,be-2254,True,3.0,2.0,1.0,True,3 rings
tasimelteon,10220503.0,10.278861,1.2986828,10220503,tasimelteon,True,3.0,1.0,2.0,True,3 rings
esaxerenone,25052023.0,4.0436826,1.795854,25052023,esaxerenone,True,3.0,3.0,0.0,True,3 rings
ixazomib-citrate,69040311.0,10.068536,1.6109487,69040311,ixazomib-citrate,True,2.0,1.0,1.0,True,2 rings
alendronate,44400013.0,9.026291,1.9930891,44400013,alendronate,True,0.0,0.0,0.0,False,0 rings
dazmegrel,53555.0,10.490717,-0.3252683,53555,dazmegrel,True,3.0,3.0,0.0,True,3 rings
nobiletin,72344.0,7.4473996,1.5091462,72344,nobiletin,True,3.0,3.0,0.0,True,3 rings
azd7986,118253852.0,11.667274,-1.0890828,118253852,azd7986,True,4.0,3.0,1.0,True,4+ rings
bebt-908,59474330.0,10.992969,-1.0631585,59474330,bebt-908,True,5.0,4.0,1.0,True,4+ rings
nitromide,4511.0,7.7171283,-0.92689455,4511,nitromide,True,1.0,1.0,0.0,True,1 ring
saroglitazar,60151560.0,11.710572,-0.02306068,60151560,saroglitazar,True,3.0,3.0,0.0,True,3 rings
l-368899,9872389.0,4.0088263,1.5191926,9872389,l-368899,True,4.0,1.0,3.0,True,4+ rings
betamethasone-valerate,16533.0,7.457349,4.444425,16533,betamethasone-valerate,True,4.0,0.0,4.0,True,4+ rings
2-methylimidazole,12749.0,8.768881,-0.1054068,12749,2-methylimidazole,True,1.0,1.0,0.0,True,1 ring
pnu-282987,9795278.0,11.029102,-0.36512154,9795278,pnu-282987,True,4.0,1.0,3.0,True,4+ rings
kx2-391,23635314.0,11.547691,-0.7312671,23635314,kx2-391,True,4.0,3.0,1.0,True,4+ rings
asivatrep,56649347.0,4.239313,2.1262388,56649347,asivatrep,True,2.0,2.0,0.0,True,2 rings
diclofenac,3033.0,9.278029,1.0373085,3033,diclofenac,True,2.0,2.0,0.0,True,2 rings
emeramide,21133161.0,9.890811,1.3316103,21133161,emeramide,True,1.0,1.0,0.0,True,1 ring
hemado,10981286.0,11.911376,-2.446153,10981286,hemado,True,3.0,2.0,1.0,True,3 rings
proadifen,4910.0,11.470387,1.0627177,4910,proadifen,True,2.0,2.0,0.0,True,2 rings
simvastatin,54454.0,7.7862473,3.8697228,54454,simvastatin,True,3.0,0.0,3.0,True,3 rings
gabexate,3447.0,10.116913,1.7238853,3447,gabexate,True,1.0,1.0,0.0,True,1 ring
cis-aconitic-acid,643757.0,8.627701,2.3504071,643757,cis-aconitic-acid,True,0.0,0.0,0.0,False,0 rings
thioperamide,6604452.0,10.485889,0.06780022,6604452,thioperamide,True,3.0,0.0,3.0,True,3 rings
methicillin,6087.0,5.053819,0.22505249,6087,methicillin,True,3.0,1.0,2.0,True,3 rings
capadenoson,9936489.0,9.19839,-0.090677224,9936489,capadenoson,True,4.0,4.0,0.0,True,4+ rings
