pert_id,nsn_code,dose,time_hours,name,smiles,inchi_key,moa,target,title,cid,already_in_existing_registry
AA-01-JO26_0.01_24.0,AA-01-JO26,0.01,24.0,"2-amino-7-(thiophen-3-ylmethyl)-1,5-dihydropyrrolo[3,2-d]pyrimidin-4-one",Nc1nc(O)c2[nH]cc(Cc3ccsc3)c2n1,QDPMHXUWMPNTEQ-UHFFFAOYSA-N,Purine-Nucleoside Phosphorylase Inhibitors,['PNP'],,3035609.0,False
AA-01-PS31_0.01_24.0,AA-01-PS31,0.01,24.0,(4S)-8-[6-amino-5-(2-amino-3-chloropyridin-4-yl)sulfanylpyrazin-2-yl]-2-oxa-8-azaspiro[4.5]decan-4-amine,Nc1nc(N2CCC3(CC2)COC[C@H]3N)cnc1Sc1ccnc(N)c1Cl,OMJHHTRDBKAMSN-LLVKDONJSA-N,SHP2 allosteric inhibitor,['PTPN11'],"US10336774, Example 52",118247752.0,False
AA-01-XV28_0.01_24.0,AA-01-XV28,0.01,24.0,(1-oxo-2H-isoquinolin-5-yl) benzoate,O=C(Oc1cccc2c(O)nccc12)c1ccccc1,FFWUPFYTTMMSTH-UHFFFAOYSA-N,Poly(ADP-ribose)polymerase-2 (PARP-2) Inhibitors,['PARP2'],5-Benzoyloxy-1(2H)-isoquinolinone,659976.0,False
AA-02-FS13_0.01_24.0,AA-02-FS13,0.01,24.0,benzylhydrazine,NNCc1ccccc1,NHOWLEZFTHYCTP-UHFFFAOYSA-N,,[],Benzylhydrazine,11157.0,False
AA-10-BH32_0.01_24.0,AA-10-BH32,0.01,24.0,"(2S)-N-[(1S)-2-[(3aR,7aS)-7-oxo-6-(2-phenylethyl)-2,3,3a,4,5,7a-hexahydropyrrolo[2,3-c]pyridin-1-yl]-1-cyclohexyl-2-oxoethyl]-2-(methylamino)propanamide",CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CCN(CCc3ccccc3)C(=O)[C@H]21)C1CCCCC1,KOEJPVOFYIFFSM-UQAQOTMJSA-N,Inhibitor of Apoptosis Proteins (IAP) Inhibitors;Apoptosis Inducers,['XIAP'],"(2S)-N-[(1S)-2-[(3aR,7aS)-7-oxo-6-(2-phenylethyl)-2,3,3a,4,5,7a-hexahydropyrrolo[2,3-c]pyridin-1-yl]-1-cyclohexyl-2-oxoethyl]-2-(methylamino)propanamide",59788086.0,False
AA-11-RO46_0.1_24.0,AA-11-RO46,0.1,24.0,"3-aza-13-azoniapentacyclo[11.7.0.02,10.04,9.014,19]icosa-1(13),2(10),4,6,8,11,14,16,18-nonaen-20-one",O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21,WYQIPCUPNMRAKP-UHFFFAOYSA-O,DNA-Intercalating Drugs;CDC25B Inhibitors;CDK4/Cyclin D1 Inhibitors;CDK6 Inhibitors,['CCND1' 'CDK4' 'CDK6'],Fascaplysin,73293.0,False
AA-13-DN24_0.01_24.0,AA-13-DN24,0.01,24.0,1-(4-chlorophenyl)-2-[4-[(4-fluorophenyl)methyl]piperidin-1-yl]ethanol,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1,GGUSQTSTQSHJAH-UHFFFAOYSA-N,NMDA Antagonists,['GRIN1'],Eliprodil,60703.0,False
AA-14-SG39_0.01_24.0,AA-14-SG39,0.01,24.0,"(2R)-2-[(4-phenoxyphenyl)sulfonylamino]-5-(1,1,3-trioxo-1,2-benzothiazol-2-yl)pentanoic acid",O=C(O)[C@@H](CCCN1C(=O)c2ccccc2S1(=O)=O)NS(=O)(=O)c1ccc(Oc2ccccc2)cc1,DOWDJFVLAJDWNC-OAQYLSRUSA-N,,[],"(2R)-2-[(4-phenoxyphenyl)sulfonylamino]-5-(1,1,3-trioxo-1,2-benzothiazol-2-yl)pentanoic acid",22083924.0,False
AA-14-VK39_0.01_24.0,AA-14-VK39,0.01,24.0,"N-[4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butyl]-N-[[3-(4-chlorophenyl)phenyl]methyl]-3-methyl-3-(2,4,5-trimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl)butanamide",CC1=C(C)C(=O)C(C(C)(C)CC(=O)N(CCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)Cc2cccc(-c3ccc(Cl)cc3)c2)=C(C)C1=O,MLJVGAYSVYMPSB-MSUKGTQXSA-N,,[],"N-[4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butyl]-N-[[3-(4-chlorophenyl)phenyl]methyl]-3-methyl-3-(2,4,5-trimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl)butanamide",137333447.0,False
AA-15-VA57_0.01_24.0,AA-15-VA57,0.01,24.0,(4-methylphenyl)boronic acid,Cc1ccc(B(O)O)cc1,BIWQNIMLAISTBV-UHFFFAOYSA-N,Endothelial Lipase (EL) Inhibitors,['LIPG'],p-Tolueneboronic acid,79799.0,False
AA-17-RC87_0.01_24.0,AA-17-RC87,0.01,24.0,"N-[6-[(dimethylamino)methyl]-5,6,7,8-tetrahydronaphthalen-2-yl]-4-(4-methoxyphenyl)benzamide",COc1ccc(-c2ccc(C(=O)Nc3ccc4c(c3)CCC(CN(C)C)C4)cc2)cc1,ZLENJXHJTDYRCQ-UHFFFAOYSA-N,MCHR1 antagonist,['MCHR1'],"n-[2-(n,n-Dimethylamino)methyl-6-tetralinyl]-(4'-methoxybiphenyl-4-yl)carboxamide",9844702.0,False
