pert_id,nsn_code,dose,time_hours,name,smiles,inchi_key,moa,target,title,cid,already_in_existing_registry
AA-01-JO26_0.01_24.0,AA-01-JO26,0.01,24.0,"2-amino-7-(thiophen-3-ylmethyl)-1,5-dihydropyrrolo[3,2-d]pyrimidin-4-one",Nc1nc(O)c2[nH]cc(Cc3ccsc3)c2n1,QDPMHXUWMPNTEQ-UHFFFAOYSA-N,Purine-Nucleoside Phosphorylase Inhibitors,['PNP'],,3035609.0,False
AA-01-PS31_0.01_24.0,AA-01-PS31,0.01,24.0,(4S)-8-[6-amino-5-(2-amino-3-chloropyridin-4-yl)sulfanylpyrazin-2-yl]-2-oxa-8-azaspiro[4.5]decan-4-amine,Nc1nc(N2CCC3(CC2)COC[C@H]3N)cnc1Sc1ccnc(N)c1Cl,OMJHHTRDBKAMSN-LLVKDONJSA-N,SHP2 allosteric inhibitor,['PTPN11'],"US10336774, Example 52",118247752.0,False
AA-01-XV28_0.01_24.0,AA-01-XV28,0.01,24.0,(1-oxo-2H-isoquinolin-5-yl) benzoate,O=C(Oc1cccc2c(O)nccc12)c1ccccc1,FFWUPFYTTMMSTH-UHFFFAOYSA-N,Poly(ADP-ribose)polymerase-2 (PARP-2) Inhibitors,['PARP2'],5-Benzoyloxy-1(2H)-isoquinolinone,659976.0,False
AA-02-FS13_0.01_24.0,AA-02-FS13,0.01,24.0,benzylhydrazine,NNCc1ccccc1,NHOWLEZFTHYCTP-UHFFFAOYSA-N,,[],Benzylhydrazine,11157.0,False
AA-03-QM41_0.01_24.0,AA-03-QM41,0.01,24.0,,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](CN2CCCC2)C1,LSFLAQVDISHMNB-AFARHQOCSA-N,Angiogenesis Inhibitors;Inhibitors of Signal Transduction Pathways;IGF-1R Inhibitors,['IGF1R'],,,True
AA-07-BW60_0.01_24.0,AA-07-BW60,0.01,24.0,4-chloro-N-(2-morpholin-4-ylethyl)benzamide,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,YHXISWVBGDMDLQ-UHFFFAOYSA-N,MAO-A Inhibitors,['MAOA'],Moclobemide,4235.0,True
AA-07-FZ97_0.01_24.0,AA-07-FZ97,0.01,24.0,"(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol",C=C1/C(=C\\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,GMRQFYUYWCNGIN-NKMMMXOESA-N,CYP27B1 metabolite,['VDR' 'CYP27B1'],Calcitriol,5280453.0,True
AA-09-HG96_0.1_24.0,AA-09-HG96,0.1,24.0,"3,7-dimethyl-1-(5-oxohexyl)purine-2,6-dione",CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,BYPFEZZEUUWMEJ-UHFFFAOYSA-N,Chitinase Inhibitors;TNF-alpha Production Inhibitors;Phosphodiesterase Inhibitors,['PDE4A' 'PDE4B' 'TNF' 'PDE5A' 'CHIA'],Pentoxifylline,4740.0,True
AA-10-BH32_0.01_24.0,AA-10-BH32,0.01,24.0,"(2S)-N-[(1S)-2-[(3aR,7aS)-7-oxo-6-(2-phenylethyl)-2,3,3a,4,5,7a-hexahydropyrrolo[2,3-c]pyridin-1-yl]-1-cyclohexyl-2-oxoethyl]-2-(methylamino)propanamide",CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CCN(CCc3ccccc3)C(=O)[C@H]21)C1CCCCC1,KOEJPVOFYIFFSM-UQAQOTMJSA-N,Inhibitor of Apoptosis Proteins (IAP) Inhibitors;Apoptosis Inducers,['XIAP'],"(2S)-N-[(1S)-2-[(3aR,7aS)-7-oxo-6-(2-phenylethyl)-2,3,3a,4,5,7a-hexahydropyrrolo[2,3-c]pyridin-1-yl]-1-cyclohexyl-2-oxoethyl]-2-(methylamino)propanamide",59788086.0,False
AA-10-VR76_0.01_24.0,AA-10-VR76,0.01,24.0,"3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,ACGUYXCXAPNIKK-UHFFFAOYSA-N,"Autotaxin) Inhibitors;Large Conductance K(Ca) 1.1 (BK, maxi K+) Channel Activators;Ectonucleotide Pyrophosphatase/Phosphodiesterase 2 (ENPP2",['ENPP2' 'SDHD'],Hexachlorophene,3598.0,True
AA-11-RO46_0.1_24.0,AA-11-RO46,0.1,24.0,"3-aza-13-azoniapentacyclo[11.7.0.02,10.04,9.014,19]icosa-1(13),2(10),4,6,8,11,14,16,18-nonaen-20-one",O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21,WYQIPCUPNMRAKP-UHFFFAOYSA-O,DNA-Intercalating Drugs;CDC25B Inhibitors;CDK4/Cyclin D1 Inhibitors;CDK6 Inhibitors,['CCND1' 'CDK4' 'CDK6'],Fascaplysin,73293.0,False
AA-12-VW53_0.01_24.0,AA-12-VW53,0.01,24.0,"(4S)-4-(2,4-difluoro-5-pyrimidin-5-ylphenyl)-4-methyl-5,6-dihydro-1,3-thiazin-2-amine",C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,MJQMRGWYPNIERM-HNNXBMFYSA-N,BACE1 gene inhibitor,['BACE1'],"(S)-4-(2,4-Difluoro-5-(pyrimidin-5-yl)phenyl)-4-methyl-5,6-dihydro-4H-1,3-thiazin-2-amine",44251605.0,True
