canonical_smiles,compound_name,original_smiles,source_existing_registry,source_drugseq,source_tahoe
,terreic-acid-(-),,True,False,False
Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Citalopram (hydrobromide),CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Br,False,False,True
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,"1,2,3,4,5,6-hexabromocyclohexane",BrC1C(Br)C(Br)C(Br)C(Br)C1Br,True,False,False
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,"4,5,6,7-tetrabromobenzotriazole",Brc1c(Br)c(Br)c2n[nH]nc2c1Br,True,False,False
Brc1c(NC2=NCCN2)ccc2nccnc12,brimonidine,Brc1c(NC2=NCCN2)ccc2nccnc12 |t:4|,True,False,True
Brc1cc2c(cc1C1Nc3ccccc3C3C=CCC31)OCO2,"4-(6-bromo-1,3-benzodioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline",Brc1cc2c(cc1C1Nc3ccccc3C3C=CCC31)OCO2,False,True,False
Brc1cc2c(cc1[C@H]1Nc3ccccc3[C@H]3C=CC[C@H]31)OCO2,g-15,"Brc1cc2OCOc2cc1[C@H]1Nc2ccccc2[C@H]2C=CC[C@@H]12 |&1:10,18,22,c:22|",True,False,False
Brc1ccc(NC2C3CC4CC(C3)CC2C4)cc1,bromantan,Brc1ccc(NC2C3CC4CC(C3)CC2C4)cc1,True,False,False
Brc1ccc2[nH]c3cnccc3c2c1,"6-bromo-9H-pyrido[3,4-b]indole",Brc1ccc2[nH]c3cnccc3c2c1,False,True,False
Brc1ccc2c(c1)CNCC2,"7-bromo-1,2,3,4-tetrahydroisoquinoline",Brc1ccc2c(c1)CNCC2,False,True,False
Brc1cccc(-c2c[nH]nn2)c1,4-(3-bromophenyl)-2H-triazole,Brc1cccc(-c2c[nH]nn2)c1,False,True,False
C#CC(C)(O)CC,meparfylon,CCC(C)(O)C#C |&1:2|,True,False,False
C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,Quinestrol,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5,False,False,True
C#CC1(OC[C@H](O)CN2CCN(c3cccc(C(F)(F)F)c3)CC2)CCCCC1,terciprazine,"O[C@@H](COC1(CCCCC1)C#C)CN1CCN(CC1)c1cccc(c1)C(F)(F)F |&1:1,r|",True,False,False
C#CCCC(=O)[C@@H](C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,manitimus,"FC(F)(F)c1ccc(NC(=O)[C@H](C#N)C(=O)CCC#C)cc1 |&1:11,r|",True,False,False
C#CCN(C)CC1=Cc2ccccc2Oc2ccccc21,N-(benzo[b][1]benzoxepin-5-ylmethyl)-N-methylprop-2-yn-1-amine,C#CCN(C)CC1=Cc2ccccc2Oc2ccccc21,False,True,False
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,clorgiline,CN(CCCOc1ccc(Cl)cc1Cl)CC#C,True,False,False
