perturbseqr_drug_id,name,pubchem_cid,inchi_key,smiles,broad_id,moa,target,clinical_phase,disease_area,indication,fda_approved,match_name,signature_name
be-2254,be-2254,86308637,PZZOEXPDTYIBPI-MRXNPFEDSA-N,Oc1ccc(CCNC[C@H]2CCc3ccccc3C2=O)cc1 |r|,BRD-A24429032-003-03-2,adrenergic receptor antagonist,ADRA1A,Phase 2,,,False,be-2254,BE-2254
dazmegrel,dazmegrel,53555,DEQLGSOHGTZKFB-UHFFFAOYSA-N,Cc1c(Cn2ccnc2)c2ccccc2n1CCC(O)=O,BRD-K20738689-001-01-2,thromboxane synthase inhibitor,TBXAS1,Phase 2,,,False,dazmegrel,dazmegrel
nobiletin,nobiletin,72344,MRIAQLRQZPPODS-UHFFFAOYSA-N,COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1,BRD-K06753942-001-14-5,MEK inhibitor,MAP2K1,Preclinical,,,False,nobiletin,nobiletin
l-368899,l-368899,9872389,MWIASLNTAGRGGA-ZJPWWDJASA-N,Cc1ccccc1N1CCN(CC1)S(=O)(=O)C[C@]12CC[C@H](C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C,BRD-K00004282-003-01-9,oxytocin receptor antagonist,AVPR1A|AVPR2|OXTR,Phase 1,,,False,l-368899,L-368899
betamethasone-valerate,betamethasone-valerate,16533,SNHRLVCMMWUAJD-SUYDQAKGSA-N,"CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO |c:19,t:15|",BRD-K34032314-001-04-1,glucocorticoid receptor agonist,NR3C1,Launched,dermatology,corticosteroid-responsive dermatoses,True,betamethasone-valerate,betamethasone-valerate
pnu-282987,pnu-282987,9795278,WECKJONDRAUFDD-ZDUSSCGKSA-N,Clc1ccc(cc1)C(=O)N[C@H]1CN2CCC1CC2,BRD-K28863208-001-03-8,cholinergic receptor agonist,CHRNA7,Preclinical,,,False,pnu-282987,PNU-282987
diclofenac,diclofenac,3033,DCOPUUMXTXDBNB-UHFFFAOYSA-N,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,BRD-K08252256-236-33-8,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A,Launched,rheumatology|neurology/psychiatry,rheumatoid arthritis|osteoarthritis|migraine headache,True,diclofenac,diclofenac
hemado,hemado,10981286,KOCIMZNSNPOGOP-IWCJZZDYSA-N,CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,BRD-K34672903-001-02-5,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3,Preclinical,,,False,hemado,hemado
proadifen,proadifen,4910,SNTQPLDRUZOSDP-UHFFFAOYSA-N,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,BRD-K46317332-003-16-0,nitric oxide synthase inhibitor,NOS1,Preclinical,,,False,proadifen,proadifen
simvastatin,simvastatin,54454,RYMZZMVNJRMUDD-HGQWONQESA-N,"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12 |c:14,t:12|",BRD-K22134346-001-28-0,HMGCR inhibitor,HMGCR|ITGB2,Launched,endocrinology|cardiology|neurology/psychiatry,hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia,True,simvastatin,simvastatin
gabexate,gabexate,3447,YKGYIDJEEQRWQH-UHFFFAOYSA-N,CCOC(=O)c1ccc(OC(=O)CCCCCNC(N)=N)cc1,BRD-K59256312-066-17-3,serine protease inhibitor,PRSS1|TPSAB1,Launched,gastroenterology,pancreatitis,True,gabexate,gabexate
thioperamide,thioperamide,6604452,JFAYRTHYLOZRNL-CQSZACIVSA-N,"S=C(NC1CCCCC1)N1CCC(CC1)[C@H]1C=NC=N1 |r,c:18,20|",BRD-A85424553-001-07-9,histamine receptor antagonist,HRH3|HRH4,Preclinical,,,False,thioperamide,thioperamide
fluvoxamine,fluvoxamine,5324346,CJOFXWAVKWHTFT-XSFVSMFZSA-N,COCCCC\C(=N/OCCN)c1ccc(cc1)C(F)(F)F,BRD-K53517854-050-21-4,selective serotonin reuptake inhibitor (SSRI),SLC6A4,Launched,neurology/psychiatry,obsessive compulsive disorder (OCD),True,fluvoxamine,fluvoxamine
bay-11-7085,bay-11-7085,5353432,VHKZGNPOHPFPER-ONNFQVAWSA-N,CC(C)(C)c1ccc(cc1)S(=O)(=O)\C=C\C#N,BRD-K48684885-001-04-2,NFkB pathway inhibitor,NFKBIA,Preclinical,,,False,bay-11-7085,BAY-11-7085
capsazepine,capsazepine,2733484,DRCMAZOSEIMCHM-UHFFFAOYSA-N,Oc1cc2CCCN(Cc2cc1O)C(=S)NCCc1ccc(Cl)cc1,BRD-K44849676-001-11-3,TRPV agonist,TRPV1|TRPV4,Preclinical,,,False,capsazepine,capsazepine
montelukast,montelukast,5281040,UCHDWCPVSPXUMX-TZIWLTJVSA-N,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(O)=O)CC1)c1cccc(\C=C\c2ccc3ccc(Cl)cc3n2)c1,BRD-K69470111-236-10-9,leukotriene receptor antagonist,ALOX5|CYSLTR1,Launched,pulmonary|allergy,asthma|allergic rhinitis|exercise-induced bronchoconstriction (EIB),True,montelukast,montelukast
cgp-52411,cgp-52411,1697,AAALVYBICLMAMA-UHFFFAOYSA-N,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc12,BRD-K13087974-001-03-3,EGFR inhibitor,EGFR,Preclinical,,,False,cgp-52411,CGP-52411
sym-2206,sym-2206,92209239,OFUDZKKOKPGXOH-LBPRGKRZSA-N,"CCCNC(=O)N1N=C(c2ccc(N)cc2)c2cc3OCOc3cc2[C@@H]1C |r,t:7|",BRD-A77218119-001-04-3,glutamate receptor antagonist,GRIA1|GRIA2|GRIA3|GRIA4,Preclinical,,,False,sym-2206,SYM-2206
pac-1,pac-1,9675990,YQNRVGJCPCNMKT-LFVJCYFKSA-N,Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1,BRD-K92991072-001-06-4,caspase activator,CASP3,Phase 1,,,False,pac-1,PAC-1
cerulenin,cerulenin,5282054,GVEZIHKRYBHEFX-NQQPLRFYSA-N,C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O,BRD-K52075040-001-09-7,fatty acid synthase inhibitor,FASN,Launched,infectious disease,fungal infection,True,cerulenin,cerulenin
gr-135531,gr-135531,4284525,MPZVHKLZCUEJFO-UHFFFAOYSA-N,COC(=O)Nc1ccc2[nH]cc(CCNC(C)=O)c2c1,BRD-K83023055-001-03-9,melatonin receptor agonist,,Preclinical,,,False,gr-135531,GR-135531
erlotinib,erlotinib,176870,AAKJLRGGTJKAMG-UHFFFAOYSA-N,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,BRD-K70401845-001-15-7,EGFR inhibitor,EGFR|NR1I2,Launched,oncology,non-small cell lung cancer (NSCLC)|pancreatic cancer,True,erlotinib,erlotinib
losmapimod,losmapimod,11552706,KKYABQBFGDZVNQ-UHFFFAOYSA-N,Cc1c(F)cc(cc1-c1ccc(cn1)C(=O)NCC(C)(C)C)C(=O)NC1CC1,BRD-K56195681-001-04-9,p38 MAPK inhibitor,MAPK14,Phase 3,,,False,losmapimod,losmapimod
raloxifene,raloxifene,5035,GZUITABIAKMVPG-UHFFFAOYSA-N,Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,BRD-K63828191-003-34-7,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),ESR1|ESR2,Launched,orthopedics|oncology,osteoporosis|breast cancer,True,raloxifene,raloxifene
