record_id,perturbseqr_drug_id,name,match_name,smiles,broad_id,signature_name,moa,target
be-2254,be-2254,be-2254,be-2254,Oc1ccc(CCNC[C@H]2CCc3ccccc3C2=O)cc1 |r|,BRD-A24429032-003-03-2,BE-2254,adrenergic receptor antagonist,ADRA1A
dazmegrel,dazmegrel,dazmegrel,dazmegrel,Cc1c(Cn2ccnc2)c2ccccc2n1CCC(O)=O,BRD-K20738689-001-01-2,dazmegrel,thromboxane synthase inhibitor,TBXAS1
nobiletin,nobiletin,nobiletin,nobiletin,COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1,BRD-K06753942-001-14-5,nobiletin,MEK inhibitor,MAP2K1
l-368899,l-368899,l-368899,l-368899,Cc1ccccc1N1CCN(CC1)S(=O)(=O)C[C@]12CC[C@H](C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C,BRD-K00004282-003-01-9,L-368899,oxytocin receptor antagonist,AVPR1A|AVPR2|OXTR
betamethasone-valerate,betamethasone-valerate,betamethasone-valerate,betamethasone-valerate,"CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO |c:19,t:15|",BRD-K34032314-001-04-1,betamethasone-valerate,glucocorticoid receptor agonist,NR3C1
pnu-282987,pnu-282987,pnu-282987,pnu-282987,Clc1ccc(cc1)C(=O)N[C@H]1CN2CCC1CC2,BRD-K28863208-001-03-8,PNU-282987,cholinergic receptor agonist,CHRNA7
diclofenac,diclofenac,diclofenac,diclofenac,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,BRD-K08252256-236-33-8,diclofenac,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A
hemado,hemado,hemado,hemado,CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,BRD-K34672903-001-02-5,hemado,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3
proadifen,proadifen,proadifen,proadifen,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,BRD-K46317332-003-16-0,proadifen,nitric oxide synthase inhibitor,NOS1
simvastatin,simvastatin,simvastatin,simvastatin,"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12 |c:14,t:12|",BRD-K22134346-001-28-0,simvastatin,HMGCR inhibitor,HMGCR|ITGB2
gabexate,gabexate,gabexate,gabexate,CCOC(=O)c1ccc(OC(=O)CCCCCNC(N)=N)cc1,BRD-K59256312-066-17-3,gabexate,serine protease inhibitor,PRSS1|TPSAB1
thioperamide,thioperamide,thioperamide,thioperamide,"S=C(NC1CCCCC1)N1CCC(CC1)[C@H]1C=NC=N1 |r,c:18,20|",BRD-A85424553-001-07-9,thioperamide,histamine receptor antagonist,HRH3|HRH4
fluvoxamine,fluvoxamine,fluvoxamine,fluvoxamine,COCCCC\C(=N/OCCN)c1ccc(cc1)C(F)(F)F,BRD-K53517854-050-21-4,fluvoxamine,selective serotonin reuptake inhibitor (SSRI),SLC6A4
bay-11-7085,bay-11-7085,bay-11-7085,bay-11-7085,CC(C)(C)c1ccc(cc1)S(=O)(=O)\C=C\C#N,BRD-K48684885-001-04-2,BAY-11-7085,NFkB pathway inhibitor,NFKBIA
capsazepine,capsazepine,capsazepine,capsazepine,Oc1cc2CCCN(Cc2cc1O)C(=S)NCCc1ccc(Cl)cc1,BRD-K44849676-001-11-3,capsazepine,TRPV agonist,TRPV1|TRPV4
montelukast,montelukast,montelukast,montelukast,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(O)=O)CC1)c1cccc(\C=C\c2ccc3ccc(Cl)cc3n2)c1,BRD-K69470111-236-10-9,montelukast,leukotriene receptor antagonist,ALOX5|CYSLTR1
cgp-52411,cgp-52411,cgp-52411,cgp-52411,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc12,BRD-K13087974-001-03-3,CGP-52411,EGFR inhibitor,EGFR
sym-2206,sym-2206,sym-2206,sym-2206,"CCCNC(=O)N1N=C(c2ccc(N)cc2)c2cc3OCOc3cc2[C@@H]1C |r,t:7|",BRD-A77218119-001-04-3,SYM-2206,glutamate receptor antagonist,GRIA1|GRIA2|GRIA3|GRIA4
pac-1,pac-1,pac-1,pac-1,Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1,BRD-K92991072-001-06-4,PAC-1,caspase activator,CASP3
cerulenin,cerulenin,cerulenin,cerulenin,C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O,BRD-K52075040-001-09-7,cerulenin,fatty acid synthase inhibitor,FASN
gr-135531,gr-135531,gr-135531,gr-135531,COC(=O)Nc1ccc2[nH]cc(CCNC(C)=O)c2c1,BRD-K83023055-001-03-9,GR-135531,melatonin receptor agonist,
erlotinib,erlotinib,erlotinib,erlotinib,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,BRD-K70401845-001-15-7,erlotinib,EGFR inhibitor,EGFR|NR1I2
losmapimod,losmapimod,losmapimod,losmapimod,Cc1c(F)cc(cc1-c1ccc(cn1)C(=O)NCC(C)(C)C)C(=O)NC1CC1,BRD-K56195681-001-04-9,losmapimod,p38 MAPK inhibitor,MAPK14
raloxifene,raloxifene,raloxifene,raloxifene,Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,BRD-K63828191-003-34-7,raloxifene,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),ESR1|ESR2
abamectin,abamectin,abamectin,abamectin,"[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@@]5(O[C@H](C(C)C)[C@@H](C)C=C5)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O |c:4,54,t:6,37,64|",BRD-K00004970-001-01-9,abamectin,benzodiazepine receptor agonist,GABBR1|GABBR2
umeclidinium,umeclidinium,umeclidinium,umeclidinium,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,BRD-K46692793-004-01-8,umeclidinium,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3
ursodeoxycholyltaurine,ursodeoxycholyltaurine,ursodeoxycholyltaurine,ursodeoxycholyltaurine,C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,BRD-K45245728-236-02-9,ursodeoxycholyltaurine,cholesterol inhibitor,
ambrisentan,ambrisentan,ambrisentan,ambrisentan,COC([C@H](Oc1nc(C)cc(C)n1)C(O)=O)(c1ccccc1)c1ccccc1,BRD-K41185545-001-03-9,ambrisentan,endothelin receptor antagonist,EDNRA|EDNRB
dimethyl-fumarate,dimethyl-fumarate,dimethyl-fumarate,dimethyl-fumarate,COC(=O)\C=C\C(=O)OC,BRD-K31111078-001-04-2,dimethyl-fumarate,nuclear factor erythroid derived|like (NRF2) activator,KEAP1
sasapyrine,sasapyrine,sasapyrine,sasapyrine,OC(=O)c1ccccc1OC(=O)c1ccccc1O,BRD-K48892307-001-05-8,sasapyrine,NFkB pathway inhibitor,PTGS1|PTGS2
gnf-2,gnf-2,gnf-2,gnf-2,NC(=O)c1cccc(c1)-c1cc(Nc2ccc(OC(F)(F)F)cc2)ncn1,BRD-K97056771-001-15-9,GNF-2,Bcr-Abl kinase inhibitor,ABL1|BCR
bix-02189,bix-02189,bix-02189,bix-02189,CN(C)Cc1cccc(N\C(=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c2ccccc2)c1,BRD-K73368362-001-08-3,BIX-02189,MEK inhibitor,MAP2K5|MAPK7
tegaserod,tegaserod,tegaserod,tegaserod,CCCCCNC(=N)N\N=C\c1c[nH]c2ccc(OC)cc12,BRD-K88743730-050-03-3,tegaserod,serotonin receptor partial agonist,HTR2A|HTR2B|HTR2C|HTR4
apramycin,apramycin,apramycin,apramycin,CN[C@H]1[C@@H](O)[C@H]2O[C@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)[C@H](N)C[C@@H]2O[C@@H]1O[C@H]1O[C@H](CO)[C@@H](N)[C@H](O)[C@H]1O,BRD-K96737756-065-02-9,apramycin,bacterial 30S ribosomal subunit inhibitor,
alizarin,alizarin,alizarin,alizarin,Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O,BRD-K73191876-001-12-0,alizarin,,
cid-5458317,cid-5458317,cid-5458317,cid-5458317,"OC1=c2ccccc2=C(NC2CCCCC2)\C1=C/c1ccccc1 |c:1,t:8|",BRD-A08840375-001-01-3,CID-5458317,MAP kinase phosphatase inhibitor,MAPK3
roflumilast,roflumilast,roflumilast,roflumilast,FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl,BRD-K03194791-001-04-8,roflumilast,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D
deferiprone,deferiprone,deferiprone,deferiprone,Cc1c(O)c(=O)ccn1C,BRD-K06878038-001-20-9,deferiprone,chelating agent,UGT1A6
cevimeline,cevimeline,cevimeline,cevimeline,"C[C@H]1O[C@]2(CS1)CN1CCC2CC1 |&1:1,3|",BRD-K00004291-003-01-9,cevimeline,acetylcholine receptor agonist,CHRM3
cgp-54626,cgp-54626,cgp-54626,cgp-54626,"C[C@H](NC[C@H](O)CP(O)(=O)CC1CCCCC1)c1ccc(Cl)c(Cl)c1 |a:1,4,&1:7|",BRD-A74208568-003-02-3,CGP-54626,GABA receptor antagonist,GABBR1|GABBR2|KCTD12|KCTD16|KCTD8
ticlopidine,ticlopidine,ticlopidine,ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,BRD-K00603606-003-24-0,ticlopidine,purinergic receptor antagonist,P2RY12
dofequidar,dofequidar,dofequidar,dofequidar,OC(COc1cccc2ncccc12)CN1CCN(CC1)C(=O)C(c1ccccc1)c1ccccc1,BRD-A14941520-051-01-0,dofequidar,MRP inhibitor|P glycoprotein inhibitor,ABCB1
tgx-221,tgx-221,tgx-221,tgx-221,"C[C@@H](Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1 |&1:1,r|",BRD-A41692738-001-10-0,TGX-221,PI3K inhibitor,PIK3CB|PIK3CD
rs-100329,rs-100329,rs-100329,rs-100329,Cc1c[nH]c(=O)n(CCCN2CCN(CC2)c2ccccc2OCC(F)(F)F)c1=O,BRD-K08640512-003-03-9,RS-100329,adrenergic receptor antagonist,ADRA1A|ADRA1D
olopatadine,olopatadine,olopatadine,olopatadine,CN(C)CC\C=C1\c2ccccc2COc2ccc(CC(O)=O)cc12,BRD-K67637637-003-11-8,olopatadine,histamine receptor antagonist,HRH1|S100A1|S100A12|S100A13|S100A2|S100B
khellin,khellin,khellin,khellin,COc1c2ccoc2c(OC)c2oc(C)cc(=O)c12,BRD-K80353807-001-24-6,khellin,vasodilator,
osi-930,osi-930,osi-930,osi-930,FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc2ccnc3ccccc23)cc1,BRD-K25340465-001-11-1,OSI-930,KIT inhibitor|VEGFR inhibitor,FLT1|KDR|KIT
