gene,gene_col
PHOX2B,0
CD55,1
RRBP1,2
CMAS,3
GAB2,4
PPP1R17,5
PLEKHA5,6
KCNMB1,7
SLIT2,8
COCH,9
RTCA,10
TMEM35A,11
ZNF536,12
SEC62,13
WFDC1,14
KLK12,15
SPRR2B,16
TGFB3,17
KLF5,18
LYVE1,19
KRT8,20
LGALS4,21
SLC17A3,22
WLS,23
RND1,24
RND3,25
FASN,26
SLURP1,27
ABCA2,28
ZG16,29
SCGB2A2,30
TES,31
NDE1,32
VAMP1,33
ID4,34
AOX1,35
TACSTD2,36
PLA1A,37
OSBPL1A,38
PUF60,39
SLC3A1,40
FN1,41
IL1RN,42
SERPINB9,43
FGFBP1,44
BBOX1,45
LPAR1,46
SERPINB5,47
PKP2,48
LOR,49
SERPINB2,50
LPL,51
TACC2,52
BCL3,53
BAG3,54
FLG,55
FBN2,56
BEX1,57
LTBR,58
BHMT,59
SYT1,60
SYNM,61
FAR2,62
MAB21L1,63
LMOD1,64
FOXF1,65
TBX3,66
PHLDA1,67
F2RL1,68
EZR,69
PLIN2,70
EYA1,71
SDS,72
A2M,73
SFN,74
MAOB,75
SFRP1,76
FSTL1,77
RAPGEF5,78
EREG,79
ATF3,80
EPHB3,81
SDC3,82
ENPP2,83
SGCE,84
MAPKAPK2,85
CALML3,86
LGALS1,87
PEG10,88
GALNT6,89
GATM,90
CANT1,91
GEM,92
ENOPH1,93
PMM2,94
EMP1,95
PMP22,96
PDHX,97
GHR,98
STK10,99
GJA1,100
STAT3,101
TFF3,102
LAMP5,103
LAMP3,104
PNMA8A,105
GOLT1B,106
PDGFD,107
TGFBR3,108
KRT6B,109
TGM1,110
VIM,111
SCNN1A,112
KRT6A,113
PXMP2,114
PCSK6,115
ZFHX4,116
KRT5,117
KRT2,118
KRT17,119
MATN2,120
ARHGAP29,121
KRT16,122
THBS1,123
SRPX,124
EIF1AY,125
ARG1,126
KRT15,127
PCK1,128
AQP9,129
CCR7,130
TIMP1,131
KRT14,132
TIMP3,133
APOD,134
KRT1,135
SRGN,136
MGLL,137
GSTA1,138
ECHDC3,139
GSTA4,140
POU2AF1,141
MID1,142
S100A2,143
PBX1,144
DSP,145
CD93,146
HAL,147
DSC1,148
TMEM176A,149
SPRR1B,150
SPRR1A,151
HAND1,152
KLK13,153
TMEM176B,154
DNAJB6,155
KLK11,156
SPINK5,157
DNAJB1,158
TMEM246,159
KLK10,160
DNAJA3,161
PABPC4,162
PPP1R13B,163
SPATS2L,164
MSN,165
SPARCL1,166
MSRA,167
ALDH3A2,168
KIF5B,169
ALDH1A3,170
ALDH1A1,171
MT1E,172
AKT3,173
TNFRSF1A,174
OXA1L,175
MT1G,176
MT1H,177
AKAP12,178
SOX9,179
HMGCS1,180
KDM5D,181
AHNAK2,182
MT1X,183
DACH1,184
MTCL1,185
PTN,186
RPS4Y1,187
PRAME,188
RGS1,189
HOPX,190
KCNJ2,191
OLFM4,192
PRKAR2B,193
HOXC10,194
ADIRF,195
TP63,196
MX1,197
RGS5,198
CXCL14,199
HPSE,200
CXCL13,201
MYH11,202
JCHAIN,203
CTSL,204
NXF3,205
MYLK,206
PTBP2,207
RHOB,208
HSPA1A,209
HSPA2,210
SMTN,211
ADAMTS1,212
HSPB1,213
HSPB6,214
HSPB8,215
ACTN4,216
HSPD1,217
ACTG2,218
ACTA2,219
CST6,220
TRHDE,221
ACOT9,222
NAV2,223
TRIM29,224
CRYAB,225
CRNN,226
NEBL,227
CRABP2,228
CRABP1,229
NEFM,230
CILP,231
CIT,232
INHBB,233
NETO2,234
NFATC4,235
ABCG1,236
PRSS3,237
IGFBP4,238
NGFR,239
COL9A2,240
COL6A3,241
NMU,242
TUBB2B,243
COL2A1,244
CNN3,245
CNN1,246
TUBA1A,247
RNASE1,248
TBC1D8,249
ATP6V1H,250
KDELR1,251
IFIT3,252
CISH,253
ERGIC3,254
ZIC1,255
TFDP1,256
PMEL,257
HIRA,258
ARSE,259
ARMCX1,260
ENO1,261
PSMF1,262
GGCT,263
TSTA3,264
NOLC1,265
PON3,266
IGFBP5,267
SERP1,268
CBS,269
ARHGEF40,270
YARS,271
SLC39A8,272
SERPINA6,273
RHOBTB3,274
OAS3,275
CPB2,276
FZD10,277
RAP1GDS1,278
SLC35F2,279
DACT1,280
MLEC,281
SEZ6L2,282
DCAF10,283
CDH1,284
SUGCT,285
MN1,286
ZWINT,287
LRRC8D,288
RAB11FIP1,289
GPC3,290
PRKCA,291
CHRNA9,292
PDIA3,293
HMOX1,294
BIRC5,295
TCEA1,296
CLTA,297
PRKD3,298
SIRPA,299
RXRA,300
DKK1,301
IFITM3,302
IFRD1,303
DNAJC12,304
C4BPA,305
STARD7,306
DCT,307
TYRP1,308
NMT1,309
PSAT1,310
SHOX2,311
SHMT2,312
DNMT3A,313
DLK1,314
PTDSS1,315
PTGER2,316
ZFAND1,317
DPP4,318
DLC1,319
BST2,320
TUBA4A,321
SHB,322
NDNF,323
SND1,324
DYRK3,325
MYO1D,326
MYO1B,327
DHRS2,328
SH3BGRL3,329
MYCN,330
CA2,331
NPY1R,332
BGN,333
EIF3B,334
BDH1,335
MUC5B,336
EMX2,337
PUM3,338
BCAM,339
NRCAM,340
BASP1,341
PUS7,342
CACNA2D2,343
SNAI2,344
PXDN,345
EXT1,346
F3,347
FABP1,348
TRIB3,349
DENND1B,350
SKP2,351
FBXL7,352
DDX60,353
NUPR1,354
UFM1,355
SRD5A1,356
PRDX2,357
ATP6V0D1,358
ATP6V0B,359
UGT2B17,360
DAP,361
FGFR3,362
RAI14,363
PPP1R3C,364
FKBP11,365
TPH1,366
SST,367
DAAM2,368
ASS1,369
ZNF232,370
OAS1,371
MFSD12,372
MFAP4,373
FOLR1,374
MEST,375
MELK,376
FRZB,377
PPIF,378
GAL,379
ASAH1,380
OAS2,381
ARNT2,382
GALNT14,383
OBSL1,384
CASP1,385
CYB5R1,386
GARS,387
RBP1,388
UPP1,389
CTSD,390
GAS2,391
STC1,392
STC2,393
SLPI,394
RET,395
MANBA,396
CSTA,397
RGS13,398
AQP3,399
CRISP3,400
GLI2,401
CREG1,402
TMEM97,403
RGS4,404
CREB3L2,405
UTP14A,406
CPB1,407
SELENBP1,408
LY6E,409
SLC7A5,410
RNF167,411
COL16A1,412
GPNMB,413
LRPPRC,414
GPR137B,415
SLC7A1,416
SV2C,417
LPCAT1,418
GREB1,419
GREM1,420
GUCY1A1,421
XAF1,422
HERC6,423
COG2,424
HIST1H2BK,425
HK2,426
KLK8,427
ALCAM,428
KLHDC10,429
PAX5,430
RSAD2,431
TIMM17B,432
VDR,433
SLC6A14,434
TBX2,435
IVNS1ABP,436
AGT,437
CD40,438
HSPA6,439
HSPA8,440
HSPH1,441
THBS2,442
SDF2L1,443
CD44,444
SDC2,445
SDC1,446
TCIRG1,447
ICMT,448
IFI27,449
ADH1B,450
ADGRG2,451
IFI44,452
IFI44L,453
ISG15,454
IFI6,455
ADCY9,456
SAMSN1,457
IFIH1,458
ADAMTS3,459
IFIT1,460
PLXNB2,461
IFITM1,462
TGFBI,463
TFPI2,464
CD74,465
ACP5,466
ACKR3,467
SLC39A14,468
CHGB,469
SARS,470
ABHD6,471
PLPPR4,472
TFAP2A,473
PEG3,474
SCG2,475
TENT4A,476
SCG5,477
CHD1L,478
PHGDH,479
PLEKHM1,480
CEBPD,481
FAT1,482
GPX4,483
AHR,484
HLX,485
ATP9A,486
KCNN2,487
MBNL2,488
MTMR1,489
CFAP20,490
EIF4H,491
TNK2,492
MFAP2,493
BUB1B,494
MYBPC1,495
SDC4,496
TOX,497
TP53I3,498
DDX17,499
LTA4H,500
ETHE1,501
MYO10,502
TIA1,503
LASP1,504
NR4A2,505
NT5DC2,506
CRKL,507
KIF14,508
NXN,509
PBK,510
TSPO,511
COL9A3,512
IPO9,513
ATP2A2,514
CMTM6,515
TTN,516
PDE5A,517
ATP8A1,518
PERP,519
RFC2,520
PLXNA1,521
ZDHHC6,522
PPFIA1,523
RAD51AP1,524
CDK19,525
PRPS1,526
PSMB5,527
STAG2,528
CD59,529
CBY1,530
HACD1,531
ZIC3,532
SUSD5,533
PTPRE,534
GPR161,535
GINS1,536
H2AFX,537
GGA1,538
GDPD5,539
GAS1,540
HIST3H2A,541
AURKA,542
HMGB3,543
FZD7,544
FXYD6,545
HOXA5,546
FST,547
TCEA2,548
HPGDS,549
TCEAL9,550
FSD1,551
FSCN1,552
ATP1A2,553
SPON1,554
CCNB2,555
SOX4,556
FOSB,557
BEX3,558
