Step 3 compound-level predictability values - first pass
=======================================================

Best bowtie model: step3_bowtie_autoencoder_first_pass_best.pt
Best epoch: 50
Best validation loss: 0.3604666906546691

Row-level observations: 112974
Unique compounds: 6605

For each compound, errors were aggregated across all matched profiled signatures.
Mean error is the average bowtie reconstruction error across contexts.
Variance of error measures how much reconstruction error changes across contexts.
Predictability score is defined as 1 - percentile rank of mean_total_error.
Higher predictability_score means lower average error and therefore more predictable.

Top rows:
 compound_embedding_row_index                                                                                                                                                                                                                                                                                            compound_name  n_profiles  mean_total_error  variance_total_error  std_total_error  median_total_error  mean_signature_error  variance_signature_error  mean_compound_error  mean_context_error  mean_signature_reconstruction_loss  mean_compound_reconstruction_bce  mean_signature_sign_accuracy  mean_compound_bitwise_accuracy  error_percentile  predictability_score
                         5547 (3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-15,30-diethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,19,25,28-octamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone; Cyclosporin V           4          0.088639              0.000721         0.026845            0.076948              0.035948                  0.000493             0.045021            0.011343                            0.058383                          0.010505                      0.997807                        0.998241          0.000151              0.999849
                         5198                                                                                                                                                                                                                                               Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride         144          0.101774              0.000621         0.024921            0.099155              0.075399                  0.000587             0.022497            0.007017                            0.148834                          0.006507                      0.983041                        0.998095          0.000303              0.999697
                         5185                                                                                                                                                                                             Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride         280          0.101963              0.000745         0.027303            0.099126              0.073337                  0.000638             0.022533            0.011370                            0.183230                          0.005732                      0.973885                        0.998681          0.000454              0.999546
                         1571                                                                                                                                                                                                                   3-(4-Methylpiperazine-1-carbonyl)-7-oxabicyclo(2.2.1)heptane-2-carboxylic acid; LB-100         130          0.107783              0.000883         0.029717            0.106208              0.081175                  0.000865             0.022701            0.006808                            0.159247                          0.013627                      0.978107                        0.996483          0.000606              0.999394
                         1911                              (1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-(2-oxopropyl)-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; FK-1706           2          0.111134              0.000237         0.015388            0.111134              0.042043                  0.000328             0.063157            0.009917                            0.049116                          0.024029                      1.000000                        0.995603          0.000757              0.999243
                         5137                                                                                                                                                                                                                                                             Docetaxel (Trihydrate); Docetaxel Trihydrate         136          0.113929              0.000687         0.026202            0.110893              0.071621                  0.000614             0.036244            0.010648                            0.166981                          0.009997                      0.979076                        0.997215          0.000908              0.999092
                         5217                                                                                                                                                                                                                                                             Pitavastatin (Calcium); Pitavastatin Calcium         142          0.115821              0.000468         0.021632            0.114308              0.071288                  0.000412             0.036866            0.012012                            0.176623                          0.043460                      0.974904                        0.984318          0.001060              0.998940
                          155                                                                                                                                                                                                                                                                                             Tirabrutinib         139          0.116393              0.000964         0.031048            0.112444              0.077820                  0.000810             0.030683            0.014404                            0.153359                          0.035599                      0.978408                        0.988128          0.001211              0.998789
                         5175                                                                                                                                                                                                                                                                      Fostamatinib (disodium hexahydrate)         135          0.119621              0.000668         0.025844            0.117099              0.068285                  0.000539             0.040776            0.019140                            0.190910                          0.082408                      0.976247                        0.974498          0.001363              0.998637
                          767                                                                                                                                                                                                                                                                                             Posaconazole         137          0.119997              0.000636         0.025218            0.121047              0.078803                  0.000572             0.034591            0.011468                            0.166242                          0.042152                      0.973705                        0.985344          0.001514              0.998486
