compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_source_normalized_error_z,variance_source_normalized_error_z,source_normalized_predictability_score
5116,cisplatin,155,0.37180778,0.10779059,0.32831484,0.29919264,0.1898504074415257,0.8225391934225195,0.6507191521574565
2502,"(2Z,4S,4aR,5S,5aR,6R,12aS)-2-[amino(hydroxy)methylene]-4-(dimethylamino)-5,10,11,12a-tetrahydroxy-6-methyl-4a,5,5a,6-tetrahydro-4H-tetracene-1,3,12-trione;ethanol;hydrate;hydrochloride; doxycycline",104,0.22759005,0.10521228,0.32436445,0.10243602,-0.1832164782157155,0.9180531137592453,0.8227100681302044
4724,sorafenib,189,0.15451536,0.06340119,0.25179595,0.0873953,-0.2440072946604646,0.7102324020646198,0.8469341408024225
2028,Etoposide; etoposide,103,0.1521496,0.048846055,0.22101143,0.08175377,-0.4318129074355041,0.5962927641160626,0.9096139288417864
2533,"(1S,9R,11S,14S,15S)-15-methyl-9-[9-(4,4,5,5,5-pentafluoropentanesulfinyl)nonyl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-5,14-diol; fulvestrant",282,0.13978419,1.3451962,1.1598257,0.04603409,-0.4847686145441878,2.37818738035331,0.927327781983346
639,4-Hydroxytamoxifen; tamoxifen,115,0.1379676,0.017660083,0.13289122,0.08963094,-0.2974769293858742,0.3536342487166855,0.8687358062074186
251,Dexamethasone Acetate; dexamethasone,334,0.13025668,0.04027573,0.20068817,0.06195986,-0.0399046087368631,0.8635461223698333,0.7585162755488266
3159,Ruxolitinib; ruxolitinib,110,0.12633547,0.008287371,0.091035,0.097079754,-0.2109667354920361,0.3553165045933561,0.834216502649508
2781,Linifanib; linifanib,113,0.119901545,0.009461561,0.09727056,0.088302985,-0.1725591485996033,0.548964582337828,0.817108251324754
99,Ibrutinib; ibrutinib,149,0.11938259,0.013496693,0.11617527,0.09527827,-0.1651206449746871,0.3701335666392855,0.8127176381529144
73,"calcitriol; trans-(1R,3S,5Z)-5-[(2E)-2-[(1S,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol",100,0.11835079,0.025513567,0.15972966,0.08806967,-0.2448018351211598,0.3695984341904861,0.8472369417108252
3546,5-Aza-2'-deoxycytidine; Decitabine,287,0.10919062,0.053823646,0.23199922,0.051823158,-0.3135987057260055,0.7971605742590182,0.8752460257380772
946,Pracinostat; SB-939,180,0.10668335,0.0103464555,0.101717524,0.084404334,-0.466579149904813,0.3388283785306924,0.9212717638152914
2071,GW-843682X; GW843682X,100,0.106568575,0.00061888294,0.024877356,0.10680011,0.0980680856884509,0.3325192673690761,0.6940196820590462
2495,Digoxin; digoxin,207,0.09943802,0.013662773,0.11688786,0.08056532,-0.4443591570370647,0.4515867902115567,0.9138531415594248
739,Romidepsin; romidepsin,131,0.09865426,0.0043163025,0.06569858,0.0859658,-0.3878638586591695,0.2811095048758172,0.8981074943224829
2000,Alisertib; alisertib,156,0.09855177,0.0020646325,0.045438237,0.090180315,-0.3603454238003405,0.2726528343243988,0.8894776684330052
1999,Tamatinib; fostamatinib,113,0.098121785,0.0004591117,0.02142689,0.095213294,-0.0977243720284047,0.2466758782149324,0.7848599545798638
3565,(E)-N-hydroxy-3-[4-[[2-hydroxyethyl-[2-(1H-indol-3-yl)ethyl]amino]methyl]phenyl]prop-2-enamide; Dacinostat,168,0.09612819,0.00242848,0.049279604,0.08650336,-0.3668572014283552,0.495405132533681,0.8909916729750189
