compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_source_normalized_error_z,variance_source_normalized_error_z,source_normalized_predictability_score
7866,BRD-K09991945; GSK-3 Inhibitor II,25,0.21433654,0.0007435489,0.027268093,0.216921,2.5960763442846666,0.3995010368520401,0.0663133989401968
2174,"1-(2,4-dimethoxyphenyl)-3-(2,6-dimethylphenyl)-1-[6-[4-(4-methylpiperazin-1-yl)anilino]pyrimidin-4-yl]urea; HG-9-91-01",22,0.18022668,0.0008524792,0.029197248,0.17679358,1.805426729913356,0.4580282477897403,0.1630582891748675
5896,4-tert-butyl-N-[2-methyl-3-[4-methyl-6-[4-(morpholine-4-carbonyl)anilino]-5-oxopyrazin-2-yl]phenyl]benzamide; Cgi1746,20,0.17843935,0.00059138204,0.024318349,0.17647314,1.763997174132513,0.3177433848770828,0.1710825132475397
497,PU-H71; Zelavespib,20,0.17267165,0.00073336094,0.027080638,0.16946918,1.6303049284819646,0.3940271674010844,0.1963663890991672
1599,6-cyclopropyl-8-fluoro-2-[2-(hydroxymethyl)-3-[1-methyl-5-[[5-(4-methylpiperazin-1-yl)pyridin-2-yl]amino]-6-oxopyridin-3-yl]phenyl]isoquinolin-1-one; RN486,25,0.1734342,0.0017118788,0.04137485,0.17027935,1.5961758829079848,1.0872307771847702,0.2028766086298259
6226,N-[2-methyl-5-[oxo-[3-(1-oxoprop-2-enylamino)-5-(trifluoromethyl)anilino]methyl]phenyl]-5-isoxazolecarboxamide; QL-XI-92,29,0.16815661,0.00095485913,0.030900793,0.16049466,1.5256483416412818,0.5130357566676416,0.2198334595003784
24208,"2,7-bis(piperidin-1-ylsulfonyl)-9H-fluoren-9-one oxime; CIL56",24,0.16778916,0.00049707,0.022295067,0.16215613,1.5171309255450118,0.2670705342218024,0.2227100681302044
4491,rimcazole,26,0.16513869,0.00045309667,0.021286067,0.16416007,1.3126331217572842,0.2917662774585169,0.2740348221044663
5179,BI-3406,143,0.05756689,0.0001478486,0.0121593,0.05580819,1.1545995268367724,1.0246528577300007,0.3127933383800151
698,"4-(4-(trifluoromethyl)phenyl)-N-(6-fluoro-1H-indazol-5-yl)-2-methyl-6-oxo-1,4,5,6-tetrahydro-3-pyridinecarboxamide; GSK-429286A",29,0.15171157,0.0007626624,0.027616348,0.15361044,1.1366784814344997,0.4202027230115873,0.3170325510976532
1350,JTC-801; N-(4-amino-2-methylquinolin-6-yl)-2-(4-ethylphenoxymethyl)benzamide; N-(4-amino-2-methylquinolin-6-yl)-2-[(4-ethylphenoxy)methyl]benzamide,25,0.15137093,0.0008654175,0.02941798,0.143879,1.1365644521479938,0.464979833660077,0.3171839515518546
12935,griseofulvin,23,0.15073441,0.0008837968,0.029728716,0.14650625,1.1274938040671345,0.5420573434391133,0.3196063588190765
1700,(3S)-N-methyl-3-naphthalen-1-yloxy-3-thiophen-2-ylpropan-1-amine; Duloxetine; duloxetine,24,0.15232258,0.00089731166,0.029955149,0.15638715,1.1270989376450322,0.5704503295288579,0.3199091597274791
