compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_source_normalized_error_z,variance_source_normalized_error_z,source_normalized_predictability_score
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.035060328,0.00010290772,0.010144345,0.03337767,-0.7190525267622662,0.7131939388849619,0.9747161241483724
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,142,0.035563786,8.005203e-05,0.008947181,0.034379695,-0.677140165072951,0.5547943309348838,0.9672975018925056
5150,Doxycycline (monohydrate); Invertin,139,0.03643017,9.426315e-05,0.0097089205,0.03616372,-0.6050142261773588,0.6532832223501548,0.9535200605601816
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,0.036664996,0.000105826664,0.01028721,0.034693435,-0.5854650429184047,0.7334234866043531,0.949886449659349
3111,Temuterkib,143,0.036769375,0.000120321645,0.010969122,0.035419535,-0.5767756715928808,0.8338795254392574,0.948221044663134
611,Silodosin,135,0.036897227,0.00016414441,0.012811885,0.034347214,-0.586386060817777,1.0944336358254785,0.9504920514761545
2020,Erdafitinib,138,0.037073098,9.6505144e-05,0.009823703,0.03636059,-0.5514911350349709,0.6688212049330317,0.941559424678274
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,0.03780337,8.6014275e-05,0.009274385,0.03677765,-0.4906963824640126,0.5961147351845623,0.9291445874337624
5181,Simotinib,135,0.038177907,8.381227e-05,0.009154905,0.037470683,-0.4595167929247102,0.5808543647673159,0.9185465556396668
3445,Bimiralisib,145,0.038225774,8.98635e-05,0.009479635,0.038376868,-0.4555319487644119,0.6227917303998316,0.9176381529144588
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,142,0.038516268,0.00010410001,0.010202942,0.03820412,-0.4313483128277626,0.7214569774632977,0.9094625283875852
5536,SBI-0640756; Sbi-756,140,0.038828164,9.129558e-05,0.009554869,0.036940586,-0.4053831596064384,0.6327163589913021,0.9026495079485238
1089,Pemigatinib,139,0.03898922,9.084415e-05,0.00953122,0.037102755,-0.3919759132893455,0.6295882573194241,0.8996214988644966
5512,Entecavir (monohydrate); Entecavir Hydrate,132,0.039227292,9.792513e-05,0.009895712,0.039459396,-0.3721565699476619,0.678662207160174,0.8925056775170326
5531,Cloxacillin (sodium); Cloxacillin Sodium,139,0.03940328,0.00014113808,0.011880155,0.03802955,-0.3575056760447171,0.9781462900147146,0.8884178652535958
5197,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride,287,0.0394177,0.000118321084,0.01087755,0.03810492,-0.3829642832226387,0.8004062516713238,0.8959878879636639
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",147,0.03970697,0.00043532002,0.020864327,0.03642036,-0.5272630634964957,0.5175212020006847,0.9359576078728236
5140,Perindopril (erbumine); Perindopril Erbumine,133,0.03981391,0.00010645753,0.010317828,0.03843356,-0.3233209976284106,0.737795666960414,0.8781226343679032
3093,9-ING-41; Elraglusib,142,0.039947152,6.1071005e-05,0.007814794,0.039715298,-0.312228315943645,0.4232477217470795,0.8747918243754731
2136,Hesperidin,144,0.039952002,0.00015537815,0.012465078,0.038936906,-0.4213448735872601,0.7235609998681761,0.9065859197577592
1831,Rifaximin,136,0.040119294,0.00014581047,0.012075202,0.03797813,-0.3232846670388427,0.9446324499390588,0.8779712339137018
5147,Estrone sulfate (potassium); Potassium estrone sulfate,142,0.040185425,9.741591e-05,0.009869951,0.039064053,-0.2923926042968915,0.6751333219308342,0.8667676003028009
5239,Fusidic Acid; Fusidic acid,145,0.040190786,0.0001624006,0.012743648,0.03841349,-0.3442893591151145,1.1001720537584143,0.8846328538985617
5154,Azithromycin (hydrate); Azithromycin Dihydrate,142,0.040225465,0.00010679063,0.010333954,0.039050598,-0.2890592691511415,0.7401038830116585,0.8652535957607873
5207,Bentamapimod,141,0.04026689,9.964878e-05,0.009982425,0.039388634,-0.285610776514083,0.6906081793308306,0.863890991672975
643,Glycyrrhizic acid; Glycyrrhizin,140,0.040368516,9.894257e-05,0.009946989,0.03967969,-0.2903659177350777,0.6669113184362235,0.8663133989401968
5158,Procainamide (hydrochloride); Procainamide Hydrochloride,131,0.040383898,7.4086754e-05,0.008607366,0.038565006,-0.2758697848582956,0.5134523230130691,0.8595003785011355
5212,Lenalidomide (hemihydrate); Lenalidomide hemihydrate,143,0.04045848,9.8038676e-05,0.009901447,0.03976515,-0.2696606552839016,0.6794491414434718,0.8576835730507192
5164,Daraxonrasib; RMC-6236,143,0.040489554,0.00013635948,0.011677306,0.03804197,-0.2670740454724772,0.9450285609460228,0.8564723694171082
5328,Demeclocycline,150,0.040509053,0.00019652487,0.014018731,0.037625395,-0.3880501083292511,1.0493825723759256,0.8982588947766843
