compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin
24002,Palmitic acid,57,0.4054891,0.08535277,0.292152,0.32794473,0.36233595,0.07054187,0.2655972,0.042175062,0.00081362034,0.0025455742,0.0009379892,0.1544181025087719,0.0008399024,0.982910959122807,0.99970686,0.9981831945495836,0.0018168054504164,0.2064299484991996,0.7253938779056137,0.8517005799608297,-0.030979268832109278,2,0.35594246782740346,0.6440575321725965,20-99
3113,Talazoparib; talazoparib,82,0.39506164,0.12409778,0.35227516,0.2878129,0.34072608,0.10466995,0.32352734,0.050593045,0.0016586317,0.0019057299,0.0067226943,0.2082014663658536,0.06056576,0.9732763829268292,0.979188,0.997880393641181,0.002119606358819,0.3872777771202357,0.9231209094848883,0.9607918138103011,0.10962861426278202,3,0.430885692657078,0.569114307342922,20-99
1367,6-ethyl-3-[3-methoxy-4-[4-(4-methylpiperazin-1-yl)piperidin-1-yl]anilino]-5-(oxan-4-ylamino)pyrazine-2-carboxamide; Gilteritinib,20,0.38530162,0.10486426,0.3238275,0.25357908,0.2984205,0.08773934,0.29620826,0.08584127,0.001139766,0.0015816325,0.0014470799,0.2451489119,0.018542785,0.953731732,0.9922321400000002,0.9977289931869796,0.0022710068130203,0.31263697883589103,0.8997790126086714,0.948566820318248,0.1286031997160954,2,0.4022710068130204,0.5977289931869796,20-99
5116,cisplatin,155,0.37180778,0.10779059,0.32831484,0.29919264,0.32446676,0.09499458,0.30821195,0.045043968,0.0006572413,0.0023976243,0.0036350435,0.2637046238967742,0.00384589,0.9505619113548388,0.9988275,0.9972747918243756,0.0027252081756244,0.18985040744152573,0.8225391934225195,0.9069394651367418,-0.07569121086961515,2,0.34928084784254354,0.6507191521574565,100+
21252,glutamine,22,0.34212747,0.0621046,0.24920796,0.3064896,0.29302117,0.055016626,0.23455621,0.045429107,0.00042261224,0.0005875007,0.0071194214,0.2671828406363636,0.0011977431,0.959633365,1.0,0.9947009841029524,0.0052990158970477,0.010664093232859505,0.53542079311946,0.7317245336323362,-0.09397583255590478,1,0.26540499621498864,0.7345950037850113,20-99
3298,Nicotinamide; nicotinamide,93,0.3260074,0.13800697,0.37149283,0.1931114,0.28832203,0.12536885,0.35407466,0.035063546,0.000476222,0.0014230923,0.0046744067,0.2112939309139785,0.002578438,0.9680730981720428,0.9994137,0.9925813777441332,0.0074186222558667,0.04353123093773632,1.1863153414633403,1.0891810416378631,-0.37864713751754436,2,0.28069644208932626,0.7193035579106737,20-99
3413,"(1R,2S)-Tranylcypromine; tranylcypromine",37,0.32160395,0.06456981,0.25410593,0.26359564,0.27676132,0.056628235,0.23796688,0.04125373,0.00034130717,0.0015163013,0.006571315,0.2833617885405405,0.002730482,0.937442345945946,0.99926716,0.9915215745647236,0.0084784254352763,0.04518409020845053,0.6152807503969727,0.7843983365592846,-0.055690218088861834,4,0.2813020439061317,0.7186979560938682,20-99
2508,"(8S,9S,10R,11S,13S,14R,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one; prednisolone",28,0.297177,0.17316435,0.4161302,0.15452528,0.2657885,0.1580231,0.3975212,0.027779851,0.00059827854,0.0011980691,0.0067380103,0.2371930173571428,0.0077098514999999,0.9573404807142856,0.997655,0.9865253595760788,0.0134746404239213,0.11825059882315066,1.5996852446069751,1.2647866399543344,-0.1722370869941882,4,0.31703255109765327,0.6829674489023467,20-99
2344,"Eed226; N-(furan-2-ylmethyl)-8-(4-methylsulfonylphenyl)-[1,2,4]triazolo[4,3-c]pyrimidin-5-amine",20,0.293354,0.02527606,0.15898448,0.27567512,0.20994994,0.02346334,0.15317747,0.077026226,9.265031e-05,0.002083234,0.011922406,0.37845220395,0.0154061215,0.892487841,0.99516344,0.9851627554882664,0.0148372445117335,0.3412651745274825,1.1413029467257807,1.0683178116673806,0.004753169442837088,2,0.41362604087812266,0.5863739591218773,20-99
1403,"3-(diaminomethylidene)-1,1-dimethylguanidine; Metformin",84,0.26486868,0.099617995,0.3156232,0.1160794,0.22648448,0.08566338,0.29268306,0.033265926,0.00074828684,0.0019646122,0.009450704,0.2942113683214286,0.015716646,0.9498534991666668,0.9950169,0.9735049205147616,0.0264950794852384,-0.07133650229831379,0.952383202621991,0.975901225853309,-0.3538674267925627,5,0.2254352763058289,0.7745647236941711,20-99
