compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score
5496,Trehalose; trehalose,19,0.51048505,0.20560938,0.45344168,0.36469752,0.4455987,0.17860113,0.42261225,0.06079468,0.0013981189,0.0014366384,0.007608698,0.2319017836842105,0.0016244522,0.9660980721052632,0.99985343,0.9998485995457986,0.0001514004542013
4091,inosine,9,0.5099747,0.100490324,0.3170021,0.6277622,0.4449134,0.093250036,0.3053687,0.06308845,0.00025526682,0.00091398973,0.0035801004,0.1864050972222222,0.008018893,0.9810591777777778,0.99780154,0.9996971990915972,0.0003028009084027
21230,ivosidenib,11,0.48446265,0.015171023,0.1231707,0.4710518,0.32126224,0.012897275,0.113566175,0.15835144,0.0001735973,0.0015233285,0.009088699,0.4054049799999999,0.0288639299999999,0.8960108118181818,0.9904734,0.9993943981831944,0.0006056018168054
2512,"(5S,8R,9S,10S,13S,14S,17S)-17-hydroxy-10,13,17-trimethyl-3-oxo-2,4,5,6,7,8,9,11,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthrene-2-carboxaldehyde; oxymetholone",19,0.4827669,0.5518638,0.74287534,0.1213652,0.42411768,0.5190027,0.7204184,0.04599004,0.00077265897,0.0029764718,0.024127787,0.1835609368421052,0.027485996,0.9800374042105262,0.991939,0.9992429977289932,0.0007570022710068
23986,Angiotensin ii,14,0.42945176,0.8916622,0.94427866,0.11550939,0.34484276,0.76923406,0.87705994,0.08071523,0.004760198,0.0015579313,0.0071643097,0.2850201171428571,0.0060308133,0.9430635664285714,0.9983878,0.9987887963663892,0.0012112036336109
24002,Palmitic acid,57,0.4054891,0.08535277,0.292152,0.32794473,0.36233595,0.07054187,0.2655972,0.042175062,0.00081362034,0.0025455742,0.0009379892,0.1544181025087719,0.0008399024,0.982910959122807,0.99970686,0.9981831945495836,0.0018168054504164
3113,Talazoparib; talazoparib,82,0.39506164,0.12409778,0.35227516,0.2878129,0.34072608,0.10466995,0.32352734,0.050593045,0.0016586317,0.0019057299,0.0067226943,0.2082014663658536,0.06056576,0.9732763829268292,0.979188,0.997880393641181,0.002119606358819
1367,6-ethyl-3-[3-methoxy-4-[4-(4-methylpiperazin-1-yl)piperidin-1-yl]anilino]-5-(oxan-4-ylamino)pyrazine-2-carboxamide; Gilteritinib,20,0.38530162,0.10486426,0.3238275,0.25357908,0.2984205,0.08773934,0.29620826,0.08584127,0.001139766,0.0015816325,0.0014470799,0.2451489119,0.018542785,0.953731732,0.9922321400000002,0.9977289931869796,0.0022710068130203
3479,Pomalidomide; pomalidomide,12,0.37253153,0.12011171,0.3465714,0.18189713,0.2938182,0.088123694,0.29685637,0.076669216,0.0027980742,0.003610477,0.0026440201,0.3866441816666666,0.0053336187,0.890067615,0.9988275,0.9974261922785768,0.0025738077214231
5116,cisplatin,155,0.37180778,0.10779059,0.32831484,0.29919264,0.32446676,0.09499458,0.30821195,0.045043968,0.0006572413,0.0023976243,0.0036350435,0.2637046238967742,0.00384589,0.9505619113548388,0.9988275,0.9972747918243756,0.0027252081756244
