compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin
7866,BRD-K09991945; GSK-3 Inhibitor II,25,0.21433654,0.0007435489,0.027268093,0.216921,0.10015139,0.00057025114,0.02387993,0.10592903,7.311779e-05,0.0010503931,0.016092094,0.195841016,0.0056167417,0.9794153816,0.9989741,0.9053747161241484,0.0946252838758516,2.5960763442846666,0.39950103685204014,0.6320609439381935,2.6559828622860047,1,0.9336866010598032,0.06631339894019683,20-99
2174,"1-(2,4-dimethoxyphenyl)-3-(2,6-dimethylphenyl)-1-[6-[4-(4-methylpiperazin-1-yl)anilino]pyrimidin-4-yl]urea; HG-9-91-01",22,0.18022668,0.0008524792,0.029197248,0.17679358,0.07965368,0.0008231505,0.028690599,0.09262188,3.2000084e-05,0.00015298302,0.01584106,0.1904558554545454,0.023450395,0.9788611113636364,0.9925253,0.7959121877365632,0.2040878122634367,1.8054267299133562,0.45802824778974033,0.6767778422715539,1.7258489325458384,1,0.8369417108251325,0.16305828917486753,20-99
5896,4-tert-butyl-N-[2-methyl-3-[4-methyl-6-[4-(morpholine-4-carbonyl)anilino]-5-oxopyrazin-2-yl]phenyl]benzamide; Cgi1746,20,0.17843935,0.00059138204,0.024318349,0.17647314,0.08074984,0.00042797718,0.02068761,0.08494923,0.000107571715,0.0015828327,0.024847422,0.2048876962,0.021439636,0.9707844405,0.99267185,0.7875851627554883,0.2124148372445117,1.7639971741325127,0.3177433848770828,0.563687311261379,1.7184212913142884,1,0.8289174867524602,0.17108251324753976,20-99
497,PU-H71; Zelavespib,20,0.17267165,0.00073336094,0.027080638,0.16946918,0.08493073,0.0006339101,0.02517757,0.08169825,2.8452456e-05,0.00036402582,0.01193975,0.2204826975,0.025672123,0.9684088645,0.99164593,0.7601816805450416,0.2398183194549583,1.6303049284819646,0.3940271674010844,0.6277158333203683,1.5560729512814322,1,0.8036336109008327,0.19636638909916726,20-99
1599,6-cyclopropyl-8-fluoro-2-[2-(hydroxymethyl)-3-[1-methyl-5-[[5-(4-methylpiperazin-1-yl)pyridin-2-yl]amino]-6-oxopyridin-3-yl]phenyl]isoquinolin-1-one; RN486,25,0.1734342,0.0017118788,0.04137485,0.17027935,0.06967441,0.0012035863,0.034692742,0.08704103,2.3354172e-05,0.00031548153,0.03331133,0.2113843853199999,0.03744347,0.9699892824,0.98461086,0.7647236941710825,0.2352763058289174,1.5961758829079848,1.0872307771847702,1.0427035902809438,1.5748524083865723,3,0.7971233913701741,0.20287660862982593,20-99
6226,N-[2-methyl-5-[oxo-[3-(1-oxoprop-2-enylamino)-5-(trifluoromethyl)anilino]methyl]phenyl]-5-isoxazolecarboxamide; QL-XI-92,29,0.16815661,0.00095485913,0.030900793,0.16049466,0.080033,0.00083122624,0.028830992,0.080116555,3.419451e-05,0.0002960772,0.015895698,0.1939890272413793,0.017511198,0.979150073448276,0.9935512,0.7338380015140046,0.2661619984859954,1.5256483416412818,0.5130357566676416,0.7162651441105043,1.3480481177801031,1,0.7801665404996215,0.21983345950037847,20-99
24208,"2,7-bis(piperidin-1-ylsulfonyl)-9H-fluoren-9-one oxime; CIL56",24,0.16778916,0.00049707,0.022295067,0.16215613,0.06699691,0.00034789194,0.018651862,0.092763215,7.3820855e-05,0.00056758645,0.015831029,0.1855683304166666,0.01577519,0.98323013,0.9950169,0.7315669947009841,0.2684330052990159,1.5171309255450118,0.26707053422180244,0.5167886746261013,1.3865602892168458,1,0.7772899318697956,0.22271006813020444,20-99
4491,rimcazole,26,0.16513869,0.00045309667,0.021286067,0.16416007,0.06572934,0.00035706893,0.018896267,0.094363295,3.1391595e-05,0.0006563763,0.009829546,0.1810462263846153,0.0072850334,0.9763472107692308,0.99736184,0.7159727479182437,0.2840272520817563,1.3126331217572842,0.29176627745851696,0.5401539386679661,1.2035300340396544,2,0.7259651778955337,0.2740348221044663,20-99
5179,BI-3406,143,0.05756689,0.0001478486,0.0121593,0.05580819,0.03591653,0.00014777038,0.012156084,0.01896562,3.9695606e-06,0.0001657793,0.0053031626,0.1581134312587412,0.0189308,0.97864883,0.99457717,0.0446631339894019,0.955336866010598,1.1545995268367724,1.0246528577300007,1.0122513807004665,1.0081892994337867,1,0.6872066616199849,0.3127933383800151,100+
698,"4-(4-(trifluoromethyl)phenyl)-N-(6-fluoro-1H-indazol-5-yl)-2-methyl-6-oxo-1,4,5,6-tetrahydro-3-pyridinecarboxamide; GSK-429286A",29,0.15171157,0.0007626624,0.027616348,0.15361044,0.08014457,0.0006458345,0.025413275,0.06316469,3.8058857e-05,0.0004444582,0.01662683,0.2086772906896551,0.03165304,0.9759793289655172,0.9890078,0.6280090840272521,0.3719909159727479,1.1366784814344995,0.42020272301158734,0.6482304551712974,1.1884752919185915,2,0.6829674489023467,0.31703255109765327,20-99
1350,JTC-801; N-(4-amino-2-methylquinolin-6-yl)-2-(4-ethylphenoxymethyl)benzamide; N-(4-amino-2-methylquinolin-6-yl)-2-[(4-ethylphenoxy)methyl]benzamide,25,0.15137093,0.0008654175,0.02941798,0.143879,0.06886597,0.0006735143,0.025952155,0.0753434,4.652439e-05,0.00032492887,0.014193122,0.18176137,0.010755244,0.9799126764,0.9963359,0.6267978803936411,0.3732021196063588,1.1365644521479938,0.46497983366007706,0.6818942980111192,0.9629053100612801,1,0.6828160484481454,0.31718395155185464,20-99
12935,griseofulvin,23,0.15073441,0.0008837968,0.029728716,0.14650625,0.07904754,0.0006746028,0.025973117,0.06322649,4.0567775e-05,0.00069189776,0.016644,0.1696853839130434,0.028417246,0.9832799269565216,0.9907665,0.6221044663133989,0.3778955336866011,1.1274938040671343,0.5420573434391133,0.7362454369563952,1.0238036698964763,3,0.6803936411809235,0.3196063588190765,20-99
1700,(3S)-N-methyl-3-naphthalen-1-yloxy-3-thiophen-2-ylpropan-1-amine; Duloxetine; duloxetine,24,0.15232258,0.00089731166,0.029955149,0.15638715,0.059960727,0.00044666923,0.021134553,0.08342079,6.980077e-05,0.0004920995,0.017685264,0.1656912849583333,0.010156599,0.98235724,0.9967756,0.6334595003785012,0.3665404996214988,1.1270989376450322,0.5704503295288579,0.7552816226606192,1.2528380608739589,2,0.6800908402725209,0.31990915972747913,20-99
4023,"14,15-diazatetracyclo[7.6.1.02,7.013,16]hexadeca-1(15),2,4,6,9(16),10,12-heptaen-8-one; anthra(1,9-cd)pyrazol-6(2H)-one; pyrazolanthrone",20,0.14989121,0.0006009753,0.024514798,0.14495035,0.081617385,0.00045702513,0.021378145,0.06166347,5.5877306e-05,0.00064781326,0.012961592,0.19902131,0.024372054,0.977102674,0.9909131,0.6175624526873581,0.3824375473126419,1.1022654145648085,0.3228977645323146,0.5682409388035278,0.9877385590165138,1,0.6734292202876608,0.32657077971233917,20-99
