compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.035060328,0.00010290772,0.010144345,0.03337767,0.026342776,9.6453114e-05,0.009821054,0.0038626266,4.873465e-07,8.637833e-05,0.0096753,0.1832299974142857,0.0057315817,0.9738846024642858,0.99868095,0.0007570022710068,0.9992429977289932
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,142,0.035563786,8.005203e-05,0.008947181,0.034379695,0.027919438,7.611443e-05,0.00872436,0.0046255193,5.647963e-07,0.00010598657,0.005995262,0.1312535630070422,0.008396865,0.987940145,0.9975084,0.0009084027252081,0.9990915972747918
5150,Doxycycline (monohydrate); Invertin,139,0.03643017,9.426315e-05,0.0097089205,0.03616372,0.024623841,8.051736e-05,0.008973149,0.0061192396,1.7158272e-06,0.00019946301,0.011294396,0.1640526409352518,0.039728098,0.9765747777697844,0.9853437,0.0012112036336109,0.9987887963663892
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,0.036664996,0.000105826664,0.01028721,0.034693435,0.026756767,9.740533e-05,0.009869412,0.0051512364,7.297209e-07,0.00014802568,0.009454779,0.1669813834191176,0.009997434,0.9790762863235294,0.99721533,0.0013626040878122,0.9986373959121876
3111,Temuterkib,143,0.036769375,0.000120321645,0.010969122,0.035419535,0.028988315,0.0001262751,0.011237216,0.0053253025,1.2137752e-06,0.0004312057,0.0047390363,0.1300000077272727,0.0743816,0.9859007486713288,0.9765499,0.0015140045420136,0.9984859954579864
611,Silodosin,135,0.036897227,0.00016414441,0.012811885,0.034347214,0.02429092,0.00013250268,0.011510981,0.0062726676,9.803953e-07,0.00026854288,0.012559865,0.1819202504148148,0.03961927,0.9728280708148148,0.9863696,0.0016654049962149,0.998334595003785
2020,Erdafitinib,138,0.037073098,9.6505144e-05,0.009823703,0.03636059,0.026791297,0.00010494712,0.01024437,0.005714767,1.3832687e-06,0.00043374393,0.008960573,0.1420642913840579,0.0053257374,0.9847994442028986,0.9991206,0.0018168054504163,0.9981831945495836
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,0.03780337,8.6014275e-05,0.009274385,0.03677765,0.027325295,8.359486e-05,0.009143024,0.00780433,1.6483361e-06,0.00031291915,0.0052223294,0.1488339297013888,0.006506887,0.9830414186805556,0.9980947,0.002119606358819,0.997880393641181
5181,Simotinib,135,0.038177907,8.381227e-05,0.009154905,0.037470683,0.021846686,6.916957e-05,0.008316824,0.007828559,1.0579118e-06,0.00017823573,0.01693403,0.2466896048444444,0.05150522,0.9620929532592593,0.9838781,0.0024224072672218,0.9975775927327782
3445,Bimiralisib,145,0.038225774,8.98635e-05,0.009479635,0.038376868,0.028733632,9.102552e-05,0.009540729,0.0067634317,1.7500208e-06,0.00018671452,0.0053827353,0.1453268002827586,0.0145075599999999,0.9850145312413794,0.99531,0.0025738077214231,0.9974261922785768
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,142,0.038516268,0.00010410001,0.010202942,0.03820412,0.027199514,8.773122e-05,0.009366495,0.005892525,1.1064345e-06,0.00013287178,0.010795314,0.2361184670985915,0.011704549,0.9581267512676056,0.9964825,0.0027252081756245,0.9972747918243756
5536,SBI-0640756; Sbi-756,140,0.038828164,9.129558e-05,0.009554869,0.036940586,0.026625738,0.00010052593,0.010026259,0.008357242,1.4057739e-06,0.00015357709,0.0076289442,0.1744061637714285,0.0154335719999999,0.9760428096428572,0.9948703,0.0028766086298258,0.997123391370174
1089,Pemigatinib,139,0.03898922,9.084415e-05,0.00953122,0.037102755,0.026153933,9.232477e-05,0.00960858,0.008625701,1.5511877e-06,7.589017e-05,0.008388806,0.1804173321510791,0.030058853,0.9774569998561152,0.9897406,0.0030280090840272,0.9969719909159728
5512,Entecavir (monohydrate); Entecavir Hydrate,132,0.039227292,9.792513e-05,0.009895712,0.039459396,0.02413555,9.363887e-05,0.009676716,0.007941721,8.2585444e-07,0.0001350872,0.014246002,0.1760867552348484,0.034533557,0.977444179090909,0.98812836,0.0031794095382286,0.9968205904617714
5531,Cloxacillin (sodium); Cloxacillin Sodium,139,0.03940328,0.00014113808,0.011880155,0.03802955,0.031987894,0.00014022969,0.011841863,0.0050301366,1.4913479e-06,0.00016893129,0.0047029187,0.1502522830215827,0.019444326,0.9804095403597124,0.9935512,0.0034822104466313,0.9965177895533688
5197,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride,287,0.0394177,0.000118321084,0.01087755,0.03810492,0.030334456,0.00011598423,0.010769597,0.0050031636,1.5492817e-06,0.00046662005,0.007973507,0.171085960261324,0.010517847,0.9767053226829268,0.9958962,0.0036336109008327,0.9963663890991672
