compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin
592,BRD-K68202742; Trichostatin A,1346,0.056887865,0.0009727037,0.031188197,0.05140526,0.04361952,0.00076760206,0.027705636,0.005184335,8.614765e-06,0.0006193109,0.0159203,0.14087465452526,0.020602327,0.9823724958172362,0.9932581,0.0431491294473883,0.9568508705526116,-1.0932114858352378,0.2288128205899635,0.4783438309312283,-1.1930371886352775,4,0.001968205904617714,0.9980317940953823,100+
6647,Cephaeline; cephaeline,22,0.060955122,0.00035633612,0.018876871,0.059404902,0.041141912,0.00026193826,0.016184505,0.014122615,6.867758e-06,0.00029894416,0.01126162,0.1496598002727273,0.019956855,0.9865169345454544,0.9932581,0.0482967448902346,0.9517032551097652,-0.9781224321033118,0.21237869689441982,0.46084563239160664,-0.9951626728505769,2,0.004239212717638153,0.9957607872823618,20-99
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",645,0.0681124,0.00097757,0.031266112,0.06210259,0.05458373,0.0008389845,0.028965231,0.006120331,6.5482022e-06,0.00028495092,0.0147026945,0.1721263284186046,0.012108201,0.980392741875969,0.997655,0.0601059803179409,0.9398940196820592,-0.8501130368019504,0.27595068428831954,0.5253100839393049,-0.9333186470774697,4,0.012566237698713097,0.9874337623012869,100+
2278,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",325,0.06741417,0.0010735008,0.03276432,0.06403751,0.053749807,0.00087726035,0.029618582,0.00616714,1.5255131e-05,0.0002053065,0.01491234,0.1664540590215384,0.0049858335,0.9835217628923076,0.9994136999999998,0.0582891748675246,0.9417108251324754,-0.8401082684574326,0.2110751336232134,0.4594291388486514,-0.8877810683946062,3,0.01332323996971991,0.98667676003028,100+
6642,XL-888; XL888,181,0.06625157,0.0003770177,0.019416949,0.063335545,0.04799889,0.00032439939,0.018011093,0.009815161,5.143244e-06,0.00034276955,0.016737916,0.1413086140662983,0.04347424,0.9853790057458564,0.9857834,0.0555639666919,0.9444360333081,-0.836460346011788,0.20256775976112287,0.45007528232632693,-0.9040522710444167,1,0.013474640423921273,0.9865253595760787,100+
2431,"3-[(1R,3R,5S,8R,9S,10R,11R,13R,14S,17R)-1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-2H-furan-5-one; ouabain",79,0.0672995,0.00041668638,0.020412896,0.06453439,0.050372023,0.00034044663,0.018451195,0.011059736,4.0651535e-06,0.00037035812,0.0115873385,0.1726988964430379,0.022736369,0.978447780886076,0.99149936,0.0576835730507191,0.9423164269492807,-0.8160640573047188,0.22887202917345334,0.47840571607522975,-0.8762636349433124,2,0.01574564723694171,0.9842543527630583,20-99
4527,topotecan,151,0.067821175,0.000684778,0.02616826,0.061190635,0.05140546,0.0005750299,0.023979776,0.007371792,9.029848e-06,0.00036585706,0.01794151,0.1680434355629139,0.011541077,0.9821606414569536,0.99662906,0.0590461771385314,0.9409538228614686,-0.8126139376142935,0.28995411016966754,0.5384738713899381,-0.9265516449756799,3,0.016048448145344438,0.9839515518546555,100+
1827,Geldanamycin; geldanamycin,938,0.06744397,0.00042675575,0.020658068,0.06435931,0.055316154,0.00036514897,0.019108873,0.005595191,3.7881048e-06,0.00036527382,0.012919147,0.2004281210490405,0.021237735,0.972298602803838,0.9939909,0.0584405753217259,0.941559424678274,-0.810344953086202,0.23183109039832045,0.48148841148912447,-0.8803219030335001,2,0.016199848599545798,0.9838001514004542,100+
2275,Epirubicin; epirubicin,194,0.06822491,0.0004970451,0.022294506,0.06558289,0.05479648,0.00043765293,0.020920157,0.0057409676,2.802827e-06,0.00014260123,0.01531788,0.1663019936958763,0.005626464,0.9835891994329896,0.9983878,0.0607115821347464,0.9392884178652536,-0.7907192568286582,0.26705710410663097,0.5167756806455108,-0.8519600377236323,1,0.018168054504163512,0.9818319454958365,100+
1471,Abexinostat; PCI-24781,117,0.08138782,0.0017491485,0.041822825,0.069102384,0.05796603,0.0013741737,0.03706985,0.0160813,3.5774927e-05,0.00042125897,0.01451248,0.1438443968034188,0.022038916,0.9847912229059828,0.99311155,0.100227100681302,0.899772899318698,-0.7679265628402504,0.17871824677545606,0.4227508093137801,-0.8538411706163627,2,0.02043906131718395,0.979560938682816,100+
