compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,raw_error_inverted_score,mean_source_normalized_error_z,source_normalized_inverted_score,predictability_score,source_normalized_predictability_score
1911,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-(2-oxopropyl)-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; FK-1706",2,0.030199103,1.1943988e-06,1.0,-1.2817619938249143,1.0,0.9998485995457986,0.9998485995457986
2536,"Emate; [(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfamate",2,0.03296748,1.8259527e-05,1.0,-1.2434002028452298,1.0,0.9996971990915972,0.9996971990915972
3116,"5-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)methyl]-N-[[6-(trifluoromethyl)pyridin-3-yl]methyl]pyridin-2-amine; Pexidartinib",1,0.03308677,0.0,1.0,-1.2417471850687678,1.0,0.999545798637396,0.999545798637396
761,"Halobetasol Propionate; [(6S,8S,9R,10S,11S,13S,14S,16S,17R)-17-(2-chloroacetyl)-6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate",4,0.034145623,2.616186e-05,1.0,-1.227074507910841,1.0,0.9993943981831944,0.9993943981831944
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.035060328,0.00010290772,1.0,-0.7190525267622662,0.9692649107618267,0.9992429977289932,0.9747161241483724
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,142,0.035563786,8.005203e-05,1.0,-0.677140165072951,0.9608134329099811,0.9990915972747918,0.9672975018925056
5547,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-15,30-diethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,19,25,28-octamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone; Cyclosporin V",4,0.036086474,0.000106541695,1.0,-1.2001798678092508,1.0,0.9989401968205904,0.9992429977289932
5150,Doxycycline (monohydrate); Invertin,139,0.03643017,9.426315e-05,1.0,-0.6050142261773588,0.946269495261269,0.9987887963663892,0.9535200605601816
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,0.036664996,0.000105826664,1.0,-0.5854650429184047,0.942327472366939,0.9986373959121876,0.949886449659349
3111,Temuterkib,143,0.036769375,0.000120321645,1.0,-0.5767756715928808,0.9405752917132096,0.9984859954579864,0.948221044663134
611,Silodosin,135,0.036897227,0.00016414441,1.0,-0.586386060817777,0.9425131923326951,0.998334595003785,0.9504920514761545
2020,Erdafitinib,138,0.037073098,9.6505144e-05,1.0,-0.5514911350349709,0.9354767553363432,0.9981831945495836,0.941559424678274
6017,4-Aminobenzamide; 4-aminobenzamide,4,0.037383668,1.1114687e-05,1.0,-1.182204480811086,1.0,0.9980317940953825,0.9990915972747918
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,0.03780337,8.6014275e-05,1.0,-0.4906963824640126,0.9232177108885359,0.997880393641181,0.9291445874337624
2389,"(2S,3S)-2-(2,4-difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1,2,4-triazol-1-yl)butan-2-ol; Voriconazole Impurity 7; voriconazole",4,0.037892736,0.000115280964,1.0,-1.175150218096467,1.0,0.9977289931869796,0.9989401968205904
5181,Simotinib,135,0.038177907,8.381227e-05,1.0,-0.4595167929247102,0.9169304581592718,0.9975775927327782,0.9185465556396668
3445,Bimiralisib,145,0.038225774,8.98635e-05,1.0,-0.4555319487644119,0.9161269285845496,0.9974261922785768,0.9176381529144588
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,142,0.038516268,0.00010410001,1.0,-0.4313483128277626,0.9112503848810295,0.9972747918243756,0.9094625283875852
5536,SBI-0640756; Sbi-756,140,0.038828164,9.129558e-05,1.0,-0.4053831596064384,0.9060146045879389,0.997123391370174,0.9026495079485238
1089,Pemigatinib,139,0.03898922,9.084415e-05,1.0,-0.3919759132893455,0.9033110813137533,0.9969719909159728,0.8996214988644966
5512,Entecavir (monohydrate); Entecavir Hydrate,132,0.039227292,9.792513e-05,1.0,-0.3721565699476619,0.8993145816048604,0.9968205904617714,0.8925056775170326
1298,"(2S,3S)-2-amino-3-methylpentanoic acid; L-Isoleucine",3,0.0393684,6.834397e-07,1.0,-1.154701814978097,1.0,0.99666919000757,0.9986373959121876
5531,Cloxacillin (sodium); Cloxacillin Sodium,139,0.03940328,0.00014113808,1.0,-0.3575056760447171,0.8963602812423961,0.9965177895533688,0.8884178652535958
5197,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride,287,0.0394177,0.000118321084,1.0,-0.3829642832226387,0.9014939183372939,0.9963663890991672,0.8959878879636639
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",147,0.03970697,0.00043532002,1.0,-0.5272630634964957,0.930591251352621,0.996214988644966,0.9359576078728236
5140,Perindopril (erbumine); Perindopril Erbumine,133,0.03981391,0.00010645753,1.0,-0.3233209976284106,0.889467063087583,0.9960635881907646,0.8781226343679032
3093,9-ING-41; Elraglusib,142,0.039947152,6.1071005e-05,1.0,-0.312228315943645,0.8872302634943912,0.9959121877365632,0.8747918243754731
2136,Hesperidin,144,0.039952002,0.00015537815,1.0,-0.4213448735872601,0.9092332271314831,0.9957607872823618,0.9065859197577592
1831,Rifaximin,136,0.040119294,0.00014581047,1.0,-0.3232846670388427,0.8894597371541184,0.9956093868281604,0.8779712339137018
5147,Estrone sulfate (potassium); Potassium estrone sulfate,142,0.040185425,9.741591e-05,1.0,-0.2923926042968915,0.8832304631753156,0.9954579863739592,0.8667676003028009
5239,Fusidic Acid; Fusidic acid,145,0.040190786,0.0001624006,1.0,-0.3442893591151145,0.8936952581964153,0.9953065859197576,0.8846328538985617
5154,Azithromycin (hydrate); Azithromycin Dihydrate,142,0.040225465,0.00010679063,1.0,-0.2890592691511415,0.8825583080635155,0.9951551854655564,0.8652535957607873
5207,Bentamapimod,141,0.04026689,9.964878e-05,1.0,-0.285610776514083,0.8818629318554079,0.995003785011355,0.863890991672975
643,Glycyrrhizic acid; Glycyrrhizin,140,0.040368516,9.894257e-05,1.0,-0.2903659177350777,0.8828217890777601,0.9948523845571536,0.8663133989401968
5158,Procainamide (hydrochloride); Procainamide Hydrochloride,131,0.040383898,7.4086754e-05,1.0,-0.2758697848582956,0.8798986957227806,0.9947009841029524,0.8595003785011355
5212,Lenalidomide (hemihydrate); Lenalidomide hemihydrate,143,0.04045848,9.8038676e-05,1.0,-0.2696606552839016,0.8786466469485734,0.9945495836487508,0.8576835730507192
5164,Daraxonrasib; RMC-6236,143,0.040489554,0.00013635948,1.0,-0.2670740454724772,0.8781250663300756,0.9943981831945496,0.8564723694171082
5328,Demeclocycline,150,0.040509053,0.00019652487,1.0,-0.3880501083292511,0.9025194567826221,0.9942467827403482,0.8982588947766843
483,Ipatasertib,149,0.04054196,0.00010342978,1.0,-0.2626070961408028,0.8772243219716018,0.9940953822861468,0.854655563966692
5259,Thymopentin,135,0.040596858,9.0624635e-05,1.0,-0.2581413446426381,0.8763238191519717,0.9939439818319457,0.8528387585162756
5132,Almonertinib (hydrochloride); HS-10296 hydrochloride,145,0.04068408,0.000119613615,1.0,-0.2508798127393095,0.8748595572116311,0.9937925813777442,0.8501135503406511
791,Erythromycin,151,0.040735878,0.00019825577,1.0,-0.4324201579995078,0.9114665186268862,0.9936411809235428,0.9099167297501892
5280,Artenimol; Dihydroartemisinin,143,0.040785216,0.00011941732,1.0,-0.2512173828896065,0.8749276270252538,0.9934897804693414,0.8504163512490537
5524,Gamma-Oryzanol; γ-Oryzanol,138,0.040847033,0.0001126865,1.0,-0.2373142279421224,0.8721241055491689,0.99333838001514,0.8439061317183951
5217,Pitavastatin (Calcium); Pitavastatin Calcium,142,0.040863685,9.989796e-05,1.0,-0.2359281090319918,0.871844599627841,0.9931869795609388,0.8429977289931869
5539,Talc,140,0.04088043,8.404329e-05,1.0,-0.2345339686070784,0.8715634761967431,0.9930355791067372,0.8426949280847842
5515,"2-((4-Acetylphenyl)hydrazinylidene)-2-(3,3-dimethyl-4H-isoquinolin-1-yl)acetamide; IQ 1",140,0.04088595,0.000112842434,1.0,-0.2340743322245833,0.8714707921639188,0.992884178652536,0.8423921271763816
2355,Pentagastrin,144,0.041014187,0.00014010626,1.0,-0.2233988524227188,0.8693181198384582,0.9927327781983346,0.8383043149129448
2709,Tucatinib,142,0.04111722,0.00013571154,1.0,-0.2148212808084778,0.867588483196702,0.9925813777441332,0.8355791067373202
5190,MK-8353; Mk-8353,135,0.041145407,0.00012734269,1.0,-0.2124749871608116,0.8671153614732312,0.992429977289932,0.8348221044663133
