source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::LY-2835219::HAP1.CDK4::::24H::3.33uM::MOAR017::F03::BRD-K33622447,LY-2835219,brd-k33622447,ly-2835219
L1000,L1000::palbociclib::HAP1.CDK4::::24H::3.33uM::MOAR017::K03::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::BRD-K06023321::HT29::::24H::3.33uM::PBIOA018::P02::BRD-K06023321,BRD-K06023321,brd-k06023321,brd-k06023321
L1000,L1000::trametinib::HT29::::24H::10uM::PBIOA018::A19::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::regorafenib::HT29::::24H::0.125uM::PBIOA018::G05::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::vorinostat::HT29::::24H::10uM::PBIOA018::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::trametinib::HT29::::24H::3.33uM::PBIOA018::A20::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::BRD-K59037718::HT29::::24H::0.125uM::PBIOA018::L11::BRD-K59037718,BRD-K59037718,brd-k59037718,brd-k59037718
L1000,L1000::trametinib::HT29::::24H::1.11uM::PBIOA018::A21::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::fluorouracil::HT29::::24H::10uM::PBIOA018::L19::BRD-K24844714,fluorouracil,brd-k24844714,fluorouracil
L1000,L1000::trametinib::HT29::::24H::0.04uM::PBIOA018::A24::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::bexarotene::HT29::::24H::10uM::PBIOA018::M19::BRD-K92441787,bexarotene,brd-k92441787,bexarotene
L1000,L1000::BRD-K06023321::HT29::::24H::1.11uM::PBIOA018::P03::BRD-K06023321,BRD-K06023321,brd-k06023321,brd-k06023321
L1000,L1000::BRD-K90618376::HT29::::24H::10uM::PBIOA018::P07::BRD-K90618376,BRD-K90618376,brd-k90618376,brd-k90618376
L1000,L1000::GSK-J4::HT29::::24H::10uM::PBIOA018::H07::BRD-K98203492,GSK-J4,brd-k98203492,gsk-j4
L1000,L1000::trametinib::HT29::::24H::0.125uM::PBIOA018::A23::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::BRD-K06023321::HT29::::24H::10uM::PBIOA018::P01::BRD-K06023321,BRD-K06023321,brd-k06023321,brd-k06023321
L1000,L1000::BRD-K06023321::HT29::::24H::0.37uM::PBIOA018::P04::BRD-K06023321,BRD-K06023321,brd-k06023321,brd-k06023321
L1000,L1000::trametinib::HT29::::24H::0.37uM::PBIOA018::A22::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::PD-173074::HT29::::24H::10uM::PBIOA018::B07::BRD-K97764662,PD-173074,brd-k97764662,pd-173074
L1000,L1000::regorafenib::HT29::::24H::10uM::PBIOA018::G01::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::BRD-K95597153::HT29::::24H::0.12uM::PBIOA018::E11::BRD-K95597153,BRD-K95597153,brd-k95597153,brd-k95597153
L1000,L1000::troglitazone::HT29::::24H::10uM::PBIOA018::K10::BRD-A13084692,troglitazone,brd-a13084692,troglitazone
L1000,L1000::BRD-K97938674::HT29::::24H::10uM::PBIOA018::A07::BRD-K97938674,BRD-K97938674,brd-k97938674,brd-k97938674
L1000,L1000::BRD-K72005960::HT29::::24H::0.04uM::PBIOA018::I18::BRD-K72005960,BRD-K72005960,brd-k72005960,brd-k72005960
L1000,L1000::BRD-K57701450::MCF7::::24H::1.11uM::PBIOA013::M09::BRD-K57701450,BRD-K57701450,brd-k57701450,brd-k57701450
L1000,L1000::BRD-K19926581::MCF7::::24H::10uM::PBIOA013::I01::BRD-K19926581,BRD-K19926581,brd-k19926581,brd-k19926581
L1000,L1000::BRD-K27398334::MCF7::::24H::3.33uM::PBIOA013::A08::BRD-K27398334,BRD-K27398334,brd-k27398334,brd-k27398334
L1000,L1000::BRD-K35558836::MCF7::::24H::10uM::PBIOA013::J07::BRD-K35558836,BRD-K35558836,brd-k35558836,brd-k35558836
L1000,L1000::BRD-K34485477::MCF7::::24H::10uM::PBIOA013::H07::BRD-K34485477,BRD-K34485477,brd-k34485477,brd-k34485477
