figure_moa,normalized_moa,final_moa,n_compounds,total_profiles,median_profiles_per_compound,multimodal_proxy_mean,structure_predicted_mean,absolute_prediction_error,proxy_rank_all,proxy_percentile_all,proxy_rank_n5,proxy_percentile_n5,proxy_interpretation,figure_order
Protein synthesis inhibitor,proteinsynthesisinhibitor,Protein synthesis inhibitor,10,1177,82.0,0.902096,0.85245292,0.04964308000000006,45,89.10891089108911,4.0,94.23076923076923,High proxy score,0
Dopamine receptor antagonist,dopaminereceptorantagonist,Dopamine receptor antagonist,6,199,29.0,0.8658635166666667,0.826554275,0.03930924166666672,104,74.5049504950495,13.0,76.92307692307693,High proxy score,1
NFkB pathway inhibitor,nfkbpathwayinhibitor,NFkB pathway inhibitor,10,3914,99.0,0.855950411,0.816064465,0.03988594600000006,122,70.04950495049505,16.0,71.15384615384616,Above-median proxy score,2
Topoisomerase inhibitor,topoisomeraseinhibitor,Topoisomerase inhibitor,22,4389,142.0,0.9133118163636363,0.8956967636363636,0.017615052727272706,31,92.57425742574257,2.0,98.07692307692307,High proxy score,3
HDAC inhibitor,hdacinhibitor,HDAC inhibitor,19,3528,97.0,0.8800000789473683,0.8184437010526316,0.06155637789473667,85,79.20792079207921,8.0,86.53846153846155,High proxy score,4
ATPase inhibitor,atpaseinhibitor,ATPase inhibitor,10,1065,60.0,0.8870339890000001,0.865976661,0.021057328000000042,73,82.17821782178217,7.0,88.46153846153845,High proxy score,5
HMGCR inhibitor,hmgcrinhibitor,HMGCR inhibitor,7,551,65.0,0.8730417785714285,0.8441775514285714,0.02886422714285708,93,77.22772277227723,11.0,80.76923076923077,High proxy score,6
PI3K inhibitor,pi3kinhibitor,PI3K inhibitor,19,2944,73.0,0.8745748115789475,0.8367843763157895,0.03779043526315795,92,77.47524752475248,10.0,82.6923076923077,High proxy score,7
Tubulin polymerization inhibitor,tubulinpolymerizationinhibitor,Tubulin polymerization inhibitor,16,1901,88.0,0.874842328125,0.83990764875,0.034934679374999944,90,77.97029702970298,9.0,84.61538461538461,High proxy score,8
HSP inhibitor,hspinhibitor,HSP inhibitor,12,2443,97.5,0.8472376741666667,0.8491083475000001,0.0018706733333333503,152,62.62376237623762,19.0,65.38461538461539,Above-median proxy score,9
mTOR inhibitor,mtorinhibitor,mTOR inhibitor,17,2972,93.0,0.9123592694117647,0.8508843888235295,0.06147488058823525,32,92.32673267326733,3.0,96.15384615384616,High proxy score,10
Adrenergic receptor antagonist,adrenergicreceptorantagonist,Adrenergic receptor antagonist,6,487,82.0,0.7835034516666667,0.8004353616666666,0.01693190999999994,291,28.217821782178216,48.0,9.615384615384617,Low proxy score,11
MEK inhibitor,mekinhibitor,MEK inhibitor,10,1403,75.0,0.8700848210000001,0.8270334309999999,0.043051390000000134,97,76.23762376237624,12.0,78.84615384615384,High proxy score,12
EGFR inhibitor,egfrinhibitor,EGFR inhibitor,19,1920,65.0,0.8305349157894737,0.8192072415789473,0.011327674210526384,184,54.70297029702971,28.0,48.07692307692308,Below-median proxy score,13
Retinoid receptor agonist,retinoidreceptoragonist,Retinoid receptor agonist,9,569,47.0,0.7605740866666666,0.8018857922222222,0.04131170555555563,326,19.554455445544555,51.0,3.8461538461538463,Low proxy score,14
Glucocorticoid receptor agonist,glucocorticoidreceptoragonist,Glucocorticoid receptor agonist,21,1560,37.0,0.8420283404761906,0.8511776176190476,0.00914927714285707,163,59.900990099009896,24.0,55.769230769230774,Above-median proxy score,15
CDK inhibitor,cdkinhibitor,CDK inhibitor,17,2118,90.0,0.8420871211764706,0.8216407270588235,0.020446394117647038,162,60.148514851485146,23.0,57.692307692307686,Above-median proxy score,16
Adrenergic receptor agonist,adrenergicreceptoragonist,Adrenergic receptor agonist,7,754,142.0,0.7852021757142857,0.7910243428571428,0.005822167142857104,289,28.71287128712871,47.0,11.538461538461538,Low proxy score,17
