compound_embedding_row_index,compound_name,n_profiles,final_moa,actual_predictability,predicted_predictability,mean_total_error,mean_source_normalized_error_z,source_normalized_inverted_score,prediction_error,absolute_error
592,BRD-K68202742; Trichostatin A,1346,HDAC inhibitor,1.0,0.827145,0.056887865,-1.0932114858352378,1.0,-0.17285499999999998,0.17285499999999998
1471,Abexinostat; PCI-24781,117,HDAC inhibitor,0.9791202,0.8278991,0.08138782,-0.7679265628402504,0.9791201853585024,-0.1512211,0.1512211
3482,Entinostat; entinostat,410,HDAC inhibitor,0.97721076,0.8149605,0.07412288,-0.758457266717305,0.977210735658462,-0.16225025999999998,0.16225025999999998
743,"(3S,6S,9S,12R)-3-[(2S)-butan-2-yl]-6-[(1-methoxyindol-3-yl)methyl]-9-(6-oxooctyl)-1,4,7,10-tetrazabicyclo[10.4.0]hexadecane-2,5,8,11-tetrone; Apicidin",92,HDAC inhibitor,0.935299,0.84639347,0.080516346,-0.5506095836761964,0.9352989936573622,-0.08890553000000001,0.08890553000000001
3450,Tucidinostat,159,HDAC inhibitor,0.9288761,0.8356487,0.052795812,-0.5187573155089507,0.9288760976883396,-0.09322739999999996,0.09322739999999996
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,400,HDACs,0.9278086,0.81202203,0.06663159,-0.5134634540810193,0.927808609462776,-0.11578657000000003,0.11578657000000003
1473,Resminostat; resminostat,97,HDAC inhibitor,0.9198928,0.8369566,0.09932303,-0.4742073853222968,0.9198927635812147,-0.0829361999999999,0.0829361999999999
946,Pracinostat; SB-939,180,HDAC inhibitor,0.9183546,0.8149554,0.10668335,-0.466579149904813,0.9183545571886134,-0.10339920000000002,0.10339920000000002
3096,JNJ-26481585; Quisinostat,165,HDAC inhibitor,0.91556025,0.8254409,0.08826054,-0.4527217831976873,0.9155602687474532,-0.09011934999999993,0.09011934999999993
739,Romidepsin; romidepsin,131,HDAC inhibitor,0.9024819,0.839995,0.09865426,-0.3878638586591695,0.9024819002026976,-0.0624868999999999,0.0624868999999999
3610,Scriptaid; scriptaid,48,HDAC inhibitor,0.9024168,0.83108634,0.08565002,-0.38754116269128,0.902416829714766,-0.07133045999999998,0.07133045999999998
3565,(E)-N-hydroxy-3-[4-[[2-hydroxyethyl-[2-(1H-indol-3-yl)ethyl]amino]methyl]phenyl]prop-2-enamide; Dacinostat,168,HDAC 1/2/3/6/8/10/11,0.898246,0.822076,0.09612819,-0.3668572014283552,0.898245982894015,-0.07616999999999996,0.07616999999999996
1070,Givinostat; givinostat,41,HDAC inhibitor,0.8799871,0.8109743,0.12057638,-0.2763083153967616,0.8799871238376331,-0.06901279999999999,0.06901279999999999
342,Bml-281; ISOX,35,HDAC inhibitor,0.8287975,0.81259984,0.20047355,-0.0224500700135799,0.8287975164786351,-0.016197660000000003,0.016197660000000003
420,NCH-51; Ptach,20,HDAC inhibitor,0.80143875,0.79656315,0.10722256,0.1132269207171026,0.8014387364923059,-0.00487559999999998,0.00487559999999998
3084,(E)-3-[4-[(E)-3-(3-fluorophenyl)-3-oxoprop-1-enyl]-1-methylpyrrol-2-yl]-N-hydroxyprop-2-enamide; MC1568,23,HDAC inhibitor,0.78471017,0.81424826,0.25145596,0.1961868135810967,0.7847101707691705,0.02953808999999996,0.02953808999999996
2761,RG-2833,26,HDAC inhibitor,0.7712396,0.7972573,0.113850474,0.26298983361289,0.7712395806740523,0.02601769999999992,0.02601769999999992
221,"HDAC inhibitor, Compound 1; Merck60",43,HDAC inhibitor,0.76474637,0.8006233,0.11507276,0.295190945200558,0.7647463416768004,0.03587693000000003,0.03587693000000003
2686,4-(4-Chloro-2-methylphenoxy)-N-hydroxybutanamide; 4-(4-chloro-2-methylphenoxy)-N-hydroxybutanamide; droxinostat,27,HDAC inhibitor,0.683815,0.78358513,0.24078335,0.6965437998348197,0.683814973817823,0.09977013000000001,0.09977013000000001
