compound_embedding_row_index,compound_name,n_profiles,mean_source_normalized_error_z,source_normalized_inverted_score,recomputed_n_profiles,recomputed_mean_source_normalized_error_z,profile_count_difference,mean_error_difference
1911,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-(2-oxopropyl)-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; FK-1706",2,-1.2817619938249143,1.0,2,-1.2817619938249143,0,0.0
2536,"Emate; [(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfamate",2,-1.2434002028452298,1.0,2,-1.2434002028452298,0,0.0
3116,"5-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)methyl]-N-[[6-(trifluoromethyl)pyridin-3-yl]methyl]pyridin-2-amine; Pexidartinib",1,-1.2417471850687678,1.0,1,-1.2417471850687678,0,0.0
761,"Halobetasol Propionate; [(6S,8S,9R,10S,11S,13S,14S,16S,17R)-17-(2-chloroacetyl)-6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate",4,-1.227074507910841,1.0,4,-1.227074507910841,0,0.0
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,-0.7190525267622662,0.9692649107618267,280,-0.7190525267622662,0,0.0
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,142,-0.677140165072951,0.9608134329099812,142,-0.677140165072951,0,0.0
5547,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-15,30-diethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,19,25,28-octamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone; Cyclosporin V",4,-1.2001798678092508,1.0,4,-1.2001798678092506,0,-2.220446049250313e-16
5150,Doxycycline (monohydrate); Invertin,139,-0.6050142261773588,0.946269495261269,139,-0.6050142261773588,0,0.0
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,-0.5854650429184047,0.942327472366939,136,-0.5854650429184047,0,0.0
3111,Temuterkib,143,-0.5767756715928808,0.9405752917132096,143,-0.5767756715928808,0,0.0
611,Silodosin,135,-0.586386060817777,0.9425131923326951,135,-0.586386060817777,0,0.0
2020,Erdafitinib,138,-0.5514911350349709,0.9354767553363432,138,-0.5514911350349709,0,0.0
6017,4-Aminobenzamide; 4-aminobenzamide,4,-1.182204480811086,1.0,4,-1.1822044808110859,0,-2.220446049250313e-16
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,-0.4906963824640126,0.923217710888536,144,-0.49069638246401265,0,5.551115123125783e-17
2389,"(2S,3S)-2-(2,4-difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1,2,4-triazol-1-yl)butan-2-ol; Voriconazole Impurity 7; voriconazole",4,-1.175150218096467,1.0,4,-1.175150218096467,0,0.0
5181,Simotinib,135,-0.4595167929247102,0.9169304581592718,135,-0.4595167929247102,0,0.0
3445,Bimiralisib,145,-0.4555319487644119,0.9161269285845496,145,-0.45553194876441194,0,5.551115123125783e-17
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,142,-0.4313483128277626,0.9112503848810296,142,-0.4313483128277626,0,0.0
5536,SBI-0640756; Sbi-756,140,-0.4053831596064384,0.9060146045879388,140,-0.40538315960643845,0,5.551115123125783e-17
1089,Pemigatinib,139,-0.3919759132893455,0.9033110813137532,139,-0.39197591328934556,0,5.551115123125783e-17
5512,Entecavir (monohydrate); Entecavir Hydrate,132,-0.3721565699476619,0.8993145816048604,132,-0.3721565699476619,0,0.0
1298,"(2S,3S)-2-amino-3-methylpentanoic acid; L-Isoleucine",3,-1.154701814978097,1.0,3,-1.154701814978097,0,0.0
5531,Cloxacillin (sodium); Cloxacillin Sodium,139,-0.3575056760447171,0.8963602812423961,139,-0.3575056760447171,0,0.0
5197,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride,287,-0.3829642832226387,0.901493918337294,287,-0.3829642832226387,0,0.0
