compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,source_normalized_inverted_score,mean_source_normalized_error_z,target_handoff_difference,absolute_target_handoff_difference
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.9692649,0.95378715,0.9692649107618267,-0.7190525267622662,-1.076182676307269e-08,1.076182676307269e-08
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,142,0.9608134,0.95823395,0.9608134329099812,-0.677140165072951,-3.290998118465893e-08,3.290998118465893e-08
5150,Doxycycline (monohydrate); Invertin,139,0.9462695,0.84522074,0.946269495261269,-0.6050142261773588,4.738730963183002e-09,4.738730963183002e-09
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,0.9423275,0.8802825,0.942327472366939,-0.5854650429184047,2.7633060950549293e-08,2.7633060950549293e-08
3111,Temuterkib,143,0.9405753,0.8387111,0.9405752917132096,-0.5767756715928808,8.28679036501967e-09,8.28679036501967e-09
611,Silodosin,135,0.94251317,0.83047104,0.9425131923326951,-0.586386060817777,-2.2332695137627923e-08,2.2332695137627923e-08
2020,Erdafitinib,138,0.9354768,0.79501027,0.9354767553363432,-0.5514911350349709,4.4663656773025195e-08,4.4663656773025195e-08
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,0.9232177,0.8775338,0.923217710888536,-0.4906963824640126,-1.0888535961761647e-08,1.0888535961761647e-08
5181,Simotinib,135,0.91693044,0.8310323,0.9169304581592718,-0.4595167929247102,-1.815927175297105e-08,1.815927175297105e-08
3445,Bimiralisib,145,0.9161269,0.8428656,0.9161269285845496,-0.4555319487644119,-2.8584549616184063e-08,2.8584549616184063e-08
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,142,0.9112504,0.9339174,0.9112503848810296,-0.4313483128277626,1.5118970408956045e-08,1.5118970408956045e-08
5536,SBI-0640756; Sbi-756,140,0.9060146,0.8235941,0.9060146045879388,-0.4053831596064384,-4.5879388066438764e-09,4.5879388066438764e-09
