final_moa,n_compounds,observed_mean,predicted_mean,observed_median,predicted_median,prediction_error,absolute_error
Proteasome inhibitor,7,0.91675418,0.8352526457142856,0.92331344,0.83560085,-0.08150153428571438,0.08150153428571438
PLK inhibitor,7,0.89036675,0.8208287214285714,0.8782223,0.81660175,-0.06953802857142855,0.06953802857142855
HDAC inhibitor,19,0.8800000789473683,0.8184437010526316,0.9024819,0.8149605,-0.06155637789473667,0.06155637789473667
mTOR inhibitor,17,0.9123592694117648,0.8508843888235295,0.93151283,0.8456129,-0.06147488058823536,0.06147488058823536
Ribonucleotide reductase inhibitor,5,0.891716564,0.832057606,0.9028313,0.83394814,-0.059658957999999984,0.059658957999999984
GSK-3 inhibitor,5,0.750642688,0.80541708,0.789541,0.8037731,0.054774392000000005,0.054774392000000005
Protein synthesis inhibitor,10,0.902096,0.85245292,0.91161792,0.85577925,-0.04964308000000006,0.04964308000000006
MEK inhibitor,10,0.8700848210000001,0.8270334309999999,0.8765531,0.83511845,-0.043051390000000134,0.043051390000000134
Retinoid receptor agonist,9,0.7605740866666666,0.8018857922222222,0.774925,0.7994816,0.04131170555555563,0.04131170555555563
NFkB pathway inhibitor,10,0.855950411,0.816064465,0.8538200300000001,0.81155595,-0.03988594600000006,0.03988594600000006
Tyrosine kinase inhibitor,10,0.770612545,0.810052417,0.75495699,0.811621435,0.03943987199999999,0.03943987199999999
Dopamine receptor antagonist,6,0.8658635166666667,0.826554275,0.8771713800000001,0.82568335,-0.03930924166666672,0.03930924166666672
Immunosuppressant,5,0.858813974,0.820749058,0.8342631,0.83228314,-0.03806491600000006,0.03806491600000006
PI3K inhibitor,19,0.8745748115789475,0.8367843763157895,0.8829222,0.83240825,-0.03779043526315795,0.03779043526315795
Tubulin polymerization inhibitor,16,0.874842328125,0.83990764875,0.88998708,0.83060635,-0.034934679374999944,0.034934679374999944
