final_moa,n_compounds,observed_mean,predicted_mean,observed_median,predicted_median,prediction_error,absolute_error
Progesterone receptor agonist,6,0.8336597116666667,0.8340745116666667,0.82848022,0.834234625,0.00041479999999993744,0.00041479999999993744
HSP inhibitor,12,0.8472376741666667,0.8491083475000001,0.8902341,0.8355532649999999,0.0018706733333333503,0.0018706733333333503
PARP inhibitor,6,0.815431265,0.8177667716666667,0.79853918,0.8209029999999999,0.002335506666666709,0.002335506666666709
Glycogen synthase kinase inhibitor,7,0.8021043971428572,0.8052151514285715,0.80653334,0.8014827,0.003110754285714279,0.003110754285714279
Selective serotonin reuptake inhibitor (SSRI),5,0.8188558159999999,0.8222452519999999,0.8222613,0.82762116,0.003389435999999968,0.003389435999999968
Estrogen receptor agonist,6,0.83892077,0.8343319433333334,0.851325275,0.8363235,-0.004588826666666601,0.004588826666666601
FLT3 inhibitor,13,0.812814983076923,0.8185695023076923,0.82841134,0.8225398,0.005754519230769306,0.005754519230769306
Adrenergic receptor agonist,7,0.7852021757142857,0.7910243428571428,0.83028996,0.7931368,0.005822167142857104,0.005822167142857104
Vitamin D receptor agonist,7,0.8273967085714286,0.8338378414285714,0.8198536,0.83200836,0.006441132857142873,0.006441132857142873
Abl kinase inhibitor,5,0.8150079399999999,0.8067445340000001,0.81711954,0.8084033,-0.008263405999999751,0.008263405999999751
PKC inhibitor,5,0.847075322,0.8385695459999999,0.83078796,0.83839464,-0.008505776000000131,0.008505776000000131
IKK inhibitor,5,0.8128942219999999,0.8217944600000001,0.8075441,0.80980843,0.008900238000000171,0.008900238000000171
Glucocorticoid receptor agonist,21,0.8420283404761906,0.8511776176190476,0.8323172,0.849716,0.00914927714285707,0.00914927714285707
HIV protease inhibitor,5,0.824114676,0.833479378,0.82721573,0.836199,0.009364702000000058,0.009364702000000058
ALK tyrosine kinase receptor inhibitor,7,0.8127436342857143,0.8229620671428571,0.8234211,0.8145009,0.010218432857142856,0.010218432857142856
