moa_annotation,low_count,high_count,low_percent,high_percent,total_extreme_count
Topoisomerase inhibitor,1,18,0.8130081300813008,12.587412587412587,19
mTOR inhibitor,0,12,0.0,8.391608391608392,12
HDAC inhibitor,1,11,0.8130081300813008,7.6923076923076925,12
PI3K inhibitor,2,8,1.6260162601626016,5.594405594405594,10
Protein synthesis inhibitor,1,8,0.8130081300813008,5.594405594405594,9
HSP inhibitor,3,6,2.4390243902439024,4.195804195804196,9
Glucocorticoid receptor agonist,1,6,0.8130081300813008,4.195804195804196,7
CDK inhibitor,3,4,2.4390243902439024,2.797202797202797,7
Tubulin polymerization inhibitor,0,7,0.0,4.895104895104895,7
FLT3 inhibitor,4,2,3.252032520325203,1.3986013986013985,6
ATPase inhibitor,1,5,0.8130081300813008,3.4965034965034967,6
Tyrosine kinase inhibitor,5,1,4.065040650406504,0.6993006993006993,6
EGFR inhibitor,3,2,2.4390243902439024,1.3986013986013985,5
Proteasome inhibitor,0,5,0.0,3.4965034965034967,5
Bcr-Abl kinase inhibitor,3,1,2.4390243902439024,0.6993006993006993,4
Tubulin inhibitor,0,4,0.0,2.797202797202797,4
Aurora kinase inhibitor,1,3,0.8130081300813008,2.097902097902098,4
Adrenergic receptor antagonist,3,1,2.4390243902439024,0.6993006993006993,4
DNA synthesis inhibitor,1,3,0.8130081300813008,2.097902097902098,4
estrogen receptor agonist,2,2,1.6260162601626016,1.3986013986013985,4
JAK inhibitor,1,3,0.8130081300813008,2.097902097902098,4
MEK inhibitor,1,3,0.8130081300813008,2.097902097902098,4
PLK inhibitor,0,3,0.0,2.097902097902098,3
Estrogen receptor agonist,1,2,0.8130081300813008,1.3986013986013985,3
ribonucleotide reductase inhibitor,0,3,0.0,2.097902097902098,3
ALK tyrosine kinase receptor inhibitor,2,1,1.6260162601626016,0.6993006993006993,3
FGFR inhibitor,2,1,1.6260162601626016,0.6993006993006993,3
MAP kinase inhibitor,2,1,1.6260162601626016,0.6993006993006993,3
VEGFR inhibitor,3,0,2.4390243902439024,0.0,3
Growth factor receptor inhibitor,0,3,0.0,2.097902097902098,3
Microtubule inhibitor,1,2,0.8130081300813008,1.3986013986013985,3
Inhibitors of signal transduction pathways,1,2,0.8130081300813008,1.3986013986013985,3
IKK inhibitor,2,1,1.6260162601626016,0.6993006993006993,3
Retinoid receptor agonist,3,0,2.4390243902439024,0.0,3
Bacterial 30S ribosomal subunit inhibitor,1,2,0.8130081300813008,1.3986013986013985,3
NFkB pathway inhibitor,1,2,0.8130081300813008,1.3986013986013985,3
growth factor receptor inhibitor,0,2,0.0,1.3986013986013985,2
IMPDH inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
adenylyl cyclase activator,1,1,0.8130081300813008,0.6993006993006993,2
PDGFR tyrosine kinase receptor inhibitor,2,0,1.6260162601626016,0.0,2
PDGFR inhibitor,2,0,1.6260162601626016,0.0,2
Estrogen receptor antagonist,1,1,0.8130081300813008,0.6993006993006993,2
GSK-3 inhibitor,2,0,1.6260162601626016,0.0,2
apoptosis stimulant,1,1,0.8130081300813008,0.6993006993006993,2
Dopamine receptor antagonist,0,2,0.0,1.3986013986013985,2
PARP inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
antiviral,1,1,0.8130081300813008,0.6993006993006993,2
Progesterone receptor agonist,1,1,0.8130081300813008,0.6993006993006993,2
CDC inhibitor,2,0,1.6260162601626016,0.0,2
Corticosteroid agonist,0,2,0.0,1.3986013986013985,2
RNA synthesis inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
Adrenergic receptor agonist,2,0,1.6260162601626016,0.0,2
BCL inhibitor,0,2,0.0,1.3986013986013985,2
Abl kinase inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
Apoptosis Inducers,1,1,0.8130081300813008,0.6993006993006993,2
RNA polymerase inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
Rho associated kinase inhibitor,2,0,1.6260162601626016,0.0,2
Cyclooxygenase inhibitor,0,2,0.0,1.3986013986013985,2
progesterone receptor agonist,1,1,0.8130081300813008,0.6993006993006993,2
potassium channel blocker,2,0,1.6260162601626016,0.0,2
DNA inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
DNA polymerase inhibitor,0,2,0.0,1.3986013986013985,2
serotonin receptor antagonist,2,0,1.6260162601626016,0.0,2
calcium channel activator,1,0,0.8130081300813008,0.0,1
camp stimulant,1,0,0.8130081300813008,0.0,1
casein kinase inhibitor,1,0,0.8130081300813008,0.0,1
T-type calcium channel blocker,1,0,0.8130081300813008,0.0,1
adenosine deaminase inhibitor,0,1,0.0,0.6993006993006993,1
Survivin inhibitor,0,1,0.0,0.6993006993006993,1
cell proliferation inhibitor,1,0,0.8130081300813008,0.0,1
calcineurin inhibitor,0,1,0.0,0.6993006993006993,1
Smoothened receptor antagonist,1,0,0.8130081300813008,0.0,1
Smoothened receptor agonist,1,0,0.8130081300813008,0.0,1
cyclooxygenase inhibitor,0,1,0.0,0.6993006993006993,1
Sigma receptor antagonist,1,0,0.8130081300813008,0.0,1
Serotonin reuptake inhibitor,1,0,0.8130081300813008,0.0,1
cytochrome P450 inhibitor,1,0,0.8130081300813008,0.0,1
TGF beta receptor inhibitor,1,0,0.8130081300813008,0.0,1
beta1-Adrenoceptor Antagonists,1,0,0.8130081300813008,0.0,1
cAMP stimulant,1,0,0.8130081300813008,0.0,1
c-Met inhibitor,1,0,0.8130081300813008,0.0,1
bromodomain inhibitor,0,1,0.0,0.6993006993006993,1
dehydrogenase inhibitor,0,1,0.0,0.6993006993006993,1
benzodiazepine receptor agonist,1,0,0.8130081300813008,0.0,1
TIE tyrosine kinase inhibitor,1,0,0.8130081300813008,0.0,1
antimalarial agent,1,0,0.8130081300813008,0.0,1
anti-pneumocystis agent,1,0,0.8130081300813008,0.0,1
TRPV antagonist,1,0,0.8130081300813008,0.0,1
Tau aggregation inhibitor,1,0,0.8130081300813008,0.0,1
Thiamine uptake inhibitor,1,0,0.8130081300813008,0.0,1
Translation Inititiation Inhibitor,0,1,0.0,0.6993006993006993,1
