moa,low_count,low_total,high_count,high_total,total_extreme_count,fisher_odds_ratio,corrected_odds_ratio,log2_odds_ratio,p_value,direction,adjusted_p_value,significant_fdr_0_05
Topoisomerase inhibitor,1,123,18,143,19,17.568,12.03851261620186,3.589585249959592,0.00014762421019225418,More common in Highest observed predictability,0.0020667389426915588,True
mTOR inhibitor,0,123,12,143,12,inf,23.479087452471482,4.5533044320671,0.0005370217060503759,More common in Highest observed predictability,0.0037591519423526313,True
HDAC inhibitor,1,123,11,143,12,10.166666666666666,7.088050314465409,2.8253888448878657,0.006834267500824921,More common in Highest observed predictability,0.03189324833718297,True
Tubulin polymerization inhibitor,0,123,7,143,7,inf,13.571428571428571,3.7625006862733437,0.016219333986653848,More common in Highest observed predictability,0.05676766895328847,False
Protein synthesis inhibitor,1,123,8,143,9,7.229629629629629,5.1230012300123,2.3569892381778823,0.04061245436914943,More common in Highest observed predictability,0.11371487223361841,False
Proteasome inhibitor,0,123,5,143,5,inf,9.808664259927799,3.2940566841727867,0.06367122160088505,More common in Highest observed predictability,0.14856618373539845,False
Tyrosine kinase inhibitor,5,123,1,143,6,0.16619718309859155,0.22679425837320574,-2.140543978069986,0.09858749229350239,More common in Lowest observed predictability,0.19717498458700478,False
PI3K inhibitor,2,123,8,143,10,3.585185185185185,3.0487084870848706,1.6081982086148863,0.11271454654461967,More common in Highest observed predictability,0.19725045645308442,False
Glucocorticoid receptor agonist,1,123,6,143,7,5.343065693430657,3.860606060606061,1.9488273480104847,0.12749450225064257,More common in Highest observed predictability,0.1983247812787773,False
ATPase inhibitor,1,123,5,143,6,4.420289855072464,3.243080625752106,1.6973648908695234,0.22144839662633486,More common in Highest observed predictability,0.3100277552768688,False
FLT3 inhibitor,4,123,2,143,6,0.4219858156028369,0.4691794267765999,-1.0917883414060838,0.41974634219512547,More common in Lowest observed predictability,0.5342226173392506,False
HSP inhibitor,3,123,6,143,9,1.7518248175182483,1.6275324675324676,0.7026863239014278,0.5117170754019216,More common in Highest observed predictability,0.5970032546355752,False
EGFR inhibitor,3,123,2,143,5,0.5673758865248227,0.6082786471479051,-0.7171957337721624,0.6649420250286011,More common in Lowest observed predictability,0.7160914115692627,False
CDK inhibitor,3,123,4,143,7,1.1510791366906474,1.1105990783410138,0.15133810378548226,1.0,More common in Highest observed predictability,1.0,False
