compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,model_prediction_group,observed_predictability_group,moa,moa_annotation
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.9692649,0.95378715,Most predictable,Highest observed predictability,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,DNA polymerase inhibitor
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.9692649,0.95378715,Most predictable,Highest observed predictability,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,142,0.9608134,0.95823395,Most predictable,Highest observed predictability,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5150,Doxycycline (monohydrate); Invertin,139,0.9462695,0.84522074,Higher,Highest observed predictability,bacterial 30S ribosomal subunit inhibitor | metalloproteinase inhibitor; inhibitor/antagonist,Bacterial 30S ribosomal subunit inhibitor
5150,Doxycycline (monohydrate); Invertin,139,0.9462695,0.84522074,Higher,Highest observed predictability,bacterial 30S ribosomal subunit inhibitor | metalloproteinase inhibitor; inhibitor/antagonist,metalloproteinase inhibitor
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,0.9423275,0.8802825,Most predictable,Highest observed predictability,tubulin polymerization inhibitor; unclear,Tubulin polymerization inhibitor
3111,Temuterkib,143,0.9405753,0.8387111,Higher,Highest observed predictability,ERK inhibitor; inhibitor/antagonist,ERK inhibitor
611,Silodosin,135,0.94251317,0.83047104,Higher,Highest observed predictability,adrenergic receptor antagonist; inhibitor/antagonist,Adrenergic receptor antagonist
2020,Erdafitinib,138,0.9354768,0.79501027,Least predictable,Highest observed predictability,FGFR inhibitor; inhibitor/antagonist,FGFR inhibitor
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,0.9232177,0.8775338,Most predictable,Highest observed predictability,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
3445,Bimiralisib,145,0.9161269,0.8428656,Higher,Highest observed predictability,PI3K inhibitor; inhibitor/antagonist,PI3K inhibitor
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,142,0.9112504,0.9339174,Most predictable,Highest observed predictability,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
1089,Pemigatinib,139,0.9033111,0.84198266,Higher,Highest observed predictability,fgfr inhibitor; inhibitor/antagonist,fgfr inhibitor
