compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,model_prediction_group,observed_predictability_group,moa,moa_annotation
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.9692649,0.95378715,Most predictable,Highest observed predictability,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,DNA polymerase inhibitor
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.9692649,0.95378715,Most predictable,Highest observed predictability,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,142,0.9608134,0.95823395,Most predictable,Highest observed predictability,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,0.9423275,0.8802825,Most predictable,Highest observed predictability,tubulin polymerization inhibitor; unclear,Tubulin polymerization inhibitor
2020,Erdafitinib,138,0.9354768,0.79501027,Least predictable,Highest observed predictability,FGFR inhibitor; inhibitor/antagonist,FGFR inhibitor
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,0.9232177,0.8775338,Most predictable,Highest observed predictability,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,142,0.9112504,0.9339174,Most predictable,Highest observed predictability,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5197,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride,287,0.9014939,0.7695724,Least predictable,Higher,unclear; vitamin B,vitamin B
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",147,0.9305912,0.9148472,Most predictable,Highest observed predictability,Translation Inititiation Inhibitor; protein synthesis inhibitor,Protein synthesis inhibitor
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",147,0.9305912,0.9148472,Most predictable,Highest observed predictability,Translation Inititiation Inhibitor; protein synthesis inhibitor,Translation Inititiation Inhibitor
