compound_embedding_row_index,actual_predictability,predicted_predictability,compound_name
5185,0.9692649,0.95378715,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride
5134,0.9608134,0.95823395,Idarubicin (hydrochloride); Idarubicin Hydrochloride
5150,0.9462695,0.84522074,Doxycycline (monohydrate); Invertin
5137,0.9423275,0.8802825,Docetaxel (Trihydrate); Docetaxel Trihydrate
3111,0.9405753,0.8387111,Temuterkib
611,0.94251317,0.83047104,Silodosin
2020,0.9354768,0.79501027,Erdafitinib
5198,0.9232177,0.8775338,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride
5181,0.91693044,0.8310323,Simotinib
3445,0.9161269,0.8428656,Bimiralisib
5152,0.9112504,0.9339174,Topotecan (hydrochloride); Topotecan Hydrochloride
5536,0.9060146,0.8235941,SBI-0640756; Sbi-756
1089,0.9033111,0.84198266,Pemigatinib
5512,0.8993146,0.8242694,Entecavir (monohydrate); Entecavir Hydrate
5531,0.8963603,0.83753407,Cloxacillin (sodium); Cloxacillin Sodium
5197,0.9014939,0.7695724,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride
1770,0.9305912,0.9148472,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine"
5140,0.88946706,0.8321265,Perindopril (erbumine); Perindopril Erbumine
3093,0.8872303,0.8459056,9-ING-41; Elraglusib
2136,0.9092332,0.85246503,Hesperidin
1831,0.8894597,0.87371004,Rifaximin
5147,0.88323045,0.83708274,Estrone sulfate (potassium); Potassium estrone sulfate
5239,0.89369524,0.86506826,Fusidic Acid; Fusidic acid
5154,0.8825583,0.87054455,Azithromycin (hydrate); Azithromycin Dihydrate
5207,0.88186294,0.81608236,Bentamapimod
643,0.8828218,0.7765407,Glycyrrhizic acid; Glycyrrhizin
5158,0.87989867,0.79075444,Procainamide (hydrochloride); Procainamide Hydrochloride
5212,0.8786467,0.8445713,Lenalidomide (hemihydrate); Lenalidomide hemihydrate
5164,0.8781251,0.85909414,Daraxonrasib; RMC-6236
5328,0.90251946,0.8476006,Demeclocycline
483,0.8772243,0.88112056,Ipatasertib
5259,0.8763238,0.8254592,Thymopentin
5132,0.8748596,0.83857286,Almonertinib (hydrochloride); HS-10296 hydrochloride
791,0.91146654,0.8667738,Erythromycin
5280,0.87492764,0.838896,Artenimol; Dihydroartemisinin
5524,0.8721241,0.8592623,Gamma-Oryzanol; γ-Oryzanol
5217,0.8718446,0.87050027,Pitavastatin (Calcium); Pitavastatin Calcium
5539,0.8715635,0.7925254,Talc
5515,0.8714708,0.8230459,"2-((4-Acetylphenyl)hydrazinylidene)-2-(3,3-dimethyl-4H-isoquinolin-1-yl)acetamide; IQ 1"
2355,0.8693181,0.82211524,Pentagastrin
2709,0.86758846,0.8006064,Tucatinib
5190,0.8671154,0.809574,MK-8353; Mk-8353
5143,0.86589706,0.80822086,Belumosudil (mesylate)
