compound_embedding_row_index,compound_name,model_prediction_group,moa,moa_annotation
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,Most predictable,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,dna polymerase inhibitor | topoisomerase inhibitor
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,Most predictable,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,inhibitor/antagonist
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,Most predictable,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,topoisomerase inhibitor
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,Most predictable,inhibitor/antagonist; topoisomerase inhibitor,inhibitor/antagonist
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,Most predictable,inhibitor/antagonist; topoisomerase inhibitor,topoisomerase inhibitor
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,Most predictable,tubulin polymerization inhibitor; unclear,tubulin polymerization inhibitor
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,Most predictable,tubulin polymerization inhibitor; unclear,unclear
2020,Erdafitinib,Least predictable,FGFR inhibitor; inhibitor/antagonist,FGFR inhibitor
2020,Erdafitinib,Least predictable,FGFR inhibitor; inhibitor/antagonist,inhibitor/antagonist
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,Most predictable,inhibitor/antagonist; topoisomerase inhibitor,inhibitor/antagonist
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,Most predictable,inhibitor/antagonist; topoisomerase inhibitor,topoisomerase inhibitor
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,Most predictable,inhibitor/antagonist; topoisomerase inhibitor,inhibitor/antagonist
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,Most predictable,inhibitor/antagonist; topoisomerase inhibitor,topoisomerase inhibitor
5197,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride,Least predictable,unclear; vitamin B,unclear
5197,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride,Least predictable,unclear; vitamin B,vitamin B
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",Most predictable,Translation Inititiation Inhibitor; protein synthesis inhibitor,Translation Inititiation Inhibitor
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",Most predictable,Translation Inititiation Inhibitor; protein synthesis inhibitor,protein synthesis inhibitor
2136,Hesperidin,Most predictable,flavanone glycoside; unclear,flavanone glycoside
2136,Hesperidin,Most predictable,flavanone glycoside; unclear,unclear
1831,Rifaximin,Most predictable,RNA synthesis inhibitor; unclear,RNA synthesis inhibitor
1831,Rifaximin,Most predictable,RNA synthesis inhibitor; unclear,unclear
5239,Fusidic Acid; Fusidic acid,Most predictable,bacterial 30S ribosomal subunit inhibitor; inhibitor/antagonist,bacterial 30S ribosomal subunit inhibitor
5239,Fusidic Acid; Fusidic acid,Most predictable,bacterial 30S ribosomal subunit inhibitor; inhibitor/antagonist,inhibitor/antagonist
5154,Azithromycin (hydrate); Azithromycin Dihydrate,Most predictable,bacterial 50S ribosomal subunit inhibitor; unclear,bacterial 50S ribosomal subunit inhibitor
5154,Azithromycin (hydrate); Azithromycin Dihydrate,Most predictable,bacterial 50S ribosomal subunit inhibitor; unclear,unclear
643,Glycyrrhizic acid; Glycyrrhizin,Least predictable,inhibitor/antagonist; thrombin inhibitor,inhibitor/antagonist
643,Glycyrrhizic acid; Glycyrrhizin,Least predictable,inhibitor/antagonist; thrombin inhibitor,thrombin inhibitor
5158,Procainamide (hydrochloride); Procainamide Hydrochloride,Least predictable,inhibitor/antagonist; sodium channel blocker,inhibitor/antagonist
5158,Procainamide (hydrochloride); Procainamide Hydrochloride,Least predictable,inhibitor/antagonist; sodium channel blocker,sodium channel blocker
5164,Daraxonrasib; RMC-6236,Most predictable,inhibitor/antagonist,inhibitor/antagonist
5328,Demeclocycline,Most predictable,bacterial 30S ribosomal subunit inhibitor; inhibitor/antagonist,bacterial 30S ribosomal subunit inhibitor
5328,Demeclocycline,Most predictable,bacterial 30S ribosomal subunit inhibitor; inhibitor/antagonist,inhibitor/antagonist
483,Ipatasertib,Most predictable,AKT inhibitor; inhibitor/antagonist,AKT inhibitor
483,Ipatasertib,Most predictable,AKT inhibitor; inhibitor/antagonist,inhibitor/antagonist
791,Erythromycin,Most predictable,NFkB pathway inhibitor; inhibitor/antagonist,NFkB pathway inhibitor
791,Erythromycin,Most predictable,NFkB pathway inhibitor; inhibitor/antagonist,inhibitor/antagonist
5524,Gamma-Oryzanol; γ-Oryzanol,Most predictable,inhibitor/antagonist,inhibitor/antagonist
5217,Pitavastatin (Calcium); Pitavastatin Calcium,Most predictable,HMGCR inhibitor; inhibitor/antagonist,HMGCR inhibitor
5217,Pitavastatin (Calcium); Pitavastatin Calcium,Most predictable,HMGCR inhibitor; inhibitor/antagonist,inhibitor/antagonist
5539,Talc,Least predictable,unclear,unclear
2709,Tucatinib,Least predictable,EGFR inhibitor; inhibitor/antagonist,EGFR inhibitor
2709,Tucatinib,Least predictable,EGFR inhibitor; inhibitor/antagonist,inhibitor/antagonist
430,Ixazomib citrate,Most predictable,inhibitor/antagonist; proteasome inhibitor,inhibitor/antagonist
430,Ixazomib citrate,Most predictable,inhibitor/antagonist; proteasome inhibitor,proteasome inhibitor
754,Clobetasol Propionate; Clobetasol propionate,Most predictable,glucocorticoid receptor agonist; inhibitor/antagonist,glucocorticoid receptor agonist
754,Clobetasol Propionate; Clobetasol propionate,Most predictable,glucocorticoid receptor agonist; inhibitor/antagonist,inhibitor/antagonist
2240,"Naproxen, (-)-; naproxen",Least predictable,Cyclooxygenase inhibitor; cyclooxygenase inhibitor,Cyclooxygenase inhibitor
2240,"Naproxen, (-)-; naproxen",Least predictable,Cyclooxygenase inhibitor; cyclooxygenase inhibitor,cyclooxygenase inhibitor
428,Bestatin; Ubenimex,Least predictable,inhibitor/antagonist; leukotriene synthesis inhibitor,inhibitor/antagonist
428,Bestatin; Ubenimex,Least predictable,inhibitor/antagonist; leukotriene synthesis inhibitor,leukotriene synthesis inhibitor
1666,Capmatinib,Least predictable,c-Met inhibitor; inhibitor/antagonist,c-Met inhibitor
1666,Capmatinib,Least predictable,c-Met inhibitor; inhibitor/antagonist,inhibitor/antagonist
1784,Eplerenone; eplerenone,Most predictable,Cytochrome P450 inhibitor; cytochrome P450 inhibitor,Cytochrome P450 inhibitor
1784,Eplerenone; eplerenone,Most predictable,Cytochrome P450 inhibitor; cytochrome P450 inhibitor,cytochrome P450 inhibitor
5204,Cytarabine (hydrochloride); Cytarabine Hydrochloride,Most predictable,inhibitor/antagonist; ribonucleotide reductase inhibitor,inhibitor/antagonist
5204,Cytarabine (hydrochloride); Cytarabine Hydrochloride,Most predictable,inhibitor/antagonist; ribonucleotide reductase inhibitor,ribonucleotide reductase inhibitor
155,Tirabrutinib,Least predictable,Bruton's tyrosine kinase (BTK) inhibitor; inhibitor/antagonist,Bruton's tyrosine kinase (BTK) inhibitor
