clean_moa,n_compounds,observed_mean,predicted_mean,observed_median,predicted_median,prediction_error,absolute_error
Proteasome inhibitor,7,0.91675418,0.8352526457142856,0.92331344,0.83560085,-0.08150153428571438,0.08150153428571438
Topoisomerase inhibitor,22,0.9133118163636363,0.8956967636363636,0.9215324149999999,0.89345026,-0.017615052727272706,0.017615052727272706
mTOR inhibitor,17,0.9123592694117647,0.8508843888235295,0.93151283,0.8456129,-0.06147488058823525,0.06147488058823525
Protein synthesis inhibitor,10,0.902096,0.85245292,0.9116179200000001,0.85577925,-0.04964308000000006,0.04964308000000006
Ribonucleotide reductase inhibitor,5,0.891716564,0.832057606,0.9028313,0.83394814,-0.059658957999999984,0.059658957999999984
PLK inhibitor,7,0.89036675,0.8208287214285714,0.8782223,0.81660175,-0.06953802857142855,0.06953802857142855
ATPase inhibitor,10,0.8870339890000001,0.865976661,0.89329595,0.87176874,-0.021057328000000042,0.021057328000000042
HDAC inhibitor,19,0.8800000789473683,0.8184437010526316,0.9024819,0.8149605,-0.06155637789473667,0.06155637789473667
Tubulin polymerization inhibitor,16,0.874842328125,0.83990764875,0.88998708,0.83060635,-0.034934679374999944,0.034934679374999944
PI3K inhibitor,19,0.8745748115789475,0.8367843763157895,0.8829222,0.83240825,-0.03779043526315795,0.03779043526315795
Tubulin inhibitor,8,0.8742627625,0.843712625,0.8890853249999999,0.84009125,-0.03055013750000002,0.03055013750000002
HMGCR inhibitor,7,0.8730417785714285,0.8441775514285714,0.8608341,0.84446734,-0.02886422714285708,0.02886422714285708
NFKB pathway inhibitor,5,0.8729179699999999,0.82410601,0.85903496,0.8326802,-0.04881195999999988,0.04881195999999988
MEK inhibitor,10,0.8700848210000001,0.8270334309999999,0.8765531,0.83511845,-0.043051390000000134,0.043051390000000134
Dopamine receptor antagonist,6,0.8658635166666667,0.826554275,0.8771713800000001,0.82568335,-0.03930924166666672,0.03930924166666672
Immunosuppressant,5,0.858813974,0.820749058,0.8342631,0.83228314,-0.03806491600000006,0.03806491600000006
DNA synthesis inhibitor,8,0.85748452125,0.8250320825,0.86582213,0.82432393,-0.03245243874999992,0.03245243874999992
Cytochrome P450 inhibitor,5,0.855014354,0.834434358,0.8747673,0.8331844,-0.020579996000000045,0.020579996000000045
NFkB pathway inhibitor,6,0.8510634666666667,0.8178147333333333,0.85833388,0.81155595,-0.033248733333333336,0.033248733333333336
Cyclooxygenase inhibitor,6,0.8475497266666667,0.8163600299999999,0.8419027050000001,0.819607865,-0.031189696666666822,0.031189696666666822
HSP inhibitor,12,0.8472376741666667,0.8491083475000001,0.8902341,0.8355532649999999,0.0018706733333333503,0.0018706733333333503
PKC inhibitor,5,0.847075322,0.8385695459999999,0.83078796,0.83839464,-0.008505776000000131,0.008505776000000131
Aurora kinase inhibitor,17,0.8467384535294118,0.81544222,0.8612989,0.811406,-0.0312962335294118,0.0312962335294118
JAK inhibitor,14,0.8450084521428571,0.8206283350000001,0.85802975,0.81923905,-0.02438011714285704,0.02438011714285704
CDK inhibitor,17,0.8420871211764706,0.8216407270588235,0.8345966,0.8185886,-0.020446394117647038,0.020446394117647038
Glucocorticoid receptor agonist,21,0.8420283404761906,0.8511776176190476,0.8323172,0.849716,0.00914927714285707,0.00914927714285707
Bacterial 30S ribosomal subunit inhibitor,6,0.8409275666666667,0.8644795916666667,0.8774553700000001,0.85633443,0.023552024999999976,0.023552024999999976
Estrogen receptor agonist,6,0.83892077,0.8343319433333334,0.851325275,0.8363235,-0.004588826666666601,0.004588826666666601
Progesterone receptor agonist,6,0.8336597116666667,0.8340745116666667,0.82848022,0.834234625,0.00041479999999993744,0.00041479999999993744
EGFR inhibitor,19,0.8305349157894737,0.8192072415789473,0.85303855,0.8207016,-0.011327674210526384,0.011327674210526384
Vitamin D receptor agonist,7,0.8273967085714286,0.8338378414285714,0.8198536,0.83200836,0.006441132857142873,0.006441132857142873
HIV protease inhibitor,5,0.824114676,0.833479378,0.82721573,0.836199,0.009364702000000058,0.009364702000000058
Selective serotonin reuptake inhibitor (SSRI),5,0.8188558159999999,0.8222452519999999,0.8222613,0.82762116,0.003389435999999968,0.003389435999999968
AKT inhibitor,7,0.8185215957142857,0.83023417,0.80660605,0.8193761,0.011712574285714261,0.011712574285714261
PARP inhibitor,6,0.815431265,0.8177667716666667,0.79853918,0.8209029999999999,0.002335506666666709,0.002335506666666709
Abl kinase inhibitor,5,0.8150079399999999,0.8067445340000001,0.81711954,0.8084033,-0.008263405999999751,0.008263405999999751
IKK inhibitor,5,0.8128942219999999,0.8217944600000001,0.8075441,0.80980843,0.008900238000000171,0.008900238000000171
FLT3 inhibitor,13,0.812814983076923,0.8185695023076923,0.82841134,0.8225398,0.005754519230769306,0.005754519230769306
ALK tyrosine kinase receptor inhibitor,7,0.8127436342857143,0.8229620671428571,0.8234211,0.8145009,0.010218432857142856,0.010218432857142856
MAP kinase inhibitor,6,0.8097613283333334,0.8293393033333333,0.85308111,0.84279015,0.019577974999999914,0.019577974999999914
P38 MAPK inhibitor,5,0.8030120139999999,0.817423496,0.8251205,0.8134489,0.014411482000000087,0.014411482000000087
Glycogen synthase kinase inhibitor,7,0.8021043971428572,0.8052151514285715,0.80653334,0.8014827,0.003110754285714279,0.003110754285714279
KIT inhibitor,6,0.7994379683333334,0.811317195,0.805816065,0.81623605,0.011879226666666631,0.011879226666666631
VEGFR inhibitor,15,0.7974050173333332,0.8114312906666666,0.8043622,0.8124506,0.014026273333333394,0.014026273333333394
PDGFR tyrosine kinase receptor inhibitor,9,0.7916206144444444,0.8178388588888889,0.8043622,0.8155057,0.026218244444444427,0.026218244444444427
PDGFR inhibitor,8,0.7884168125,0.8118414825,0.79213993,0.8139781500000001,0.023424670000000036,0.023424670000000036
FGFR inhibitor,6,0.7872041433333333,0.8177574733333334,0.78343904,0.8222090500000001,0.030553330000000045,0.030553330000000045
RAF inhibitor,5,0.7858746919999999,0.811575948,0.77344674,0.82215804,0.02570125600000006,0.02570125600000006
Adrenergic receptor agonist,7,0.7852021757142857,0.7910243428571428,0.83028996,0.7931368,0.005822167142857104,0.005822167142857104
Adrenergic receptor antagonist,6,0.7835034516666667,0.8004353616666666,0.774817175,0.8010875,0.01693190999999994,0.01693190999999994
Bcr-Abl kinase inhibitor,6,0.77141162,0.8038322233333334,0.7625967300000001,0.8062812349999999,0.03242060333333341,0.03242060333333341
Tyrosine kinase inhibitor,10,0.770612545,0.810052417,0.75495699,0.811621435,0.03943987199999999,0.03943987199999999
Retinoid receptor agonist,9,0.7605740866666666,0.8018857922222222,0.774925,0.7994816,0.04131170555555563,0.04131170555555563
GSK-3 inhibitor,5,0.750642688,0.80541708,0.789541,0.8037731,0.054774392000000005,0.054774392000000005
