compound_embedding_row_index,compound_name,normalized_compound_name,actual_predictability,predicted_predictability,n_profiles,moa,clean_moa
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,doxorubicin hydrochloride doxorubicin hydrochloride epirubicin hydrochloride epirubicin hydrochloride,0.9692649,0.95378715,280,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,Dna polymerase inhibitor
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,doxorubicin hydrochloride doxorubicin hydrochloride epirubicin hydrochloride epirubicin hydrochloride,0.9692649,0.95378715,280,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,idarubicin hydrochloride idarubicin hydrochloride,0.9608134,0.95823395,142,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5150,Doxycycline (monohydrate); Invertin,doxycycline monohydrate invertin,0.9462695,0.84522074,139,bacterial 30S ribosomal subunit inhibitor | metalloproteinase inhibitor; inhibitor/antagonist,Bacterial 30S ribosomal subunit inhibitor
5150,Doxycycline (monohydrate); Invertin,doxycycline monohydrate invertin,0.9462695,0.84522074,139,bacterial 30S ribosomal subunit inhibitor | metalloproteinase inhibitor; inhibitor/antagonist,Metalloproteinase inhibitor
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,docetaxel trihydrate docetaxel trihydrate,0.9423275,0.8802825,136,tubulin polymerization inhibitor; unclear,Tubulin polymerization inhibitor
3111,Temuterkib,temuterkib,0.9405753,0.8387111,143,ERK inhibitor; inhibitor/antagonist,ERK inhibitor
611,Silodosin,silodosin,0.94251317,0.83047104,135,adrenergic receptor antagonist; inhibitor/antagonist,Adrenergic receptor antagonist
2020,Erdafitinib,erdafitinib,0.9354768,0.79501027,138,FGFR inhibitor; inhibitor/antagonist,FGFR inhibitor
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,mitoxantrone dihydrochloride mitoxantrone hydrochloride,0.9232177,0.8775338,144,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
3445,Bimiralisib,bimiralisib,0.9161269,0.8428656,145,PI3K inhibitor; inhibitor/antagonist,PI3K inhibitor
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,topotecan hydrochloride topotecan hydrochloride,0.9112504,0.9339174,142,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
1089,Pemigatinib,pemigatinib,0.9033111,0.84198266,139,fgfr inhibitor; inhibitor/antagonist,Fgfr inhibitor
5512,Entecavir (monohydrate); Entecavir Hydrate,entecavir monohydrate entecavir hydrate,0.8993146,0.8242694,132,DNA replication inhibitor | nucleoside reverse transcriptase inhibitor; unclear,DNA replication inhibitor
5512,Entecavir (monohydrate); Entecavir Hydrate,entecavir monohydrate entecavir hydrate,0.8993146,0.8242694,132,DNA replication inhibitor | nucleoside reverse transcriptase inhibitor; unclear,Nucleoside reverse transcriptase inhibitor
5531,Cloxacillin (sodium); Cloxacillin Sodium,cloxacillin sodium cloxacillin sodium,0.8963603,0.83753407,139,bacterial cell wall synthesis inhibitor; inhibitor/antagonist,Bacterial cell wall synthesis inhibitor
5197,Pyridoxine (hydrochloride); Pyridoxine Hydrochloride,pyridoxine hydrochloride pyridoxine hydrochloride,0.9014939,0.7695724,287,unclear; vitamin B,Vitamin B
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",1 o 2s 3s 6r 4 methoxy 16 18 dioxa 10 azapentacyclo 11 7 0 02 6 06 10 015 19 icosa 1 20 4 13 15 19 tetraen 3 yl 4 o methyl 2r 2 hydroxy 2 3 hydroxy 3 methylbutyl butanedioate harringtonine,0.9305912,0.9148472,147,Translation Inititiation Inhibitor; protein synthesis inhibitor,Translation Inititiation Inhibitor
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",1 o 2s 3s 6r 4 methoxy 16 18 dioxa 10 azapentacyclo 11 7 0 02 6 06 10 015 19 icosa 1 20 4 13 15 19 tetraen 3 yl 4 o methyl 2r 2 hydroxy 2 3 hydroxy 3 methylbutyl butanedioate harringtonine,0.9305912,0.9148472,147,Translation Inititiation Inhibitor; protein synthesis inhibitor,Protein synthesis inhibitor
3093,9-ING-41; Elraglusib,9 ing 41 elraglusib,0.8872303,0.8459056,142,gsk3b inhibitor; inhibitor/antagonist,Gsk3b inhibitor
2136,Hesperidin,hesperidin,0.9092332,0.85246503,144,flavanone glycoside; unclear,Flavanone glycoside
1831,Rifaximin,rifaximin,0.8894597,0.87371004,136,RNA synthesis inhibitor; unclear,RNA synthesis inhibitor
5147,Estrone sulfate (potassium); Potassium estrone sulfate,estrone sulfate potassium potassium estrone sulfate,0.88323045,0.83708274,142,estrogenic hormone | estrogen receptor agonist; unclear,Estrogenic hormone
5147,Estrone sulfate (potassium); Potassium estrone sulfate,estrone sulfate potassium potassium estrone sulfate,0.88323045,0.83708274,142,estrogenic hormone | estrogen receptor agonist; unclear,Estrogen receptor agonist
5239,Fusidic Acid; Fusidic acid,fusidic acid fusidic acid,0.89369524,0.86506826,145,bacterial 30S ribosomal subunit inhibitor; inhibitor/antagonist,Bacterial 30S ribosomal subunit inhibitor
5154,Azithromycin (hydrate); Azithromycin Dihydrate,azithromycin hydrate azithromycin dihydrate,0.8825583,0.87054455,142,bacterial 50S ribosomal subunit inhibitor; unclear,Bacterial 50S ribosomal subunit inhibitor
643,Glycyrrhizic acid; Glycyrrhizin,glycyrrhizic acid glycyrrhizin,0.8828218,0.7765407,140,inhibitor/antagonist; thrombin inhibitor,Thrombin inhibitor
5158,Procainamide (hydrochloride); Procainamide Hydrochloride,procainamide hydrochloride procainamide hydrochloride,0.87989867,0.79075444,131,inhibitor/antagonist; sodium channel blocker,Sodium channel blocker
5212,Lenalidomide (hemihydrate); Lenalidomide hemihydrate,lenalidomide hemihydrate lenalidomide hemihydrate,0.8786467,0.8445713,143,anticancer agent; inhibitor/antagonist,Anticancer agent
5328,Demeclocycline,demeclocycline,0.90251946,0.8476006,150,bacterial 30S ribosomal subunit inhibitor; inhibitor/antagonist,Bacterial 30S ribosomal subunit inhibitor
483,Ipatasertib,ipatasertib,0.8772243,0.88112056,149,AKT inhibitor; inhibitor/antagonist,AKT inhibitor
5259,Thymopentin,thymopentin,0.8763238,0.8254592,135,immune response stimulator; unclear,Immune response stimulator
5132,Almonertinib (hydrochloride); HS-10296 hydrochloride,almonertinib hydrochloride hs 10296 hydrochloride,0.8748596,0.83857286,145,egfr inhibitor; inhibitor/antagonist,EGFR inhibitor
791,Erythromycin,erythromycin,0.91146654,0.8667738,151,NFkB pathway inhibitor; inhibitor/antagonist,NFkB pathway inhibitor
791,Erythromycin,erythromycin,0.91146654,0.8667738,151,NFKB pathway inhibitor,NFKB pathway inhibitor
