moa_annotation,lowest_observed_count,highest_observed_count,lowest_observed_percent,highest_observed_percent,total_extreme_count
Topoisomerase inhibitor,1,16,0.8130081300813008,11.188811188811188,17
HDAC inhibitor,1,11,0.8130081300813008,7.6923076923076925,12
HSP inhibitor,3,6,2.4390243902439024,4.195804195804196,9
mTOR inhibitor,0,9,0.0,6.293706293706293,9
Glucocorticoid receptor agonist,1,6,0.8130081300813008,4.195804195804196,7
ATPase inhibitor,1,5,0.8130081300813008,3.4965034965034967,6
Tubulin polymerization inhibitor,0,6,0.0,4.195804195804196,6
PI3K inhibitor,2,4,1.6260162601626016,2.797202797202797,6
CDK inhibitor,2,3,1.6260162601626016,2.097902097902098,5
protein synthesis inhibitor,1,4,0.8130081300813008,2.797202797202797,5
proteasome inhibitor,0,4,0.0,2.797202797202797,4
EGFR inhibitor,2,2,1.6260162601626016,1.3986013986013985,4
adrenergic receptor antagonist,2,1,1.6260162601626016,0.6993006993006993,3
Protein synthesis inhibitor,0,3,0.0,2.097902097902098,3
"MTOR inhibitor, PI3K inhibitor",0,3,0.0,2.097902097902098,3
Inhibitors of signal transduction pathways,1,2,0.8130081300813008,1.3986013986013985,3
Retinoid receptor agonist,3,0,2.4390243902439024,0.0,3
MEK inhibitor,1,2,0.8130081300813008,1.3986013986013985,3
tyrosine kinase inhibitor,3,0,2.4390243902439024,0.0,3
Tubulin inhibitor,0,3,0.0,2.097902097902098,3
dopamine receptor antagonist,0,2,0.0,1.3986013986013985,2
FLT3 inhibitor,2,0,1.6260162601626016,0.0,2
mTOR inhibitor | PI3K inhibitor,0,2,0.0,1.3986013986013985,2
microtubule inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
dna polymerase inhibitor | topoisomerase inhibitor,0,2,0.0,1.3986013986013985,2
Cyclooxygenase inhibitor,0,2,0.0,1.3986013986013985,2
FGFR inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
estrogen receptor agonist,1,1,0.8130081300813008,0.6993006993006993,2
NFkB pathway inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
IMPDH inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
IKK inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
adenylyl cyclase activator,1,1,0.8130081300813008,0.6993006993006993,2
Aurora kinase inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
PLK inhibitor,0,2,0.0,1.3986013986013985,2
CDC inhibitor,2,0,1.6260162601626016,0.0,2
Bcr-Abl kinase inhibitor,2,0,1.6260162601626016,0.0,2
Bacterial 30S ribosomal subunit inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
PARP inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
BCL inhibitor,0,2,0.0,1.3986013986013985,2
RNA polymerase inhibitor,1,1,0.8130081300813008,0.6993006993006993,2
ribonucleotide reductase inhibitor,0,2,0.0,1.3986013986013985,2
Apoptosis Inducers,1,1,0.8130081300813008,0.6993006993006993,2
Rho associated kinase inhibitor,2,0,1.6260162601626016,0.0,2
Adrenergic receptor agonist,2,0,1.6260162601626016,0.0,2
"Tricyclic antidepressant, Norepinephrine reputake inhibitor",1,0,0.8130081300813008,0.0,1
antiviral,0,1,0.0,0.6993006993006993,1
antimalarial agent,1,0,0.8130081300813008,0.0,1
anti-pneumocystis agent,1,0,0.8130081300813008,0.0,1
adenosine deaminase inhibitor | ribonucleotide reductase inhibitor,0,1,0.0,0.6993006993006993,1
Tyrosine kinase inhibitor,0,1,0.0,0.6993006993006993,1
"adenosine receptor agonist | adenosine receptor agonist, camp stimulant | cAMP stimulant",1,0,0.8130081300813008,0.0,1
Xanthine oxidase inhibitor,1,0,0.8130081300813008,0.0,1
anti-inflammatory agent,1,0,0.8130081300813008,0.0,1
Translation Inititiation Inhibitor,0,1,0.0,0.6993006993006993,1
AKT inhibitor,1,0,0.8130081300813008,0.0,1
Sigma receptor antagonist,1,0,0.8130081300813008,0.0,1
"Topoisomerase inhibitor, DNA inhibitor",0,1,0.0,0.6993006993006993,1
Selective estrogen receptor modulator,1,0,0.8130081300813008,0.0,1
Pyruvate Dehydrogenase Activators,1,0,0.8130081300813008,0.0,1
RAF inhibitor | serine/threonine kinase inhibitor,1,0,0.8130081300813008,0.0,1
RNA synthesis inhibitor | topoisomerase inhibitor,0,1,0.0,0.6993006993006993,1
"RNA synthesis inhibitor, Topoisomerase inhibitor",0,1,0.0,0.6993006993006993,1
Ribonucleotide reductase inhibitor,0,1,0.0,0.6993006993006993,1
SAPK1a (JNK2) Inhibitors,1,0,0.8130081300813008,0.0,1
SAPK1b (JNK3) Inhibitors,1,0,0.8130081300813008,0.0,1
SAPK1c (JNK1) Inhibitors,1,0,0.8130081300813008,0.0,1
SERCA2a Activator,1,0,0.8130081300813008,0.0,1
SIK1 gene inhibitor,1,0,0.8130081300813008,0.0,1
"STAT inhibitor, DNA replication inhibitor",0,1,0.0,0.6993006993006993,1
Serotonin Transporter (SERT) Inhibitors,1,0,0.8130081300813008,0.0,1
Thiamine uptake inhibitor,1,0,0.8130081300813008,0.0,1
"Serotonin receptor antagonist, Dopamine receptor agonist",1,0,0.8130081300813008,0.0,1
"Serotonin reuptake inhibitor, Norepinephrine reuptake inhibitor",1,0,0.8130081300813008,0.0,1
apoptosis stimulant,1,0,0.8130081300813008,0.0,1
Smoothened receptor agonist,1,0,0.8130081300813008,0.0,1
Smoothened receptor antagonist,1,0,0.8130081300813008,0.0,1
Survivin inhibitor,0,1,0.0,0.6993006993006993,1
T-type calcium channel blocker,1,0,0.8130081300813008,0.0,1
TGF beta receptor inhibitor,1,0,0.8130081300813008,0.0,1
"TIE tyrosine kinase inhibitor, Abl kinase inhibitor, VEGFR inhibitor",1,0,0.8130081300813008,0.0,1
TRPV antagonist,1,0,0.8130081300813008,0.0,1
"Tau aggregation inhibitor, Monoamine oxidase inhibitor, Guanylyl cyclase inhibitor, Nitric oxide production inhibitor",1,0,0.8130081300813008,0.0,1
antiviral | RNA synthesis inhibitor,1,0,0.8130081300813008,0.0,1
dehydrogenase inhibitor | inositol monophosphatase inhibitor,0,1,0.0,0.6993006993006993,1
apoptosis stimulant | protein synthesis inhibitor,0,1,0.0,0.6993006993006993,1
inosine monophosphate dehydrogenase inhibitor,1,0,0.8130081300813008,0.0,1
interleukin synthesis inhibitor,1,0,0.8130081300813008,0.0,1
leucine rich repeat kinase inhibitor,0,1,0.0,0.6993006993006993,1
lipid kinase inhibitor,1,0,0.8130081300813008,0.0,1
microtubule inhibitor | tubulin polymerization inhibitor,0,1,0.0,0.6993006993006993,1
mineralocorticoid receptor antagonist,1,0,0.8130081300813008,0.0,1
norepinephrine reputake inhibitor | tricyclic antidepressant,1,0,0.8130081300813008,0.0,1
norepinephrine reuptake inhibitor | serotonin–norepinephrine reuptake inhibitor (SNRI),1,0,0.8130081300813008,0.0,1
