moa,lowest_observed_count,lowest_observed_total,highest_observed_count,highest_observed_total,total_compounds_with_moa,fisher_odds_ratio,corrected_odds_ratio,log2_odds_ratio,p_value,direction,adjusted_p_value,significant_fdr_0_05
Topoisomerase inhibitor,1,123,16,143,17,15.37007874015748,10.568627450980392,3.40171612078101,0.0005670647796822048,More common in highest observed,0.005670647796822048,True
mTOR inhibitor,0,123,9,143,9,inf,17.44609665427509,4.124832382471639,0.00414737143500203,More common in highest observed,0.020736857175010146,True
HDAC inhibitor,1,123,11,143,12,10.166666666666666,7.088050314465409,2.8253888448878657,0.006834267500824921,More common in highest observed,0.022780891669416405,True
Tubulin polymerization inhibitor,0,123,6,143,6,inf,11.676363636363636,3.545519141313748,0.03211578659579509,More common in highest observed,0.08028946648948772,False
Glucocorticoid receptor agonist,1,123,6,143,7,5.343065693430657,3.860606060606061,1.9488273480104847,0.12749450225064257,More common in highest observed,0.25498900450128514,False
ATPase inhibitor,1,123,5,143,6,4.420289855072464,3.243080625752106,1.6973648908695234,0.22144839662633486,More common in highest observed,0.3690806610438915,False
protein synthesis inhibitor,1,123,4,143,5,3.5107913669064748,2.6344086021505375,1.397479127894539,0.37741000395385477,More common in highest observed,0.5391571485055069,False
HSP inhibitor,3,123,6,143,9,1.7518248175182483,1.6275324675324676,0.7026863239014278,0.5117170754019216,More common in highest observed,0.639646344252402,False
PI3K inhibitor,2,123,4,143,6,1.7410071942446044,1.5677419354838709,0.6486880983315433,0.6893332186088945,More common in highest observed,0.7659257984543272,False
CDK inhibitor,2,123,3,143,5,1.2964285714285715,1.21067615658363,0.2758130105550966,1.0,More common in highest observed,1.0,False
