compound_embedding_row_index,compound_name,observed_predictability_group,actual_predictability,moa,moa_annotation
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,Highest observed predictability,0.9692649,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,dna polymerase inhibitor | topoisomerase inhibitor
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,Highest observed predictability,0.9692649,dna polymerase inhibitor | topoisomerase inhibitor; inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,Highest observed predictability,0.9608134,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
5150,Doxycycline (monohydrate); Invertin,Highest observed predictability,0.9462695,bacterial 30S ribosomal subunit inhibitor | metalloproteinase inhibitor; inhibitor/antagonist,bacterial 30S ribosomal subunit inhibitor | metalloproteinase inhibitor
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,Highest observed predictability,0.9423275,tubulin polymerization inhibitor; unclear,Tubulin polymerization inhibitor
3111,Temuterkib,Highest observed predictability,0.9405753,ERK inhibitor; inhibitor/antagonist,ERK inhibitor
611,Silodosin,Highest observed predictability,0.94251317,adrenergic receptor antagonist; inhibitor/antagonist,adrenergic receptor antagonist
2020,Erdafitinib,Highest observed predictability,0.9354768,FGFR inhibitor; inhibitor/antagonist,FGFR inhibitor
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,Highest observed predictability,0.9232177,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
3445,Bimiralisib,Highest observed predictability,0.9161269,PI3K inhibitor; inhibitor/antagonist,PI3K inhibitor
5152,Topotecan (hydrochloride); Topotecan Hydrochloride,Highest observed predictability,0.9112504,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
1089,Pemigatinib,Highest observed predictability,0.9033111,fgfr inhibitor; inhibitor/antagonist,fgfr inhibitor
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",Highest observed predictability,0.9305912,Translation Inititiation Inhibitor; protein synthesis inhibitor,Translation Inititiation Inhibitor
1770,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(3-hydroxy-3-methylbutyl)butanedioate; Harringtonine",Highest observed predictability,0.9305912,Translation Inititiation Inhibitor; protein synthesis inhibitor,protein synthesis inhibitor
2136,Hesperidin,Highest observed predictability,0.9092332,flavanone glycoside; unclear,flavanone glycoside
5328,Demeclocycline,Highest observed predictability,0.90251946,bacterial 30S ribosomal subunit inhibitor; inhibitor/antagonist,Bacterial 30S ribosomal subunit inhibitor
