moa_annotation,least_predictable_count,most_predictable_count,least_predictable_percent,most_predictable_percent,total_extreme_count
Topoisomerase inhibitor,1,15,0.7751937984496124,10.714285714285714,16
Glucocorticoid receptor agonist,0,12,0.0,8.571428571428571,12
ATPase inhibitor,0,7,0.0,5.0,7
mTOR inhibitor,0,6,0.0,4.285714285714286,6
Tubulin polymerization inhibitor,1,4,0.7751937984496124,2.857142857142857,5
Retinoid receptor agonist,5,0,3.875968992248062,0.0,5
AKT inhibitor,2,3,1.550387596899225,2.142857142857143,5
HDAC inhibitor,4,1,3.10077519379845,0.7142857142857143,5
Aurora kinase inhibitor,5,0,3.875968992248062,0.0,5
Adrenergic receptor agonist,5,0,3.875968992248062,0.0,5
Bacterial 30S ribosomal subunit inhibitor,0,4,0.0,2.857142857142857,4
HSP inhibitor,1,3,0.7751937984496124,2.142857142857143,4
CDK inhibitor,2,1,1.550387596899225,0.7142857142857143,3
Bruton's tyrosine kinase (BTK) inhibitor,3,0,2.3255813953488373,0.0,3
protein synthesis inhibitor,0,3,0.0,2.142857142857143,3
PI3K inhibitor,0,3,0.0,2.142857142857143,3
Tubulin inhibitor,1,2,0.7751937984496124,1.4285714285714286,3
Inhibitors of signal transduction pathways,2,1,1.550387596899225,0.7142857142857143,3
Glycogen synthase kinase inhibitor,3,0,2.3255813953488373,0.0,3
HMGCR inhibitor,0,3,0.0,2.142857142857143,3
RNA polymerase inhibitor,0,3,0.0,2.142857142857143,3
MAP kinase inhibitor,1,2,0.7751937984496124,1.4285714285714286,3
tyrosine kinase inhibitor,2,1,1.550387596899225,0.7142857142857143,3
IKK inhibitor,2,1,1.550387596899225,0.7142857142857143,3
"MTOR inhibitor, PI3K inhibitor",0,2,0.0,1.4285714285714286,2
JAK inhibitor,2,0,1.550387596899225,0.0,2
microtubule inhibitor,1,1,0.7751937984496124,0.7142857142857143,2
mTOR inhibitor | PI3K inhibitor,0,2,0.0,1.4285714285714286,2
insulin sensitizer,2,0,1.550387596899225,0.0,2
DNA inhibitor,2,0,1.550387596899225,0.0,2
DNA methyltransferase inhibitor,0,2,0.0,1.4285714285714286,2
NFkB pathway inhibitor,1,1,0.7751937984496124,0.7142857142857143,2
DNA synthesis inhibitor,1,1,0.7751937984496124,0.7142857142857143,2
GSK-3 inhibitor,2,0,1.550387596899225,0.0,2
EGFR inhibitor,2,0,1.550387596899225,0.0,2
NF-kappaB (NFKB) Activation Inhibitors,2,0,1.550387596899225,0.0,2
adenylyl cyclase activator,0,2,0.0,1.4285714285714286,2
antimalarial agent,1,1,0.7751937984496124,0.7142857142857143,2
dna polymerase inhibitor | topoisomerase inhibitor,0,2,0.0,1.4285714285714286,2
adrenergic receptor antagonist,2,0,1.550387596899225,0.0,2
JNK inhibitor,2,0,1.550387596899225,0.0,2
Calcineurin inhibitor,0,2,0.0,1.4285714285714286,2
"nuclear factor erythroid derived, like (NRF2) activator",1,1,0.7751937984496124,0.7142857142857143,2
mineralocorticoid receptor antagonist,0,2,0.0,1.4285714285714286,2
Protein tyrosine kinase inhibitor,2,0,1.550387596899225,0.0,2
protein synthesis stimulant,2,0,1.550387596899225,0.0,2
proteasome inhibitor,0,2,0.0,1.4285714285714286,2
BTK inhibitor,2,0,1.550387596899225,0.0,2
Bcr-Abl kinase inhibitor,2,0,1.550387596899225,0.0,2
Protein synthesis inhibitor,0,2,0.0,1.4285714285714286,2
opioid receptor antagonist,2,0,1.550387596899225,0.0,2
RNA synthesis inhibitor,0,2,0.0,1.4285714285714286,2
PKC activator,0,2,0.0,1.4285714285714286,2
PKC inhibitor,1,1,0.7751937984496124,0.7142857142857143,2
ALK tyrosine kinase receptor inhibitor,1,1,0.7751937984496124,0.7142857142857143,2
antiviral | RNA synthesis inhibitor,1,0,0.7751937984496124,0.0,1
apoptosis stimulant,1,0,0.7751937984496124,0.0,1
anti-inflammatory agent,0,1,0.0,0.7142857142857143,1
anticancer agent | aryl hydrocarbon receptor antagonist,1,0,0.7751937984496124,0.0,1
"Serotonin reuptake inhibitor, Norepinephrine reuptake inhibitor",1,0,0.7751937984496124,0.0,1
antioxidant,0,1,0.0,0.7142857142857143,1
Serotonin Transporter (SERT) Inhibitors,1,0,0.7751937984496124,0.0,1
apoptosis stimulant | retinoid receptor agonist,1,0,0.7751937984496124,0.0,1
apoptosis stimulant | protein synthesis inhibitor,0,1,0.0,0.7142857142857143,1
SAPK1b (JNK3) Inhibitors,1,0,0.7751937984496124,0.0,1
antioxidant | capillary stabilizing agent | nitric oxide scavenger,0,1,0.0,0.7142857142857143,1
Secretory Phospholipase A2 (sPLA2) Inhibitors,1,0,0.7751937984496124,0.0,1
SAPK1c (JNK1) Inhibitors,1,0,0.7751937984496124,0.0,1
SIK1 gene inhibitor,1,0,0.7751937984496124,0.0,1
Sigma receptor antagonist,1,0,0.7751937984496124,0.0,1
TP53 Expression Enhancers,1,0,0.7751937984496124,0.0,1
angiotensin converting enzyme inhibitor,1,0,0.7751937984496124,0.0,1
TGF beta receptor inhibitor,1,0,0.7751937984496124,0.0,1
bacterial 30S ribosomal subunit inhibitor | metalloproteinase inhibitor,0,1,0.0,0.7142857142857143,1
Tyrosine kinase inhibitor,0,1,0.0,0.7142857142857143,1
VEGFR inhibitor,1,0,0.7751937984496124,0.0,1
Translation Inititiation Inhibitor,0,1,0.0,0.7142857142857143,1
"VEGFR inhibitor, RET tyrosine kinase inhibitor",1,0,0.7751937984496124,0.0,1
VEGFR-1 (Flt-1) Inhibitors,1,0,0.7751937984496124,0.0,1
VEGFR-2 (FLK-1/KDR) Inhibitors,1,0,0.7751937984496124,0.0,1
"Topoisomerase inhibitor, DNA inhibitor",0,1,0.0,0.7142857142857143,1
VEGFR-3 (FLT4) Inhibitors,1,0,0.7751937984496124,0.0,1
Vitamin D receptor agonist,0,1,0.0,0.7142857142857143,1
XIAP inhibitor,0,1,0.0,0.7142857142857143,1
Xanthine oxidase inhibitor,1,0,0.7751937984496124,0.0,1
adenine deaminase inhibitor,1,0,0.7751937984496124,0.0,1
Thiamine uptake inhibitor,1,0,0.7751937984496124,0.0,1
alcohol dehydrogenase inhibitor,0,1,0.0,0.7142857142857143,1
aldehyde dehydrogenase inhibitor | DNA methyltransferase inhibitor | TRPV agonist,1,0,0.7751937984496124,0.0,1
androgen receptor antagonist,1,0,0.7751937984496124,0.0,1
5 alpha reductase inhibitor,0,1,0.0,0.7142857142857143,1
cyclooxygenase inhibitor | prostanoid receptor antagonist,1,0,0.7751937984496124,0.0,1
bacterial 50S ribosomal subunit inhibitor,0,1,0.0,0.7142857142857143,1
retinoid receptor agonist | retinoid receptor ligand,1,0,0.7751937984496124,0.0,1
microtubule inhibitor | tubulin polymerization inhibitor,0,1,0.0,0.7142857142857143,1
microtubule stabilizing agent,0,1,0.0,0.7142857142857143,1
microtubule stabilizing agent | tubulin polymerization inhibitor,0,1,0.0,0.7142857142857143,1
mitochondrial repiratory chain 1 inhibitors,1,0,0.7751937984496124,0.0,1
monoamine oxidase inhibitor,1,0,0.7751937984496124,0.0,1
norepinephrine reuptake inhibitor | serotonin–norepinephrine reuptake inhibitor (SNRI),1,0,0.7751937984496124,0.0,1
other antibiotic,1,0,0.7751937984496124,0.0,1
p21 activated kinase inhibitor,0,1,0.0,0.7142857142857143,1
progestogen hormone,0,1,0.0,0.7142857142857143,1
protein tyrosine kinase inhibitor | tyrosine kinase inhibitor,1,0,0.7751937984496124,0.0,1
purine antagonist,1,0,0.7751937984496124,0.0,1
reversible BTK inhibitor,0,1,0.0,0.7142857142857143,1
bacterial DNA gyrase inhibitor,0,1,0.0,0.7142857142857143,1
ribonucleotide reductase inhibitor,0,1,0.0,0.7142857142857143,1
serine protease inhibitor,1,0,0.7751937984496124,0.0,1
sodium channel blocker,1,0,0.7751937984496124,0.0,1
sterol demethylase inhibitor,1,0,0.7751937984496124,0.0,1
thrombin inhibitor,1,0,0.7751937984496124,0.0,1
thymidylate synthase,1,0,0.7751937984496124,0.0,1
thymidylate synthase inhibitor,1,0,0.7751937984496124,0.0,1
tissue transglutaminase inhibitor,1,0,0.7751937984496124,0.0,1
vitamin B,1,0,0.7751937984496124,0.0,1
vitamin D receptor agonist,0,1,0.0,0.7142857142857143,1
voltage-gated potassium channel blocker,1,0,0.7751937984496124,0.0,1
leukotriene synthesis inhibitor,1,0,0.7751937984496124,0.0,1
leucine rich repeat kinase inhibitor,0,1,0.0,0.7142857142857143,1
inhibitor of mitochondrial complex I of the electron transport chain,1,0,0.7751937984496124,0.0,1
immunosuppressant | sphingosine 1-phosphate receptor agonist,1,0,0.7751937984496124,0.0,1
benzodiazepine receptor agonist,0,1,0.0,0.7142857142857143,1
beta-Adrenoceptor Agonists,1,0,0.7751937984496124,0.0,1
beta1-Adrenoceptor Antagonists,1,0,0.7751937984496124,0.0,1
bromodomain inhibitor,0,1,0.0,0.7142857142857143,1
c-Met inhibitor,1,0,0.7751937984496124,0.0,1
calcineurin inhibitor,0,1,0.0,0.7142857142857143,1
cyclooxygenase inhibitor,1,0,0.7751937984496124,0.0,1
Rho associated kinase inhibitor,1,0,0.7751937984496124,0.0,1
cytochrome P450 inhibitor,0,1,0.0,0.7142857142857143,1
cytokine production inhibitor | NFkB pathway inhibitor | TP53 activator,1,0,0.7751937984496124,0.0,1
dehydrogenase inhibitor | inositol monophosphatase inhibitor,0,1,0.0,0.7142857142857143,1
dihydrofolate reductase inhibitor,1,0,0.7751937984496124,0.0,1
estrogen receptor agonist,0,1,0.0,0.7142857142857143,1
estrogen receptor antagonist | progesterone receptor agonist,0,1,0.0,0.7142857142857143,1
exportin antagonist,1,0,0.7751937984496124,0.0,1
flavanone glycoside,0,1,0.0,0.7142857142857143,1
glucocorticoid receptor antagonist | progesterone receptor antagonist,0,1,0.0,0.7142857142857143,1
glutamate inhibitor,1,0,0.7751937984496124,0.0,1
glutamate receptor antagonist,1,0,0.7751937984496124,0.0,1
glycogen synthase kinase inhibitor | lipoxygenase inhibitor,1,0,0.7751937984496124,0.0,1
histamine receptor agonist,1,0,0.7751937984496124,0.0,1
hypoxia inducible factor inhibitor,0,1,0.0,0.7142857142857143,1
immunosuppressant | protein synthesis inhibitor | purine antagonist,1,0,0.7751937984496124,0.0,1
SAPK1a (JNK2) Inhibitors,1,0,0.7751937984496124,0.0,1
PPARalpha Agonists,1,0,0.7751937984496124,0.0,1
Reverse Transcriptase Inhibitors,0,1,0.0,0.7142857142857143,1
DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor,0,1,0.0,0.7142857142857143,1
CHK1 Expression Inhibitors,0,1,0.0,0.7142857142857143,1
CLK inhibitor,1,0,0.7751937984496124,0.0,1
Catecholamine depleting sympatholytic,0,1,0.0,0.7142857142857143,1
Cyclooxygenase inhibitor,1,0,0.7751937984496124,0.0,1
"Cyclooxygenase inhibitor, Prostanoid receptor antagonist",1,0,0.7751937984496124,0.0,1
Cytochrome P450 inhibitor,0,1,0.0,0.7142857142857143,1
Cytokine Production Inhibitors,1,0,0.7751937984496124,0.0,1
"Cytokine production inhibitor, NFKB pathway inhibitor, TP53 activator",1,0,0.7751937984496124,0.0,1
DNA alkylating agent | DNA synthesis inhibitor,0,1,0.0,0.7142857142857143,1
"DNA alkylating agent, DNA synthesis inhibitor",1,0,0.7751937984496124,0.0,1
DNA directed DNA polymerase inhibitor,0,1,0.0,0.7142857142857143,1
DNA inhibitor | topoisomerase inhibitor,0,1,0.0,0.7142857142857143,1
GPD2 gene modulator,1,0,0.7751937984496124,0.0,1
Dardarin) Inhibitors,1,0,0.7751937984496124,0.0,1
"Dehydrogenase inhibitor, IMPDH inhibitor, IMPase inhibitor, Hydroxycarboxylic acid receptor agonist, Immunosuppressant",0,1,0.0,0.7142857142857143,1
Dihydrofolate Reductase (DHFR) Inhibitors,1,0,0.7751937984496124,0.0,1
Dihydrofolate reductase inhibitor,0,1,0.0,0.7142857142857143,1
EGFR inhibitor | tyrosine kinase inhibitor,1,0,0.7751937984496124,0.0,1
"EGFR inhibitor, Tyrosine kinase inhibitor",1,0,0.7751937984496124,0.0,1
Ephrin inhibitor,1,0,0.7751937984496124,0.0,1
"Estrogen receptor antagonist, Progesterone receptor agonist",0,1,0.0,0.7142857142857143,1
Exportin 1 inhibitor,1,0,0.7751937984496124,0.0,1
FGFR inhibitor,1,0,0.7751937984496124,0.0,1
FKBP12 gene modulator,0,1,0.0,0.7142857142857143,1
"CHK inhibitor, CDK inhibitor, PKC inhibitor",0,1,0.0,0.7142857142857143,1
CDK inhibitors,1,0,0.7751937984496124,0.0,1
CDK inhibitor | growth factor receptor inhibitor,0,1,0.0,0.7142857142857143,1
CDK inhibitor | glycogen synthase kinase inhibitor,1,0,0.7751937984496124,0.0,1
AMP-Activated Protein Kinase (AMPK) Activators,1,0,0.7751937984496124,0.0,1
AMPK activator,1,0,0.7751937984496124,0.0,1
AP-1 Inhibitors,1,0,0.7751937984496124,0.0,1
ATM kinase inhibitor | ATR kinase inhibitor,1,0,0.7751937984496124,0.0,1
"ATM kinase inhibitor, ATR kinase inhibitor",1,0,0.7751937984496124,0.0,1
"ATP synthase inhibitor, ATPase inhibitor",0,1,0.0,0.7142857142857143,1
ATPase inhibitor | ATP synthase inhibitor,0,1,0.0,0.7142857142857143,1
Abl kinase inhibitor,1,0,0.7751937984496124,0.0,1
"Abl kinase inhibitor, Aurora kinase inhibitor, JAK inhibitor, FLT3 inhibitor",1,0,0.7751937984496124,0.0,1
Adenylyl cyclase activator,0,1,0.0,0.7142857142857143,1
Adrenergic receptor antagonist,1,0,0.7751937984496124,0.0,1
"Aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPV agonist",1,0,0.7751937984496124,0.0,1
Angiogenesis Inhibitors,1,0,0.7751937984496124,0.0,1
Antimitotic Drugs,1,0,0.7751937984496124,0.0,1
Apoptosis Inducers,1,0,0.7751937984496124,0.0,1
"Aryl hydrocarbon receptor antagonist, Anti-cancer agent",1,0,0.7751937984496124,0.0,1
Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor,1,0,0.7751937984496124,0.0,1
Aurora-B (ARK2) Kinase Inhibitors,1,0,0.7751937984496124,0.0,1
Aurora-C (ARK3) Kinase Inhibitors,1,0,0.7751937984496124,0.0,1
BCL-XL downregulator,1,0,0.7751937984496124,0.0,1
CAR agonist,1,0,0.7751937984496124,0.0,1
CDC inhibitor,1,0,0.7751937984496124,0.0,1
CDK inhibitor | CHK inhibitor | PKC inhibitor,0,1,0.0,0.7142857142857143,1
"Farnesyltransferase inhibitor, NFKB pathway inhibitor",0,1,0.0,0.7142857142857143,1
"GSK-3 inhibitor, CDK inhibitor",1,0,0.7751937984496124,0.0,1
"Retinoid receptor agonist, Apoptosis stimulant",1,0,0.7751937984496124,0.0,1
PLK inhibitor,1,0,0.7751937984496124,0.0,1
NAMPT inhibitor,1,0,0.7751937984496124,0.0,1
"Nitric oxide production inhibitor, PPAR receptor modulator, NFKB pathway inhibitor, TNF production inhibitor, Tumor necrosis factor production inhibitor, HIV integrase inhibitor, Lipoxygenase inhibitor",1,0,0.7751937984496124,0.0,1
Norepinephrine Transporter (NET) Inhibitors,1,0,0.7751937984496124,0.0,1
"Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators",1,0,0.7751937984496124,0.0,1
OPRL1 gene inhibitor,1,0,0.7751937984496124,0.0,1
OPRM1 gene inhibitor,1,0,0.7751937984496124,0.0,1
Opioid receptor antagonist,1,0,0.7751937984496124,0.0,1
P21 activated kinase inhibitor,0,1,0.0,0.7142857142857143,1
PARP inhibitor,1,0,0.7751937984496124,0.0,1
