compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,normalized_compound_name,clean_smiles,registry_frequency,n_unique_structures,has_valid_structure,structure_name_is_ambiguous
4646,emetine,158,0.965197,0.8885366,emetine,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3C2C[C@@H]1CC1NCCc2cc(OC)c(OC)cc21,1,2,True,True
1112,NVP-AUY922,217,0.952999,0.8412918,nvp auy922,CCNC(=O)C1=C(c2ccc(CN3CCOCC3)cc2)C(=C2C=C(C(C)C)C(O)=CC2=O)ON1,1,2,True,True
8551,verteporfin,151,0.9477924,0.86976004,verteporfin,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)c(CCC(=O)OC)c4C)[C@@]1(C)C3=CC=C(C(=O)OC)C1C(=O)OC,1,2,True,True
791,Erythromycin,151,0.91146654,0.8667738,erythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,1,2,True,True
2136,Hesperidin,144,0.9092332,0.85246503,hesperidin,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,1,2,True,True
724,Tofacitinib,247,0.9060779,0.81976604,tofacitinib,CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,1,2,True,True
70,thiostrepton,40,0.9049246,0.8237578,thiostrepton,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O,1,2,True,True
5328,Demeclocycline,150,0.90251946,0.8476006,demeclocycline,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12,1,3,True,True
1831,Rifaximin,136,0.8894597,0.87371004,rifaximin,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,1,3,True,True
5281,Artesunate,180,0.8873689,0.85152435,artesunate,CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,1,4,True,True
4066,BI-78D3,151,0.8854663,0.8108862,bi 78d3,O=[N+]([O-])c1cnc(Sc2nnc(O)n2-c2ccc3c(c2)OCCO3)s1,1,2,True,True
