scaffold_id,murcko_scaffold,n_compounds,observed_mean,observed_median,observed_std,predicted_mean,predicted_median,prediction_error,absolute_error,scaffold_group
Scaffold J,O=C1C=C2CCCCCCC=CCCC=CC=CC(=O)NC(=C1)C2=O,3,0.9873703,0.9876737,0.0084782724838259,0.9225321833333332,0.92377836,-0.0648381166666666,0.0648381166666666,Highest observed predictability
Scaffold C,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,7,0.9673130142857144,0.9721764,0.0250389908553092,0.94834002,0.9563592,-0.0189729942857144,0.0189729942857144,Highest observed predictability
Scaffold G,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,4,0.9506554,0.95162,0.0325103749767157,0.9135287325,0.912223685,-0.0371266675,0.0371266675,Highest observed predictability
Scaffold K,c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,3,0.9430614566666669,0.95493567,0.0212231863869833,0.8572895966666666,0.85822886,-0.0857718600000001,0.0857718600000001,Highest observed predictability
Scaffold L,O=C(CCc1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,3,0.91137385,0.9158393,0.0334109363594841,0.8912814333333333,0.8802825,-0.0200924166666667,0.0200924166666667,Highest observed predictability
Scaffold M,O=C1CCC=CCC(=O)CC(CCC2CCCCC2)OC(=O)C2CCCCN2C(=O)C(=O)C2CCCC(CCC=CC=CC=CCCC1)O2,3,0.8943371066666667,0.90203506,0.0193643789298425,0.8923890366666667,0.88977706,-0.0019480699999999,0.0019480699999999,Highest observed predictability
Scaffold W,O=C(NCCc1ccccc1)C(Nc1ccccc1)c1cccs1,3,0.7775234866666666,0.7822677,0.1138958098796286,0.8112985533333333,0.8262413,0.0337750666666667,0.0337750666666667,Lowest observed predictability
Scaffold A,c1ccccc1,32,0.791077304375,0.7980487199999999,0.0919460531394965,0.792064706875,0.786284745,0.0009874024999999,0.0009874024999999,Lowest observed predictability
Scaffold F,c1ncc2ncn(C3CCCO3)c2n1,5,0.809487032,0.8292305,0.0848801925596079,0.8164466779999999,0.8133995,0.0069596459999998,0.0069596459999998,Lowest observed predictability
Scaffold E,C=C1CCCCC1=CC=C1CCCC2CCCC12,5,0.8192908899999999,0.8198536,0.0349600368691596,0.8344367180000001,0.83200836,0.0151458280000001,0.0151458280000001,Lowest observed predictability
Scaffold V,O=C1CCOC2CCC3CCCCC3C12,3,0.8208072666666667,0.8502553,0.1056679384130462,0.8595995466666667,0.8725786,0.03879228,0.03879228,Lowest observed predictability
Scaffold U,c1ccc(Nc2ncnc3ccccc23)cc1,3,0.8224725733333335,0.81559074,0.03417227881812,0.8123638999999999,0.8057674,-0.0101086733333335,0.0101086733333335,Lowest observed predictability
