murcko_scaffold,n_compounds
c1ccccc1,32
O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,14
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,7
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,6
c1ncc2ncn(C3CCCO3)c2n1,5
C=C1CCCCC1=CC=C1CCCC2CCCC12,5
O=c1ncccn1C1CCCO1,4
O=c1ccn(C2CCCO2)c(=O)[nH]1,4
O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,4
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,3
O=C1CCOC2CCC3CCCCC3C12,3
O=C1C=C2CCCCCCC=CCCC=CC=CC(=O)NC(=C1)C2=O,3
O=C(CCc1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,3
C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,3
c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,3
C1CC2CCOC3OC4CCC(C1)C23OO4,3
O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,3
c1ccc(Nc2ncnc3ccccc23)cc1,3
O=C1CCC=CCC(=O)CC(CCC2CCCCC2)OC(=O)C2CCCCN2C(=O)C(=O)C2CCCC(CCC=CC=CC=CCCC1)O2,3
O=C(NCCc1ccccc1)C(Nc1ccccc1)c1cccs1,3
c1ccc2c(c1)CCC1C2CCC2CCCC21,3
c1ccc2[nH]cnc2c1,3
c1ccc2c(c1)Nc1ccccc1S2,3
c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,2
c1ccc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)cc1,2
O=C1C=C2CCC3C(CCC4C3CC3OCOC34)C2CC1,2
c1ccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)cc1,2
c1ccc2c(c1)CCNC2CC1CCN2CCc3ccccc3C2C1,2
c1ccc(Nc2ccccc2)cc1,2
O=C1COc2ccc(Nc3ccnc(Nc4ccccc4)n3)nc2N1,2
O=C(NCc1ccccc1)C1CCN(c2ncnc3[nH]ccc23)CC1,2
S=c1[nH]cnc2nc[nH]c12,2
C=C1CC=CC1=O,2
O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C12,2
O=C1C=C(C2CCC3C2CCC2C4CCCCC4CCC23)CO1,2
c1ccc(CNc2ncnc3[nH]cnc23)cc1,2
c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,2
O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12,2
O=C1CC2=CCC3C4CCCC4CC(=O)C3C2CC1=O,2
O=c1cc(-c2ccccc2)oc2ccccc12,2
O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC23)CO1,2
O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,2
O=C1CC=CCCCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C=CC2CCCCC2)CCC1,2
c1ccc(Nc2ncc3c(n2)-c2ccccc2C(c2ccccc2)=NC3)cc1,2
O=C(Nc1ccccc1)C1(C(=O)Nc2ccc(Oc3ccnc4ccccc34)cc2)CC1,2
c1ccc2c(c1)ncc1nc[nH]c12,2
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,2
O=c1n(-c2ccc(Oc3ccccc3)cc2)c2cncnc2n1C1CCNC1,2
C(=Cc1ccccc1)c1ccccc1,2
O=C(Nc1ccccc1)c1ccccc1,2
c1ccc(Nc2ccnc(Nc3ccc(N4CCCCC4)cc3)n2)cc1,2
c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,2
c1nc(NC2CCCNC2)c2cc[nH]c2n1,2
O=C1c2ccccc2C(=O)c2ccccc21,2
O=C1Nc2ccccc2C1=Cc1ccc[nH]1,2
O=C(Nc1cncc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,2
O=C(Nc1cnn2ccc(N3CCCC3c3ccccc3)nc12)N1CCCC1,2
O=S(=O)(Nc1ccccc1)c1ccccc1,2
O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCCC3O1,2
C1=CC23CCCN2CCc2cc4c(cc2C3C1)OCO4,2
c1ccc(-c2ccccc2)cc1,2
O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,2
c1ccc2ncccc2c1,2
O=C(Cc1cc(Nc2ncnc3ccccc23)n[nH]1)Nc1ccccc1,2
c1ccc(-c2cccc(C34CC5CC(CC(C5)C3)C4)c2)cc1,2
O=c1ncncn1C1CCCO1,2
O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,2
O=C(Cc1ccccc1)N1CCN(c2ncnc3c2CCC3)CC1,2
