scaffold_id,murcko_scaffold,original_n_compounds,original_observed_mean,original_predicted_mean,original_prediction_error,unambiguous_n_compounds,unambiguous_observed_mean,unambiguous_predicted_mean,unambiguous_prediction_error,observed_mean_change,predicted_mean_change
Scaffold B,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,14,0.8458407757142857,0.8552041807142857,0.0093634049999999,13.0,0.8515566384615384,0.8548021638461538,0.003245525384615422,0.005715862747252665,-0.00040201686813190474
Scaffold K,c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,3,0.9430614566666669,0.8572895966666666,-0.0857718600000001,3.0,0.9430614566666667,0.8572895966666666,-0.08577186000000014,-1.1102230246251565e-16,0.0
Scaffold J,O=C1C=C2CCCCCCC=CCCC=CC=CC(=O)NC(=C1)C2=O,3,0.9873703,0.9225321833333332,-0.0648381166666666,3.0,0.9873702999999999,0.9225321833333333,-0.06483811666666661,-1.1102230246251565e-16,1.1102230246251565e-16
Scaffold N,c1ccc2c(c1)CCC1C2CCC2CCCC21,3,0.89402005,0.8439861533333333,-0.0500338966666666,3.0,0.89402005,0.8439861533333333,-0.05003389666666669,0.0,0.0
Scaffold V,O=C1CCOC2CCC3CCCCC3C12,3,0.8208072666666667,0.8595995466666667,0.03879228,3.0,0.8208072666666667,0.8595995466666667,0.03879228000000001,0.0,0.0
Scaffold U,c1ccc(Nc2ncnc3ccccc23)cc1,3,0.8224725733333335,0.8123638999999999,-0.0101086733333335,3.0,0.8224725733333335,0.8123638999999999,-0.01010867333333354,0.0,0.0
Scaffold T,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,3,0.85425408,0.8475889766666667,-0.0066651033333333,3.0,0.85425408,0.8475889766666667,-0.0066651033333333665,0.0,0.0
Scaffold R,c1ccc2c(c1)Nc1ccccc1S2,3,0.86579222,0.8263389999999999,-0.03945322,3.0,0.86579222,0.8263389999999999,-0.03945322000000007,0.0,0.0
Scaffold Q,C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,3,0.8670865766666666,0.8444518666666667,-0.0226347099999998,3.0,0.8670865766666666,0.8444518666666667,-0.022634709999999836,0.0,0.0
Scaffold O,c1ccc2[nH]cnc2c1,3,0.8910260666666666,0.8016481999999999,-0.0893778666666667,3.0,0.8910260666666666,0.8016481999999999,-0.0893778666666667,0.0,0.0
Scaffold A,c1ccccc1,32,0.791077304375,0.792064706875,0.0009874024999999,32.0,0.791077304375,0.792064706875,0.0009874024999999564,0.0,0.0
Scaffold M,O=C1CCC=CCC(=O)CC(CCC2CCCCC2)OC(=O)C2CCCCN2C(=O)C(=O)C2CCCC(CCC=CC=CC=CCCC1)O2,3,0.8943371066666667,0.8923890366666667,-0.0019480699999999,3.0,0.8943371066666667,0.8923890366666667,-0.0019480699999999684,0.0,0.0
Scaffold H,O=c1ncccn1C1CCCO1,4,0.88610569,0.851698035,-0.0344076549999999,4.0,0.88610569,0.851698035,-0.03440765499999998,0.0,0.0
Scaffold G,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,4,0.9506554,0.9135287325,-0.0371266675,4.0,0.9506554,0.9135287325,-0.03712666750000004,0.0,0.0
Scaffold F,c1ncc2ncn(C3CCCO3)c2n1,5,0.809487032,0.8164466779999999,0.0069596459999998,5.0,0.809487032,0.8164466779999999,0.006959645999999875,0.0,0.0
Scaffold E,C=C1CCCCC1=CC=C1CCCC2CCCC12,5,0.8192908899999999,0.8344367180000001,0.0151458280000001,5.0,0.8192908899999999,0.8344367180000001,0.015145828000000194,0.0,0.0
Scaffold D,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,6,0.8605294516666667,0.8295282949999999,-0.0310011566666668,6.0,0.8605294516666667,0.8295282949999999,-0.031001156666666807,0.0,0.0
Scaffold C,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,7,0.9673130142857144,0.94834002,-0.0189729942857144,7.0,0.9673130142857144,0.94834002,-0.018972994285714417,0.0,0.0
Scaffold W,O=C(NCCc1ccccc1)C(Nc1ccccc1)c1cccs1,3,0.7775234866666666,0.8112985533333333,0.0337750666666667,3.0,0.7775234866666666,0.8112985533333333,0.03377506666666674,0.0,0.0
Scaffold I,O=c1ccn(C2CCCO2)c(=O)[nH]1,4,0.835001825,0.8337968,-0.0012050249999999,,,,,,
Scaffold L,O=C(CCc1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,3,0.91137385,0.8912814333333333,-0.0200924166666667,,,,,,
Scaffold P,O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,3,0.8830042533333334,0.8652840300000001,-0.0177202233333333,,,,,,
Scaffold S,C1CC2CCOC3OC4CCC(C1)C23OO4,3,0.8598092133333334,0.85074235,-0.0090668633333333,,,,,,
