signature_row_index,compound_embedding_row_index,source,signature_id,compound_name,parsed_cell_line,parsed_time,parsed_dose,split,time_hours,dose_um,log10_dose_um,cold_drug_split
0,427,L1000,L1000::bortezomib::HT29::::24H::20uM::REP.B007::C23::BRD-K50691590,Bortezomib,HT29,24H,20uM,test,24.0,20.0,1.3010299956639813,train
2,747,L1000,L1000::torin-1::HAP1.CDK4::::24H::3.33uM::MOAR017::L03::BRD-K40175214,"1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-1",HAP1.CDK4,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
3,2691,L1000,L1000::dequalinium::HAP1.CDK4::::24H::0.66uM::MOAR017::H04::BRD-K77685957,Dequalinium; dequalinium,HAP1.CDK4,24H,0.66uM,train,24.0,0.66,-0.1804560644581313,train
4,5028,L1000,L1000::PD-0325901::HAP1.CDK4::::24H::3.33uM::MOAR017::E03::BRD-K49865102,PD-0325901,HAP1.CDK4,24H,3.33uM,val,24.0,3.33,0.5224442335063199,train
5,747,L1000,L1000::torin-1::HAP1.CDK4::::24H::0.66uM::MOAR017::L04::BRD-K40175214,"1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-1",HAP1.CDK4,24H,0.66uM,train,24.0,0.66,-0.1804560644581313,train
7,3065,L1000,L1000::NVP-BEZ235::HAP1.CDK4::::24H::3.33uM::MOAR017::D03::BRD-K12184916,Dactolisib; NVP-BEZ235,HAP1.CDK4,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
8,1678,L1000,L1000::PHA-848125::HAP1.CDK4::::24H::0.66uM::MOAR017::J04::BRD-K60997853,"N,1,4,4-Tetramethyl-8-((4-(4-methylpiperazin-1-yl)phenyl)amino)-4,5-dihydro-1H-pyrazolo(4,3-h)quinazoline-3-carboxamide; PHA-848125",HAP1.CDK4,24H,0.66uM,train,24.0,0.66,-0.1804560644581313,train
9,2691,L1000,L1000::dequalinium::HAP1.CDK4::::24H::3.33uM::MOAR017::H03::BRD-K77685957,Dequalinium; dequalinium,HAP1.CDK4,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
10,1678,L1000,L1000::PHA-848125::HAP1.CDK4::::24H::3.33uM::MOAR017::J03::BRD-K60997853,"N,1,4,4-Tetramethyl-8-((4-(4-methylpiperazin-1-yl)phenyl)amino)-4,5-dihydro-1H-pyrazolo(4,3-h)quinazoline-3-carboxamide; PHA-848125",HAP1.CDK4,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
11,3995,L1000,L1000::GSK-3-inhibitor-IX::HAP1.CDK4::::24H::3.33uM::MOAR017::M03::BRD-K04923131,6-Bromoindirubin-3'-oxime; BRD-K04923131,HAP1.CDK4,24H,3.33uM,train,24.0,3.33,0.5224442335063199,train
12,3065,L1000,L1000::NVP-BEZ235::HAP1.CDK4::::24H::0.66uM::MOAR017::D04::BRD-K12184916,Dactolisib; NVP-BEZ235,HAP1.CDK4,24H,0.66uM,train,24.0,0.66,-0.1804560644581313,train
13,3006,L1000,L1000::OTX-015::HAP1.CDK4::::24H::3.33uM::MOAR017::C03::BRD-K43471985,"(6S)-4-(4-Chlorophenyl)-N-(4-hydroxyphenyl)-2,3,9-trimethyl-6H-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine-6-acetamide; OTX-015",HAP1.CDK4,24H,3.33uM,test,24.0,3.33,0.5224442335063199,train
14,3006,L1000,L1000::OTX-015::HAP1.CDK4::::24H::0.66uM::MOAR017::C04::BRD-K43471985,"(6S)-4-(4-Chlorophenyl)-N-(4-hydroxyphenyl)-2,3,9-trimethyl-6H-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine-6-acetamide; OTX-015",HAP1.CDK4,24H,0.66uM,train,24.0,0.66,-0.1804560644581313,train
15,4764,L1000,L1000::YM-155::A375::::24H::0.74uM::REP.B008::H14::BRD-K76703230,YM-155,A375,24H,0.74uM,train,24.0,0.74,-0.13076828026902382,validation
16,4764,L1000,L1000::YM-155::A375::::24H::0.08uM::REP.B008::H16::BRD-K76703230,YM-155,A375,24H,0.08uM,train,24.0,0.08,-1.0969100130080565,validation
17,3678,L1000,L1000::AS-703026::A375::::24H::2.22uM::REP.B008::P01::BRD-K89014967,AS-703026; Pimasertib,A375,24H,2.22uM,val,24.0,2.22,0.3463529744506387,train
18,2278,L1000,L1000::daunorubicin::A375::::24H::2.22uM::REP.B008::A07::BRD-A68009927,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",A375,24H,2.22uM,train,24.0,2.22,0.3463529744506387,train
