compound_embedding_row_index,compound_name,n_test_signatures,n_test_cell_lines,mean_response_mse,median_response_mse,mean_response_mae,mean_response_cosine,mean_response_pearson,source_normalized_inverted_score,n_profiles
74,Seocalcitol; seocalcitol,36,10,0.77897424,0.77686834,0.7053745,0.6304373393456141,0.6311456362406412,0.8198536329811437,36
99,Ibrutinib; ibrutinib,124,48,0.78434026,0.7707054,0.70715576,0.6220634320089894,0.6213643690270763,0.8575665277152715,149
107,PD-168393; Pd 168393,12,6,0.7188823,0.72549105,0.68372804,0.6209268718957901,0.6188065956036249,0.6317979854929321,12
168,Ixabepilone; ixabepilone,38,11,0.603882,0.6225042,0.6188495,0.7054900095651024,0.7064101350934882,0.8492724388078734,38
187,ATN-161; Atn-161,4,3,0.78680605,0.76414716,0.6965401,0.6255140006542206,0.6243707090616226,0.4751523159621152,4
230,AZD-1981; Azd-1981,5,4,0.7059385,0.6900121,0.6762589,0.6220742106437683,0.6195174098014832,0.5412519901092994,5
283,"1-[(3S,8S,9R,10R,13S,14S,17R)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone; pregnenolone",5,5,0.82199794,0.768333,0.72511137,0.6346413373947144,0.6380568385124207,0.9463703104605212,9
355,Quizartinib; quizartinib,48,28,0.7454629,0.74355817,0.69156176,0.6400200637678305,0.640495490282774,0.7469113731866766,49
419,Ciclesonide; ciclesonide,30,8,0.753342,0.72515273,0.6942501,0.648319935798645,0.6493083298206329,0.6499442408662017,30
425,Sibutramine; sibutramine,1,1,0.60519767,0.60519767,0.63095313,0.6512338519096375,0.6538509726524353,0.4873037390353296,1
438,"KHS-101; N4-isobutyl-N2-((2-phenylthiazol-4-yl)methyl)pyrimidine-2,4-diamine",8,8,0.719136,0.71224105,0.66676134,0.6423925906419754,0.644634060561657,0.33115956743388,8
459,(2S)-4-methyl-N-[(2S)-1-[[(2S)-4-methyl-1-[(2R)-2-methyloxiran-2-yl]-1-oxopentan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]-2-[[(2S)-2-[(2-morpholin-4-ylacetyl)amino]-4-phenylbutanoyl]amino]pentanamide; Carfilzomib; carfilzomib,65,11,0.7433471,0.7249966,0.6851521,0.62780945117657,0.6275664026920612,0.8817551277054548,85
473,EPZ-5676; Pinometostat,11,5,0.8149431,0.7897589,0.7224823,0.5873161391778425,0.5867835716767744,0.7568325697338787,32
