drug,smiles,pubchem_cid,targets,moa_broad,moa_fine
Talc,[OH-].[OH-].[O-][Si]12O[Si]3(O[Si](O1)(O[Si](O2)(O3)[O-])[O-])[O-].[Mg+2].[Mg+2].[Mg+2],165411828.0,,unclear,unclear
Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,387447.0,PSMB5,inhibitor/antagonist,Proteasome inhibitor
Ixazomib,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,25183872.0,PSMB5,inhibitor/antagonist,Proteasome inhibitor
Ixazomib citrate,B1(OC(=O)C(O1)(CC(=O)O)CC(=O)O)C(CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,56844015.0,"PSMB1, PSMB2, PSMB5",inhibitor/antagonist,Proteasome inhibitor
Lactate (calcium),C.CC(C(=O)[O-])O.[Ca+2],168311648.0,,unclear,unclear
Bisoprolol (hemifumarate),C.CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=CC(=O)O)C(=O)O,168312271.0,ADRB1,inhibitor/antagonist,Adrenoceptor agonist
Fumaric acid,C(=CC(=O)O)C(=O)O,444972.0,,inhibitor/antagonist,unclear
Hydroxyurea,C(=O)(N)NO,3657.0,"RRM2, RRM1",inhibitor/antagonist,DNA synthesis/repair inhibitor
L-Eflornithine (monohydrochloride),C(CC(C(F)F)(C(=O)O)N)CN.Cl,16048568.0,ODC1,inhibitor/antagonist,unclear
Cysteamine (hydrochloride),C(CS)N.Cl,9082.0,,unclear,unclear
Darinaparsin,C[As](C)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,11683005.0,,unclear,unclear
Entecavir (monohydrate),C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N.O,135526609.0,,unclear,unclear
Allantoin,C1(C(=O)NC(=O)N1)NC(=O)N,204.0,,unclear,unclear
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,3385.0,TYMS,inhibitor/antagonist,DNA synthesis/repair inhibitor
L-Thyroxine (sodium salt pentahydrate),C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)[O-])N.O.O.O.O.O.[Na+],23665037.0,,unclear,unclear
Gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,370.0,,inhibitor/antagonist,Cyclooxygenase inhibitor
Gallic acid (hydrate),C1=C(C=C(C(=C1O)O)O)C(=O)O.O,24721416.0,,inhibitor/antagonist,Cyclooxygenase inhibitor
ERK5-IN-2,C1=CC(=C(C(=C1)Br)C(=O)C2=CNC(=C2)C(=O)NC3=CN=CC=C3)F,118959080.0,MAPK7,inhibitor/antagonist,Other MAPK inhibitor
Vilanterol,C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O)Cl,10184665.0,ADRB2,activator/agonist,Adrenoceptor agonist
Niclosamide (olamine),C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N,14992.0,STAT3,inhibitor/antagonist,unclear
Norepinephrine (hydrochloride),C1=CC(=C(C=C1C(CN)O)O)O.Cl,11672905.0,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1",activator/agonist,Adrenoceptor agonist
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,5564.0,,inhibitor/antagonist,unclear
Mitoxantrone (dihydrochloride),C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl,51082.0,"TOP2A, TOP2B, PRKCA",inhibitor/antagonist,DNA synthesis/repair inhibitor
Pentamidine (isethionate),C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O,8813.0,PRLR,inhibitor/antagonist,unclear
Folic acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,135398658.0,,unclear,unclear
Balsalazide (sodium hydrate),C1=CC(=CC=C1C(=O)NCCC(=O)[O-])N=NC2=CC(=C(C=C2)[O-])C(=O)O.O.O.[Na+].[Na+],92044433.0,"IL6, STAT3",unclear,JAK/STAT inhibitor
Resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,445154.0,SIRT1,unclear,unclear
PF-06260933,C1=CC(=CC=C1C2=C(N=CC(=C2)C3=CN=C(C=C3)N)N)Cl,118701008.0,MAP4K4,inhibitor/antagonist,Other MAPK inhibitor
Daidzin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,107971.0,ALDH2,inhibitor/antagonist,unclear
Pemetrexed,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,135410875.0,"TYMS, DHFR, GART",inhibitor/antagonist,DNA synthesis/repair inhibitor
Econazole,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,3198.0,,unclear,unclear
XRK3F2,C1=CC(=CC=C1COC2=C(C=C(C=C2)CNCCO)OCC3=CC=C(C=C3)F)F.Cl,135397144.0,,inhibitor/antagonist,unclear
Arbutin,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,440936.0,"MYC, KLF4",inhibitor/antagonist,unclear
Tucidinostat,C1=CC(=CN=C1)C=CC(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,12136798.0,"HDAC1, HDAC2, HDAC3, HDAC10, HDAC8, HDAC11",inhibitor/antagonist,HDAC inhibitor
Pexidartinib (hydrochloride),C1=CC(=NC=C1CC2=CNC3=C2C=C(C=N3)Cl)NCC4=CN=C(C=C4)C(F)(F)F.Cl,73053710.0,"CSF1R, KIT, FLT3",inhibitor/antagonist,Multi-TK inhibitor
Sodium Salicylate,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],16760658.0,PTGS2,inhibitor/antagonist,Cyclooxygenase inhibitor
Salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,338.0,,inhibitor/antagonist,Cyclooxygenase inhibitor
Ataluren,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,11219835.0,CFTR,inhibitor/antagonist,unclear
4EGI-1,C1=CC=C(C(=C1)CC(=NNC2=NC(=CS2)C3=CC(=C(C=C3)Cl)Cl)C(=O)O)[N+](=O)[O-],5717952.0,EIF4E,inhibitor/antagonist,Protein synthesis inhibitor
Clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,2812.0,"CYP2A6, CYP51A1",inhibitor/antagonist,unclear
Phenytoin (sodium),C1=CC=C(C=C1)C2(C(=O)NC(=N2)[O-])C3=CC=CC=C3.[Na+],23679632.0,,inhibitor/antagonist,unclear
SBI-0640756,C1=CC=C(C=C1)C2=C(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)C=CC4=CC(=CN=C4)F,121241171.0,,inhibitor/antagonist,Protein synthesis inhibitor
