drug,smiles,pubchem_cid,targets,moa_broad,moa_fine,canonical_smiles,in_existing_registry,in_drugseq,new_to_both
Talc,[OH-].[OH-].[O-][Si]12O[Si]3(O[Si](O1)(O[Si](O2)(O3)[O-])[O-])[O-].[Mg+2].[Mg+2].[Mg+2],165411828.0,,unclear,unclear,[Mg+2].[Mg+2].[Mg+2].[O-][Si]12O[Si]3([O-])O[Si]([O-])(O1)O[Si]([O-])(O2)O3.[OH-].[OH-],False,False,True
Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,387447.0,PSMB5,inhibitor/antagonist,Proteasome inhibitor,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,False,False,True
Ixazomib,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,25183872.0,PSMB5,inhibitor/antagonist,Proteasome inhibitor,CC(C)CC(NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,False,False,True
Ixazomib citrate,B1(OC(=O)C(O1)(CC(=O)O)CC(=O)O)C(CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,56844015.0,"PSMB1, PSMB2, PSMB5",inhibitor/antagonist,Proteasome inhibitor,CC(C)CC(NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1,False,False,True
Lactate (calcium),C.CC(C(=O)[O-])O.[Ca+2],168311648.0,,unclear,unclear,C.CC(O)C(=O)[O-].[Ca+2],False,False,True
Bisoprolol (hemifumarate),C.CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=CC(=O)O)C(=O)O,168312271.0,ADRB1,inhibitor/antagonist,Adrenoceptor agonist,C.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)C=CC(=O)O,False,False,True
Fumaric acid,C(=CC(=O)O)C(=O)O,444972.0,,inhibitor/antagonist,unclear,O=C(O)C=CC(=O)O,False,False,True
L-Eflornithine (monohydrochloride),C(CC(C(F)F)(C(=O)O)N)CN.Cl,16048568.0,ODC1,inhibitor/antagonist,unclear,Cl.NCCCC(N)(C(=O)O)C(F)F,False,False,True
Cysteamine (hydrochloride),C(CS)N.Cl,9082.0,,unclear,unclear,Cl.NCCS,False,False,True
Darinaparsin,C[As](C)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,11683005.0,,unclear,unclear,C[As](C)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,False,False,True
Entecavir (monohydrate),C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N.O,135526609.0,,unclear,unclear,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21.O,False,False,True
Allantoin,C1(C(=O)NC(=O)N1)NC(=O)N,204.0,,unclear,unclear,NC(=O)NC1NC(=O)NC1=O,False,False,True
L-Thyroxine (sodium salt pentahydrate),C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)[O-])N.O.O.O.O.O.[Na+],23665037.0,,unclear,unclear,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-].O.O.O.O.O.[Na+],False,False,True
Gallic acid (hydrate),C1=C(C=C(C(=C1O)O)O)C(=O)O.O,24721416.0,,inhibitor/antagonist,Cyclooxygenase inhibitor,O.O=C(O)c1cc(O)c(O)c(O)c1,False,False,True
ERK5-IN-2,C1=CC(=C(C(=C1)Br)C(=O)C2=CNC(=C2)C(=O)NC3=CN=CC=C3)F,118959080.0,MAPK7,inhibitor/antagonist,Other MAPK inhibitor,O=C(Nc1cccnc1)c1cc(C(=O)c2c(F)cccc2Br)c[nH]1,False,False,True
Vilanterol,C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O)Cl,10184665.0,ADRB2,activator/agonist,Adrenoceptor agonist,OCc1cc(C(O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,False,False,True
Niclosamide (olamine),C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N,14992.0,STAT3,inhibitor/antagonist,unclear,NCCO.O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,False,False,True
