name,pubchem_cid,TSNE1,TSNE2
be-2254,86308637,-12.488959,37.827843
tasimelteon,10220503,15.194116,62.81361
esaxerenone,25052023,4.478942,-16.498316
ixazomib-citrate,69040311,-31.091633,20.51684
alendronate,44400013,-41.381985,-51.216995
dazmegrel,53555,54.154896,-37.064297
nobiletin,72344,-5.7994723,89.12064
azd7986,118253852,11.322644,34.052998
bebt-908,59474330,28.400114,-34.59091
nitromide,4511,-7.1180224,7.511735
saroglitazar,60151560,26.804903,13.333395
l-368899,9872389,-17.945972,2.4733267
betamethasone-valerate,16533,-83.89365,-10.372847
2-methylimidazole,12749,0.19793576,-57.998287
pnu-282987,9795278,-31.388502,18.403528
kx2-391,23635314,52.479588,8.853555
asivatrep,56649347,14.424241,-19.381474
diclofenac,3033,-1.1584321,15.025282
emeramide,21133161,-34.92461,20.59611
hemado,10981286,9.85661,-73.402916
proadifen,4910,-39.249397,38.401745
simvastatin,54454,-56.596344,-25.882305
gabexate,3447,8.665914,53.003204
cis-aconitic-acid,643757,-50.80065,-35.66903
thioperamide,6604452,-39.41283,-56.10783
methicillin,6087,1.9409709,50.263577
capadenoson,9936489,51.487656,-6.9166718
fluvoxamine,5324346,-44.97359,32.34831
cp-316819,10273347,16.186625,-1.2944652
bay-11-7085,5353432,-52.585133,4.040743
capsazepine,2733484,-16.96996,50.383347
montelukast,5281040,20.277514,5.4665027
cgp-52411,1697,-11.184355,2.906786
sym-2206,92209239,29.156742,58.533054
pac-1,9675990,12.9590645,62.991646
tenofovir-disoproxil,5481350,10.191544,-67.8584
relebactam,44129647,-26.203312,-50.256805
cerulenin,5282054,-45.967026,-34.38603
gr-135531,4284525,23.277727,-13.327577
pipotiazine-palmitate,37767,-39.3318,-4.4125295
erlotinib,176870,65.76636,19.391237
farnesyl-thiosalicylic-acid-amide,25187973,-34.495533,8.990884
losmapimod,11552706,11.814503,-13.595429
ru-42173,3086576,-22.758936,9.900941
(r)-baclofen,6918881,-40.61759,31.27828
raloxifene,5035,10.951343,50.757805
butaprost,5311035,-55.579624,-26.603157
aee788,10297043,34.013103,-52.839222
thiamet-g,24808478,-29.064169,-69.87424
mek1-2-inhibitor,54483521,-33.92335,-8.860523
abamectin,6858005,-59.182247,-22.313507
gsk356278,10252640,52.43745,-24.325296
salinomycin,3085092,-58.981815,-22.487425
riodoxol,152256,-21.42589,60.775608
umeclidinium,11519070,-29.48225,43.110992
a922500,24768273,-6.707293,13.868522
dextran,5460037,-62.115196,-45.91914
pf-4191834,24986635,5.8242106,-9.6747265
ursodeoxycholyltaurine,9848818,-69.58189,-21.752573
ethynodiol-diacetate,9270,-80.327896,-18.265512
oxyclozanide,16779,1.4466808,19.20165
cb-5083,73051434,55.023266,-43.283024
pindolol-(-),688095,39.70577,10.578494
ambrisentan,6918493,52.235493,-15.366045
sevoflurane,5206,-49.679844,-47.845318
sulfacarbamide,11033,-32.098038,-12.260668
r306465,10309899,34.3995,-31.68837
dimethyl-fumarate,637568,-51.455647,-37.02197
relugolix,10348973,55.76565,2.5576475
mirabegron,9865528,-0.15715173,-23.18434
sasapyrine,5161,-15.1358385,79.07646
gdc-0927,87055263,8.359432,69.0951
gnf-2,5311510,62.244545,4.715911
mln0128,45375953,73.19024,8.610102
buclizine,3246096,-56.1321,12.46784
mofegiline,6437850,-49.22214,9.345195
cefditoren-pivoxil,6437877,-4.2503295,-33.54697
ly344864,5311097,18.49842,-6.5908804
fenebrutinib,86567195,47.25091,-31.579615
shikimic-acid,11332752,-55.356094,-29.117823
tegaserod,135409453,41.48419,10.855633
apramycin,3081545,-30.528133,-73.469055
alizarin,6293,-22.041578,82.39308
azd3965,10369242,0.38471943,-9.41718
roflumilast,449193,54.582813,12.279875
ssr128129e,11347895,37.981575,14.3956785
ombrabulin,6918405,11.292747,31.366594
deferiprone,2972,-36.28305,-39.590763
cevimeline,18642481,-30.443956,-63.2087
tc-f-2,25198728,68.81063,7.473299
gsk269962,16095342,68.9708,6.8456254
cgp-54626,197584,-54.882446,18.954609
ticlopidine,5472,-56.315453,9.506401
dofequidar,9960287,44.233715,14.15457
tgx-221,51601993,-24.006113,-1.3648703
rs-100329,3567002,8.866863,34.806847
sa-47,9840648,31.721039,-39.29703
olopatadine,5281071,7.2409477,71.096565
khellin,3828,-8.4178295,91.95169
osi-930,9868037,50.043083,0.7078125
ammonium-lactate,10313098,-56.37756,-44.120144
azd4573,124155204,40.62421,-37.29086
cefoselis,9830520,-5.601624,-34.15762
isoflurane,4369440,-49.376083,-47.900555
cp-775146,10410059,6.793423,71.54483
n-methylpyrrolidone,13387,-28.300478,-52.738815
clomifene,1548955,9.039811,66.910774
minerval,11066464,-54.827843,-30.767948
pifithrin-alpha,4817,-36.061615,9.175594
way-161503,6604916,-20.595173,-8.827553
palonosetron,6337614,-39.75478,22.80856
quinethazone,6604207,-11.11686,-7.0176353
xe-991,656732,14.203366,-14.116543
megestrol,19090,-74.99888,-9.34356
ac-7954-(+/-),10937426,-35.707565,45.01471
edonerpic-maleate,9901946,-26.719183,48.625065
norcyclobenzaprine,9918,-49.640938,13.17289
tucatinib,51039094,75.33605,0.4504415
ldn-209929,46871867,39.94672,5.711825
fosfructose,84951,-60.344585,-45.56567
liothyronine,7048703,-9.522916,44.66666
deoxycorticosterone-acetate,5952,-79.035736,-6.643427
ganetespib,135564985,37.20638,6.239044
epirizole,3242,11.054096,-62.682278
opc-21268,114904,18.734703,37.177666
acrivastine,5284514,14.527442,-11.348525
gsk1070916,46885626,26.132418,-57.506855
zolmitriptan,60857,24.393963,-13.333157
"2,4-dinitrochlorobenzene",6,-26.938925,-11.086352
astragaloside-a,13943299,-74.31021,-26.424658
chir-98014,53396311,30.185408,-49.352665
dizocilpine-(+),180081,-47.54316,13.337468
amineptine,38988248,-36.130024,30.6259
lb42708,10099206,53.392708,-39.061848
p-dimethylinamyl-benzoate,26890,-7.8513713,22.67186
tc2559,9823180,43.718,-2.0600023
