name,pubchem_cid,TSNE1,TSNE2
be-2254,86308637.0,-49.94612,6.5038743
tasimelteon,10220503.0,-37.34201,-48.12963
esaxerenone,25052023.0,13.735457,46.949314
ixazomib-citrate,69040311.0,14.323169,-18.6471
alendronate,44400013.0,38.25664,-35.21674
dazmegrel,53555.0,-5.968152,70.127266
nobiletin,72344.0,9.372922,34.238186
azd7986,118253852.0,-4.829671,37.629368
bebt-908,59474330.0,39.464542,19.96845
nitromide,4511.0,-14.96309,-57.397842
saroglitazar,60151560.0,25.557665,40.25845
l-368899,9872389.0,12.177876,-21.261276
betamethasone-valerate,16533.0,13.711356,-34.629322
2-methylimidazole,12749.0,-43.529552,-69.827995
pnu-282987,9795278.0,-39.8675,-50.598724
kx2-391,23635314.0,15.385161,39.89039
asivatrep,56649347.0,-10.56267,12.561173
diclofenac,3033.0,-58.514442,11.285019
emeramide,21133161.0,-8.964891,-52.62417
hemado,10981286.0,-18.181429,-7.4801593
proadifen,4910.0,-23.625732,27.230627
simvastatin,54454.0,11.71433,-40.14711
gabexate,3447.0,-9.537609,-39.26111
cis-aconitic-acid,643757.0,41.670967,-43.60265
thioperamide,6604452.0,16.260794,-58.80917
methicillin,6087.0,-8.393932,-44.52484
capadenoson,9936489.0,49.84708,23.875801
fluvoxamine,5324346.0,-19.562483,-31.667843
cp-316819,10273347.0,3.4123285,43.3636
bay-11-7085,5353432.0,-41.345974,-45.74254
capsazepine,2733484.0,-41.75311,6.957643
montelukast,5281040.0,34.897854,25.260815
cgp-52411,1697.0,6.202634,48.65681
sym-2206,92209239.0,-29.411528,6.6783323
pac-1,9675990.0,-20.926632,10.044529
tenofovir-disoproxil,5481350.0,8.872426,2.7470102
relebactam,44129647.0,29.205975,-34.271255
cerulenin,5282054.0,27.661158,-51.812187
gr-135531,4284525.0,-47.04065,-2.6324732
pipotiazine-palmitate,37767.0,3.1975102,-7.4539833
erlotinib,176870.0,11.164582,33.131344
farnesyl-thiosalicylic-acid-amide,25187973.0,-2.1486661,-11.566644
losmapimod,11552706.0,-35.34189,8.1766405
ru-42173,3086576.0,-61.44533,-4.920587
(r)-baclofen,6918881.0,-28.02508,-64.620895
raloxifene,5035.0,62.086166,26.779602
butaprost,5311035.0,-3.197436,-21.844936
aee788,10297043.0,58.209267,30.748981
thiamet-g,24808478.0,30.518227,-36.507954
mek1-2-inhibitor,54483521.0,-40.351933,7.9355197
abamectin,6858005.0,31.543873,2.0835276
gsk356278,10252640.0,48.995308,33.219875
salinomycin,3085092.0,30.593348,4.1093783
riodoxol,152256.0,-49.003674,-37.967598
umeclidinium,11519070.0,75.55574,-18.608212
a922500,24768273.0,19.324728,47.397446
dextran,5460037.0,38.24803,-18.526823
pf-4191834,24986635.0,5.7840314,58.384567
ursodeoxycholyltaurine,9848818.0,15.444085,-30.351248
ethynodiol-diacetate,9270.0,11.778693,-46.754158
oxyclozanide,16779.0,-33.70593,38.527706
cb-5083,73051434.0,55.25309,41.756905
pindolol-(-),688095.0,-49.698414,2.3933187
ambrisentan,6918493.0,1.867296,51.78956
sevoflurane,5206.0,21.309334,-65.64047
sulfacarbamide,11033.0,-9.64738,-67.47133
r306465,10309899.0,-5.5590954,34.066113
dimethyl-fumarate,637568.0,33.640083,-64.11967
relugolix,10348973.0,47.80082,12.165789
mirabegron,9865528.0,2.0774422,40.882454
sasapyrine,5161.0,-53.957737,-1.5083768
gdc-0927,87055263.0,21.01612,39.762413
gnf-2,5311510.0,9.927183,46.63093
mln0128,45375953.0,51.300457,45.3068
atropine-oxide,,-24.528852,-40.17875
buclizine,3246096.0,25.5791,66.9864
bremelanotide,,41.794918,-6.7312145
decamethoxine,,72.81609,-25.881542
mofegiline,6437850.0,-47.465366,-62.123158
cefditoren-pivoxil,6437877.0,25.341658,-6.380616
bix-02189,,14.329977,47.65731
ly344864,5311097.0,9.264872,71.037704
fenebrutinib,86567195.0,43.45493,14.60389
shikimic-acid,11332752.0,44.313854,-35.37606
tegaserod,135409453.0,-37.744728,0.36272836
apramycin,3081545.0,37.81591,-18.286894
alizarin,6293.0,-55.212776,-4.2675915
