name,pubchem_cid,UMAP1,UMAP2
be-2254,86308637,8.994611,2.1411002
tasimelteon,10220503,9.596009,2.6513867
esaxerenone,25052023,6.4096212,6.800385
ixazomib-citrate,69040311,7.023967,2.5606294
alendronate,44400013,-1.2249483,6.4989533
dazmegrel,53555,6.734927,8.033527
nobiletin,72344,10.665536,1.8719547
azd7986,118253852,9.056203,3.369087
bebt-908,59474330,6.405701,8.04
nitromide,4511,6.9992423,3.1999998
saroglitazar,60151560,7.837588,6.859937
l-368899,9872389,7.050431,3.6459136
betamethasone-valerate,16533,-3.6415598,4.939568
2-methylimidazole,12749,4.766837,8.822325
pnu-282987,9795278,7.002573,2.5671017
kx2-391,23635314,8.017773,6.863433
asivatrep,56649347,6.2769775,6.760819
diclofenac,3033,7.78151,3.284925
emeramide,21133161,7.11544,2.5256033
hemado,10981286,5.4039135,9.265129
proadifen,4910,7.7071705,1.6221459
simvastatin,54454,-2.7065716,5.9169436
gabexate,3447,9.88368,2.4617708
cis-aconitic-acid,643757,-1.9632732,6.135506
thioperamide,6604452,-0.94629663,6.5711412
methicillin,6087,8.977229,2.8666656
capadenoson,9936489,7.7610397,7.2231283
fluvoxamine,5324346,7.4288797,1.7536281
cp-316819,10273347,6.5842624,6.2858224
bay-11-7085,5353432,6.763819,1.8365928
capsazepine,2733484,8.966487,2.0808241
montelukast,5281040,6.9314604,6.428544
cgp-52411,1697,7.2135878,3.4128668
sym-2206,92209239,9.939089,2.8864682
pac-1,9675990,9.162726,2.6780958
tenofovir-disoproxil,5481350,5.3801894,9.177672
relebactam,44129647,-1.4317616,6.8492794
cerulenin,5282054,-2.2086787,6.1737785
gr-135531,4284525,6.393099,6.2455273
pipotiazine-palmitate,37767,6.1226377,3.4374301
erlotinib,176870,8.7519455,7.3187766
farnesyl-thiosalicylic-acid-amide,25187973,7.0557427,2.5690603
losmapimod,11552706,6.4827347,6.834487
ru-42173,3086576,7.149721,3.632178
(r)-baclofen,6918881,7.407082,1.8570956
raloxifene,5035,9.756416,2.6500056
butaprost,5311035,-2.6667774,5.954239
aee788,10297043,6.2888703,8.282241
thiamet-g,24808478,-2.2083797,6.697506
mek1-2-inhibitor,54483521,6.503448,3.3162253
abamectin,6858005,-2.7541218,6.2047777
gsk356278,10252640,6.401125,7.903463
salinomycin,3085092,-2.7493186,6.2078767
riodoxol,152256,9.482943,1.5708816
umeclidinium,11519070,8.037727,1.8989856
a922500,24768273,7.7032657,3.3878853
dextran,5460037,-1.7976531,5.6354647
pf-4191834,24986635,6.208379,6.7004848
ursodeoxycholyltaurine,9848818,-2.7015011,5.081351
ethynodiol-diacetate,9270,-3.2130754,4.834831
oxyclozanide,16779,8.347124,3.3897371
cb-5083,73051434,6.7193947,7.857263
pindolol-(-),688095,7.9963303,6.4248605
ambrisentan,6918493,7.0908895,6.9780955
sevoflurane,5206,-1.2589339,6.0028276
sulfacarbamide,11033,6.4818993,3.2551942
r306465,10309899,6.264437,7.562151
dimethyl-fumarate,637568,-1.8045084,6.1463227
relugolix,10348973,8.080705,7.031096
mirabegron,9865528,6.9129786,7.297249
sasapyrine,5161,10.196653,2.104581
gdc-0927,87055263,9.6413765,2.5066123
gnf-2,5311510,8.265323,7.2766285
mln0128,45375953,8.298643,7.6281886
buclizine,3246096,6.6098704,2.151801
mofegiline,6437850,6.6495957,2.0438051
cefditoren-pivoxil,6437877,4.800027,7.754623
