pubchem_cid_clean,name,pubchem_cid,UMAP1,UMAP2,representation,name_clean,moa_clean,moa_category
10000456,rs-102895,10000456.0,7.3115673,8.120886,Morgan + MACCS + CACTVS + descriptors,rs-102895,CCR antagonist,Other MoA
10001434,tp-003,10001434.0,7.0893335,10.46412,Morgan + MACCS + CACTVS + descriptors,tp-003,GABA receptor inverse agonist,Other MoA
100016,zebularine,100016.0,2.3976676,9.659479,Morgan + MACCS + CACTVS + descriptors,zebularine,DNA methyltransferase inhibitor,Other MoA
10006324,n-benzylnaltrindole,10006324.0,9.341678,10.468032,Morgan + MACCS + CACTVS + descriptors,n-benzylnaltrindole,opioid receptor antagonist,Other MoA
100094,oglufanide,100094.0,8.579142,10.59319,Morgan + MACCS + CACTVS + descriptors,oglufanide,VEGF antagonist,Other MoA
10016012,pbt-1033,10016012.0,9.294668,10.898028,Morgan + MACCS + CACTVS + descriptors,pbt-1033,chelating agent,Other MoA
10020651,bmy-14802,10020651.0,7.3353662,10.485834,Morgan + MACCS + CACTVS + descriptors,bmy-14802,sigma receptor antagonist,Other MoA
10021239,rosiglitazone,10021239.0,9.750411,9.941205,Morgan + MACCS + CACTVS + descriptors,rosiglitazone,insulin sensitizer|PPAR receptor agonist,Other MoA
10026128,way-362450,10026128.0,8.528566,10.56091,Morgan + MACCS + CACTVS + descriptors,way-362450,FXR agonist,Other MoA
10027278,ar-12,10027278.0,7.6102505,10.445921,Morgan + MACCS + CACTVS + descriptors,ar-12,phosphoinositide dependent kinase inhibitor,Other MoA
10029385,ly2090314,10029385.0,7.548055,11.105783,Morgan + MACCS + CACTVS + descriptors,ly2090314,glycogen synthase kinase inhibitor,Other MoA
10033059,ceftaroline-fosamil,10033059.0,3.1101394,8.069974,Morgan + MACCS + CACTVS + descriptors,ceftaroline-fosamil,bacterial cell wall synthesis inhibitor,bacterial cell wall synthesis inhibitor
10034073,fidaxomicin,10034073.0,8.927438,4.8162155,Morgan + MACCS + CACTVS + descriptors,fidaxomicin,RNA polymerase inhibitor,Other MoA
10039361,compound-401,10039361.0,7.1112456,8.084786,Morgan + MACCS + CACTVS + descriptors,compound-401,DNA dependent protein kinase inhibitor,Other MoA
10041070,altrenogest,10041070.0,0.08586963,6.779793,Morgan + MACCS + CACTVS + descriptors,altrenogest,progestogen hormone,Other MoA
10044,triptan,10044.0,0.46738037,9.061611,Morgan + MACCS + CACTVS + descriptors,triptan,serotonin receptor agonist,Other MoA
100472,difenpiramide,100472.0,7.801765,10.98639,Morgan + MACCS + CACTVS + descriptors,difenpiramide,cyclooxygenase inhibitor|prostaglandin inhibitor,Other MoA
10047612,sb-612111,10047612.0,7.54117,6.965419,Morgan + MACCS + CACTVS + descriptors,sb-612111,nociceptin/orphanin FQ receptor antagonist,Other MoA
10052040,"cp-945,598",10052040.0,7.329645,10.9562645,Morgan + MACCS + CACTVS + descriptors,"cp-945,598",cannabinoid receptor antagonist,Other MoA
10057685,gepefrine,10057685.0,8.0407915,6.3899856,Morgan + MACCS + CACTVS + descriptors,gepefrine,adrenergic receptor agonist,adrenergic receptor agonist
100606,hepsulfam,100606.0,0.52434605,8.905011,Morgan + MACCS + CACTVS + descriptors,hepsulfam,DNA cross-linking,Other MoA
100651,clomesone,100651.0,0.47862834,8.917478,Morgan + MACCS + CACTVS + descriptors,clomesone,DNA inhibitor,Other MoA
10065474,azd1080,10065474.0,8.27389,10.681476,Morgan + MACCS + CACTVS + descriptors,azd1080,glycogen synthase kinase inhibitor,Other MoA
10071196,pimavanserin,10071196.0,8.850304,6.862759,Morgan + MACCS + CACTVS + descriptors,pimavanserin,serotonin receptor inverse agonist,Other MoA
10074640,masitinib,10074640.0,7.6443763,10.633409,Morgan + MACCS + CACTVS + descriptors,masitinib,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor,Other MoA
10077130,vorapaxar,10077130.0,8.4767475,10.775183,Morgan + MACCS + CACTVS + descriptors,vorapaxar,thrombin inhibitor,Other MoA
