name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
be-2254,86308637,8.994611,2.1411002,86308637,be-2254,False,0.0,,No metal,True
tasimelteon,10220503,9.596009,2.6513867,10220503,tasimelteon,False,0.0,,No metal,True
esaxerenone,25052023,6.4096212,6.800385,25052023,esaxerenone,False,0.0,,No metal,True
ixazomib-citrate,69040311,7.023967,2.5606294,69040311,ixazomib-citrate,False,0.0,,No metal,True
alendronate,44400013,-1.2249483,6.4989533,44400013,alendronate,False,0.0,,No metal,True
dazmegrel,53555,6.734927,8.033527,53555,dazmegrel,False,0.0,,No metal,True
nobiletin,72344,10.665536,1.8719547,72344,nobiletin,False,0.0,,No metal,True
azd7986,118253852,9.056203,3.369087,118253852,azd7986,False,0.0,,No metal,True
bebt-908,59474330,6.405701,8.04,59474330,bebt-908,False,0.0,,No metal,True
nitromide,4511,6.9992423,3.1999998,4511,nitromide,False,0.0,,No metal,True
saroglitazar,60151560,7.837588,6.859937,60151560,saroglitazar,False,0.0,,No metal,True
l-368899,9872389,7.050431,3.6459136,9872389,l-368899,False,0.0,,No metal,True
betamethasone-valerate,16533,-3.6415598,4.939568,16533,betamethasone-valerate,False,0.0,,No metal,True
2-methylimidazole,12749,4.766837,8.822325,12749,2-methylimidazole,False,0.0,,No metal,True
pnu-282987,9795278,7.002573,2.5671017,9795278,pnu-282987,False,0.0,,No metal,True
kx2-391,23635314,8.017773,6.863433,23635314,kx2-391,False,0.0,,No metal,True
asivatrep,56649347,6.2769775,6.760819,56649347,asivatrep,False,0.0,,No metal,True
diclofenac,3033,7.78151,3.284925,3033,diclofenac,False,0.0,,No metal,True
emeramide,21133161,7.11544,2.5256033,21133161,emeramide,False,0.0,,No metal,True
hemado,10981286,5.4039135,9.265129,10981286,hemado,False,0.0,,No metal,True
proadifen,4910,7.7071705,1.6221459,4910,proadifen,False,0.0,,No metal,True
simvastatin,54454,-2.7065716,5.9169436,54454,simvastatin,False,0.0,,No metal,True
gabexate,3447,9.88368,2.4617708,3447,gabexate,False,0.0,,No metal,True
cis-aconitic-acid,643757,-1.9632732,6.135506,643757,cis-aconitic-acid,False,0.0,,No metal,True
thioperamide,6604452,-0.94629663,6.5711412,6604452,thioperamide,False,0.0,,No metal,True
methicillin,6087,8.977229,2.8666656,6087,methicillin,False,0.0,,No metal,True
capadenoson,9936489,7.7610397,7.2231283,9936489,capadenoson,False,0.0,,No metal,True
fluvoxamine,5324346,7.4288797,1.7536281,5324346,fluvoxamine,False,0.0,,No metal,True
cp-316819,10273347,6.5842624,6.2858224,10273347,cp-316819,False,0.0,,No metal,True
bay-11-7085,5353432,6.763819,1.8365928,5353432,bay-11-7085,False,0.0,,No metal,True
capsazepine,2733484,8.966487,2.0808241,2733484,capsazepine,False,0.0,,No metal,True
montelukast,5281040,6.9314604,6.428544,5281040,montelukast,False,0.0,,No metal,True
cgp-52411,1697,7.2135878,3.4128668,1697,cgp-52411,False,0.0,,No metal,True
sym-2206,92209239,9.939089,2.8864682,92209239,sym-2206,False,0.0,,No metal,True
pac-1,9675990,9.162726,2.6780958,9675990,pac-1,False,0.0,,No metal,True
tenofovir-disoproxil,5481350,5.3801894,9.177672,5481350,tenofovir-disoproxil,False,0.0,,No metal,True
relebactam,44129647,-1.4317616,6.8492794,44129647,relebactam,False,0.0,,No metal,True
cerulenin,5282054,-2.2086787,6.1737785,5282054,cerulenin,False,0.0,,No metal,True
gr-135531,4284525,6.393099,6.2455273,4284525,gr-135531,False,0.0,,No metal,True
pipotiazine-palmitate,37767,6.1226377,3.4374301,37767,pipotiazine-palmitate,False,0.0,,No metal,True
erlotinib,176870,8.7519455,7.3187766,176870,erlotinib,False,0.0,,No metal,True
farnesyl-thiosalicylic-acid-amide,25187973,7.0557427,2.5690603,25187973,farnesyl-thiosalicylic-acid-amide,False,0.0,,No metal,True
losmapimod,11552706,6.4827347,6.834487,11552706,losmapimod,False,0.0,,No metal,True
ru-42173,3086576,7.149721,3.632178,3086576,ru-42173,False,0.0,,No metal,True
(r)-baclofen,6918881,7.407082,1.8570956,6918881,(r)-baclofen,False,0.0,,No metal,True
raloxifene,5035,9.756416,2.6500056,5035,raloxifene,False,0.0,,No metal,True
butaprost,5311035,-2.6667774,5.954239,5311035,butaprost,False,0.0,,No metal,True
aee788,10297043,6.2888703,8.282241,10297043,aee788,False,0.0,,No metal,True
thiamet-g,24808478,-2.2083797,6.697506,24808478,thiamet-g,False,0.0,,No metal,True
mek1-2-inhibitor,54483521,6.503448,3.3162253,54483521,mek1-2-inhibitor,False,0.0,,No metal,True
abamectin,6858005,-2.7541218,6.2047777,6858005,abamectin,False,0.0,,No metal,True
gsk356278,10252640,6.401125,7.903463,10252640,gsk356278,False,0.0,,No metal,True
salinomycin,3085092,-2.7493186,6.2078767,3085092,salinomycin,False,0.0,,No metal,True
riodoxol,152256,9.482943,1.5708816,152256,riodoxol,False,0.0,,No metal,True
umeclidinium,11519070,8.037727,1.8989856,11519070,umeclidinium,False,0.0,,No metal,True
a922500,24768273,7.7032657,3.3878853,24768273,a922500,False,0.0,,No metal,True
dextran,5460037,-1.7976531,5.6354647,5460037,dextran,False,0.0,,No metal,True
pf-4191834,24986635,6.208379,6.7004848,24986635,pf-4191834,False,0.0,,No metal,True
ursodeoxycholyltaurine,9848818,-2.7015011,5.081351,9848818,ursodeoxycholyltaurine,False,0.0,,No metal,True
ethynodiol-diacetate,9270,-3.2130754,4.834831,9270,ethynodiol-diacetate,False,0.0,,No metal,True
oxyclozanide,16779,8.347124,3.3897371,16779,oxyclozanide,False,0.0,,No metal,True
cb-5083,73051434,6.7193947,7.857263,73051434,cb-5083,False,0.0,,No metal,True
pindolol-(-),688095,7.9963303,6.4248605,688095,pindolol-(-),False,0.0,,No metal,True
ambrisentan,6918493,7.0908895,6.9780955,6918493,ambrisentan,False,0.0,,No metal,True
sevoflurane,5206,-1.2589339,6.0028276,5206,sevoflurane,False,0.0,,No metal,True
sulfacarbamide,11033,6.4818993,3.2551942,11033,sulfacarbamide,False,0.0,,No metal,True
r306465,10309899,6.264437,7.562151,10309899,r306465,False,0.0,,No metal,True
dimethyl-fumarate,637568,-1.8045084,6.1463227,637568,dimethyl-fumarate,False,0.0,,No metal,True
relugolix,10348973,8.080705,7.031096,10348973,relugolix,False,0.0,,No metal,True
mirabegron,9865528,6.9129786,7.297249,9865528,mirabegron,False,0.0,,No metal,True
sasapyrine,5161,10.196653,2.104581,5161,sasapyrine,False,0.0,,No metal,True
gdc-0927,87055263,9.6413765,2.5066123,87055263,gdc-0927,False,0.0,,No metal,True
gnf-2,5311510,8.265323,7.2766285,5311510,gnf-2,False,0.0,,No metal,True
mln0128,45375953,8.298643,7.6281886,45375953,mln0128,False,0.0,,No metal,True
buclizine,3246096,6.6098704,2.151801,3246096,buclizine,False,0.0,,No metal,True
mofegiline,6437850,6.6495957,2.0438051,6437850,mofegiline,False,0.0,,No metal,True
cefditoren-pivoxil,6437877,4.800027,7.754623,6437877,cefditoren-pivoxil,False,0.0,,No metal,True
ly344864,5311097,6.595682,6.316298,5311097,ly344864,False,0.0,,No metal,True
fenebrutinib,86567195,6.5669,7.8401413,86567195,fenebrutinib,False,0.0,,No metal,True
shikimic-acid,11332752,-2.3822885,6.0101633,11332752,shikimic-acid,False,0.0,,No metal,True
tegaserod,135409453,7.9369817,6.476481,135409453,tegaserod,False,0.0,,No metal,True
apramycin,3081545,-2.6519685,6.7543864,3081545,apramycin,False,0.0,,No metal,True
alizarin,6293,10.306495,1.6714529,6293,alizarin,False,0.0,,No metal,True
azd3965,10369242,6.496722,6.513175,10369242,azd3965,False,0.0,,No metal,True
roflumilast,449193,8.09265,6.91143,449193,roflumilast,False,0.0,,No metal,True
ssr128129e,11347895,7.804126,6.465393,11347895,ssr128129e,False,0.0,,No metal,True
ombrabulin,6918405,9.122886,3.23834,6918405,ombrabulin,False,0.0,,No metal,True
