name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
be-2254,86308637.0,10.489925,1.3550146,86308637,be-2254,False,0.0,,No metal,True
tasimelteon,10220503.0,10.278861,1.2986828,10220503,tasimelteon,False,0.0,,No metal,True
esaxerenone,25052023.0,4.0436826,1.795854,25052023,esaxerenone,False,0.0,,No metal,True
ixazomib-citrate,69040311.0,10.068536,1.6109487,69040311,ixazomib-citrate,False,0.0,,No metal,True
alendronate,44400013.0,9.026291,1.9930891,44400013,alendronate,False,0.0,,No metal,True
dazmegrel,53555.0,10.490717,-0.3252683,53555,dazmegrel,False,0.0,,No metal,True
nobiletin,72344.0,7.4473996,1.5091462,72344,nobiletin,False,0.0,,No metal,True
azd7986,118253852.0,11.667274,-1.0890828,118253852,azd7986,False,0.0,,No metal,True
bebt-908,59474330.0,10.992969,-1.0631585,59474330,bebt-908,False,0.0,,No metal,True
nitromide,4511.0,7.7171283,-0.92689455,4511,nitromide,False,0.0,,No metal,True
saroglitazar,60151560.0,11.710572,-0.02306068,60151560,saroglitazar,False,0.0,,No metal,True
l-368899,9872389.0,4.0088263,1.5191926,9872389,l-368899,False,0.0,,No metal,True
betamethasone-valerate,16533.0,7.457349,4.444425,16533,betamethasone-valerate,False,0.0,,No metal,True
2-methylimidazole,12749.0,8.768881,-0.1054068,12749,2-methylimidazole,False,0.0,,No metal,True
pnu-282987,9795278.0,11.029102,-0.36512154,9795278,pnu-282987,False,0.0,,No metal,True
kx2-391,23635314.0,11.547691,-0.7312671,23635314,kx2-391,False,0.0,,No metal,True
asivatrep,56649347.0,4.239313,2.1262388,56649347,asivatrep,False,0.0,,No metal,True
diclofenac,3033.0,9.278029,1.0373085,3033,diclofenac,False,0.0,,No metal,True
emeramide,21133161.0,9.890811,1.3316103,21133161,emeramide,False,0.0,,No metal,True
hemado,10981286.0,11.911376,-2.446153,10981286,hemado,False,0.0,,No metal,True
proadifen,4910.0,11.470387,1.0627177,4910,proadifen,False,0.0,,No metal,True
simvastatin,54454.0,7.7862473,3.8697228,54454,simvastatin,False,0.0,,No metal,True
gabexate,3447.0,10.116913,1.7238853,3447,gabexate,False,0.0,,No metal,True
cis-aconitic-acid,643757.0,8.627701,2.3504071,643757,cis-aconitic-acid,False,0.0,,No metal,True
thioperamide,6604452.0,10.485889,0.06780022,6604452,thioperamide,False,0.0,,No metal,True
methicillin,6087.0,5.053819,0.22505249,6087,methicillin,False,0.0,,No metal,True
capadenoson,9936489.0,9.19839,-0.090677224,9936489,capadenoson,False,0.0,,No metal,True
fluvoxamine,5324346.0,10.568477,1.3918439,5324346,fluvoxamine,False,0.0,,No metal,True
cp-316819,10273347.0,9.733346,0.02977852,10273347,cp-316819,False,0.0,,No metal,True
bay-11-7085,5353432.0,4.689829,2.175219,5353432,bay-11-7085,False,0.0,,No metal,True
capsazepine,2733484.0,10.798346,1.0533602,2733484,capsazepine,False,0.0,,No metal,True
montelukast,5281040.0,8.628881,0.652793,5281040,montelukast,False,0.0,,No metal,True
cgp-52411,1697.0,9.354551,-0.06769014,1697,cgp-52411,False,0.0,,No metal,True
sym-2206,92209239.0,10.626417,-1.2279632,92209239,sym-2206,False,0.0,,No metal,True
pac-1,9675990.0,11.615218,-0.72661006,9675990,pac-1,False,0.0,,No metal,True
tenofovir-disoproxil,5481350.0,11.34351,-2.1378658,5481350,tenofovir-disoproxil,False,0.0,,No metal,True
relebactam,44129647.0,4.1819997,1.4652966,44129647,relebactam,False,0.0,,No metal,True
cerulenin,5282054.0,9.753334,1.843934,5282054,cerulenin,False,0.0,,No metal,True
gr-135531,4284525.0,9.921476,0.42410854,4284525,gr-135531,False,0.0,,No metal,True
pipotiazine-palmitate,37767.0,4.0336094,1.6031078,37767,pipotiazine-palmitate,False,0.0,,No metal,True
erlotinib,176870.0,9.499683,-0.4789501,176870,erlotinib,False,0.0,,No metal,True
farnesyl-thiosalicylic-acid-amide,25187973.0,8.532408,2.72042,25187973,farnesyl-thiosalicylic-acid-amide,False,0.0,,No metal,True
losmapimod,11552706.0,9.457556,0.30151242,11552706,losmapimod,False,0.0,,No metal,True
ru-42173,3086576.0,10.596442,-1.6429683,3086576,ru-42173,False,0.0,,No metal,True
(r)-baclofen,6918881.0,9.6081505,1.7824302,6918881,(r)-baclofen,False,0.0,,No metal,True
raloxifene,5035.0,11.668039,0.056381408,5035,raloxifene,False,0.0,,No metal,True
butaprost,5311035.0,7.929992,3.177877,5311035,butaprost,False,0.0,,No metal,True
aee788,10297043.0,10.5639925,-0.3020654,10297043,aee788,False,0.0,,No metal,True
thiamet-g,24808478.0,10.508542,2.6175911,24808478,thiamet-g,False,0.0,,No metal,True
mek1-2-inhibitor,54483521.0,9.005409,0.6961449,54483521,mek1-2-inhibitor,False,0.0,,No metal,True
abamectin,6858005.0,7.4105062,3.8713543,6858005,abamectin,False,0.0,,No metal,True
gsk356278,10252640.0,10.781038,-1.185909,10252640,gsk356278,False,0.0,,No metal,True
salinomycin,3085092.0,7.5351553,3.7864792,3085092,salinomycin,False,0.0,,No metal,True
riodoxol,152256.0,7.9905934,1.5818801,152256,riodoxol,False,0.0,,No metal,True
umeclidinium,11519070.0,11.539327,0.39442927,11519070,umeclidinium,False,0.0,,No metal,True
a922500,24768273.0,9.327115,1.1510509,24768273,a922500,False,0.0,,No metal,True
dextran,5460037.0,7.4247465,2.2597501,5460037,dextran,False,0.0,,No metal,True
pf-4191834,24986635.0,10.804814,-0.9854986,24986635,pf-4191834,False,0.0,,No metal,True
