name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
be-2254,86308637.0,-3.300276,5.2703123,86308637,be-2254,False,0.0,,No metal,True
tasimelteon,10220503.0,-0.015905099,10.043601,10220503,tasimelteon,False,0.0,,No metal,True
esaxerenone,25052023.0,0.15769745,0.8099398,25052023,esaxerenone,False,0.0,,No metal,True
ixazomib-citrate,69040311.0,0.11083701,7.01108,69040311,ixazomib-citrate,False,0.0,,No metal,True
alendronate,44400013.0,2.149121,9.023217,44400013,alendronate,False,0.0,,No metal,True
dazmegrel,53555.0,-0.65329427,-0.48489133,53555,dazmegrel,False,0.0,,No metal,True
nobiletin,72344.0,-0.14589211,1.1144856,72344,nobiletin,False,0.0,,No metal,True
azd7986,118253852.0,-0.7036499,1.0732418,118253852,azd7986,False,0.0,,No metal,True
bebt-908,59474330.0,0.20159993,2.0228527,59474330,bebt-908,False,0.0,,No metal,True
nitromide,4511.0,-0.7322613,9.20026,4511,nitromide,False,0.0,,No metal,True
saroglitazar,60151560.0,0.73738253,0.9904721,60151560,saroglitazar,False,0.0,,No metal,True
l-368899,9872389.0,0.18123081,6.9700785,9872389,l-368899,False,0.0,,No metal,True
betamethasone-valerate,16533.0,1.1645255,7.4166017,16533,betamethasone-valerate,False,0.0,,No metal,True
2-methylimidazole,12749.0,-0.9272117,10.76582,12749,2-methylimidazole,False,0.0,,No metal,True
pnu-282987,9795278.0,-0.13270222,10.243255,9795278,pnu-282987,False,0.0,,No metal,True
kx2-391,23635314.0,0.07289195,0.6553226,23635314,kx2-391,False,0.0,,No metal,True
asivatrep,56649347.0,-1.643016,4.6673965,56649347,asivatrep,False,0.0,,No metal,True
diclofenac,3033.0,-3.8761578,4.8624134,3033,diclofenac,False,0.0,,No metal,True
emeramide,21133161.0,-0.708204,8.955778,21133161,emeramide,False,0.0,,No metal,True
hemado,10981286.0,-1.591014,6.152146,10981286,hemado,False,0.0,,No metal,True
proadifen,4910.0,-2.462529,4.1769423,4910,proadifen,False,0.0,,No metal,True
simvastatin,54454.0,1.7647945,7.464286,54454,simvastatin,False,0.0,,No metal,True
gabexate,3447.0,-0.013233839,8.392869,3447,gabexate,False,0.0,,No metal,True
cis-aconitic-acid,643757.0,2.5573575,9.1475,643757,cis-aconitic-acid,False,0.0,,No metal,True
thioperamide,6604452.0,2.914914,7.864267,6604452,thioperamide,False,0.0,,No metal,True
methicillin,6087.0,-0.23407619,8.373215,6087,methicillin,False,0.0,,No metal,True
capadenoson,9936489.0,2.3542602,1.7554185,9936489,capadenoson,False,0.0,,No metal,True
fluvoxamine,5324346.0,0.41312152,8.992327,5324346,fluvoxamine,False,0.0,,No metal,True
cp-316819,10273347.0,-0.46855012,0.93987536,10273347,cp-316819,False,0.0,,No metal,True
bay-11-7085,5353432.0,0.007868892,10.117116,5353432,bay-11-7085,False,0.0,,No metal,True
capsazepine,2733484.0,-2.8354461,4.995981,2733484,capsazepine,False,0.0,,No metal,True
montelukast,5281040.0,1.5527092,1.8015904,5281040,montelukast,False,0.0,,No metal,True
cgp-52411,1697.0,-0.32575023,0.26891714,1697,cgp-52411,False,0.0,,No metal,True
sym-2206,92209239.0,-2.4352024,5.2157207,92209239,sym-2206,False,0.0,,No metal,True
pac-1,9675990.0,-1.9939941,5.036384,9675990,pac-1,False,0.0,,No metal,True
tenofovir-disoproxil,5481350.0,-0.12259545,5.8795595,5481350,tenofovir-disoproxil,False,0.0,,No metal,True
relebactam,44129647.0,1.9056022,8.607127,44129647,relebactam,False,0.0,,No metal,True
cerulenin,5282054.0,2.7917926,8.540608,5282054,cerulenin,False,0.0,,No metal,True
