name,pubchem_cid,UMAP1,UMAP2
be-2254,86308637.0,-3.300276,5.2703123
tasimelteon,10220503.0,-0.015905099,10.043601
esaxerenone,25052023.0,0.15769745,0.8099398
ixazomib-citrate,69040311.0,0.11083701,7.01108
alendronate,44400013.0,2.149121,9.023217
dazmegrel,53555.0,-0.65329427,-0.48489133
nobiletin,72344.0,-0.14589211,1.1144856
azd7986,118253852.0,-0.7036499,1.0732418
bebt-908,59474330.0,0.20159993,2.0228527
nitromide,4511.0,-0.7322613,9.20026
saroglitazar,60151560.0,0.73738253,0.9904721
l-368899,9872389.0,0.18123081,6.9700785
betamethasone-valerate,16533.0,1.1645255,7.4166017
2-methylimidazole,12749.0,-0.9272117,10.76582
pnu-282987,9795278.0,-0.13270222,10.243255
kx2-391,23635314.0,0.07289195,0.6553226
asivatrep,56649347.0,-1.643016,4.6673965
diclofenac,3033.0,-3.8761578,4.8624134
emeramide,21133161.0,-0.708204,8.955778
hemado,10981286.0,-1.591014,6.152146
proadifen,4910.0,-2.462529,4.1769423
simvastatin,54454.0,1.7647945,7.464286
gabexate,3447.0,-0.013233839,8.392869
cis-aconitic-acid,643757.0,2.5573575,9.1475
thioperamide,6604452.0,2.914914,7.864267
methicillin,6087.0,-0.23407619,8.373215
capadenoson,9936489.0,2.3542602,1.7554185
fluvoxamine,5324346.0,0.41312152,8.992327
cp-316819,10273347.0,-0.46855012,0.93987536
bay-11-7085,5353432.0,0.007868892,10.117116
capsazepine,2733484.0,-2.8354461,4.995981
montelukast,5281040.0,1.5527092,1.8015904
cgp-52411,1697.0,-0.32575023,0.26891714
sym-2206,92209239.0,-2.4352024,5.2157207
pac-1,9675990.0,-1.9939941,5.036384
tenofovir-disoproxil,5481350.0,-0.12259545,5.8795595
relebactam,44129647.0,1.9056022,8.607127
cerulenin,5282054.0,2.7917926,8.540608
gr-135531,4284525.0,-2.9758172,5.774575
pipotiazine-palmitate,37767.0,1.2865082,6.189056
erlotinib,176870.0,-0.12664141,1.16434
farnesyl-thiosalicylic-acid-amide,25187973.0,1.6258749,6.7465835
losmapimod,11552706.0,-2.5611475,4.9004154
ru-42173,3086576.0,-3.4218745,5.9308915
(r)-baclofen,6918881.0,-0.8401204,9.842445
raloxifene,5035.0,2.5902917,1.3292755
butaprost,5311035.0,1.4059168,7.0530615
aee788,10297043.0,2.8661702,1.3061895
thiamet-g,24808478.0,2.13547,9.06104
mek1-2-inhibitor,54483521.0,-2.883912,5.013413
abamectin,6858005.0,0.786092,5.7164373
gsk356278,10252640.0,2.6624339,1.8614452
salinomycin,3085092.0,0.77481234,6.0362115
riodoxol,152256.0,0.16809556,9.818859
umeclidinium,11519070.0,15.301702,3.9629164
a922500,24768273.0,0.42150483,0.72519135
dextran,5460037.0,0.46389893,6.1533737
pf-4191834,24986635.0,-0.032580353,0.20307246
ursodeoxycholyltaurine,9848818.0,0.99924034,7.3394756
ethynodiol-diacetate,9270.0,2.341349,7.4201536
oxyclozanide,16779.0,-3.019553,4.214378
cb-5083,73051434.0,3.1758273,1.6779186
pindolol-(-),688095.0,-3.3984172,5.3851295
ambrisentan,6918493.0,-0.14343892,0.5226611
sevoflurane,5206.0,3.442453,8.082492
sulfacarbamide,11033.0,-1.2689307,8.919618
r306465,10309899.0,-0.773217,1.1502466
dimethyl-fumarate,637568.0,3.3101249,8.761007
relugolix,10348973.0,2.016886,2.3275075
mirabegron,9865528.0,-0.48598638,1.130984
sasapyrine,5161.0,-3.2968464,5.766788
gdc-0927,87055263.0,0.45824245,0.9977359
gnf-2,5311510.0,-0.27167955,0.6430216
mln0128,45375953.0,3.2768965,1.8583885
atropine-oxide,,-0.05011137,9.239068
buclizine,3246096.0,0.80470467,-0.0203114
bremelanotide,,0.7894534,5.0016103
decamethoxine,,16.287558,3.8196073
mofegiline,6437850.0,-0.17280751,10.536403
cefditoren-pivoxil,6437877.0,-0.08458802,5.9559464
bix-02189,,0.18520907,0.6491132
ly344864,5311097.0,-0.13756013,-0.36172318
fenebrutinib,86567195.0,1.9866481,2.0230026
shikimic-acid,11332752.0,2.424371,9.270362
tegaserod,135409453.0,-2.499266,5.4317956
apramycin,3081545.0,0.46886432,6.140128
alizarin,6293.0,-3.5228193,5.9096737
azd3965,10369242.0,-0.3986844,1.4450091
cid-5458317,,-3.5640664,5.069969
roflumilast,449193.0,-2.3846958,4.230016
ssr128129e,11347895.0,-0.8641588,0.11750976
ombrabulin,6918405.0,-1.4525493,5.4637294
deferiprone,2972.0,-1.0858139,10.55948
cevimeline,18642481.0,3.235284,8.190571
tc-f-2,25198728.0,2.7803783,2.717609
gsk269962,16095342.0,2.003541,2.3506088
cgp-54626,197584.0,0.3820261,8.57963
ticlopidine,5472.0,-4.0177913,4.3127403
dofequidar,9960287.0,2.9113517,1.4526036
tgx-221,51601993.0,-0.47867408,0.201997
rs-100329,3567002.0,-2.12251,5.1513667
sa-47,9840648.0,-0.122518025,8.685529
olopatadine,5281071.0,-2.9994936,4.6375594
khellin,3828.0,-0.7602457,-0.6408253
osi-930,9868037.0,2.8744478,1.2322626
ammonium-lactate,10313098.0,2.8439846,9.271005
azd4573,124155204.0,-2.2842393,4.904917
cefoselis,9830520.0,-0.19545244,6.161176
isoflurane,4369440.0,3.472941,8.145906
cp-775146,10410059.0,-2.3334644,4.2077866
n-methylpyrrolidone,13387.0,3.4959557,8.716881
clomifene,1548955.0,0.8015016,0.093064055
minerval,11066464.0,1.5732633,6.6896076
pifithrin-alpha,4817.0,-3.760601,5.0085216
way-161503,6604916.0,-0.4926746,9.987499
palonosetron,6337614.0,0.23095167,10.075059
quinethazone,6604207.0,-0.838938,9.010128
xe-991,656732.0,3.4974103,1.1804701
megestrol,19090.0,2.5720758,7.4986315
ac-7954-(+/-),10937426.0,-3.410695,4.188469
edonerpic-maleate,9901946.0,-3.291017,4.7075787
norcyclobenzaprine,9918.0,-3.8455298,4.2757344
tucatinib,51039094.0,2.4328158,2.5661266
ldn-209929,46871867.0,-0.15200016,-0.20474516
fosfructose,84951.0,1.5531365,8.771774
liothyronine,7048703.0,-1.419598,4.4291697
deoxycorticosterone-acetate,5952.0,2.3106742,7.4257703
ganetespib,135564985.0,3.3410723,1.7482547
epirizole,3242.0,-3.58306,5.8200464
opc-21268,114904.0,-2.1159475,4.8105354
acrivastine,5284514.0,-2.795845,4.34994
gsk1070916,46885626.0,2.4582791,2.6286943
zolmitriptan,60857.0,-3.3011103,5.410817
"2,4-dinitrochlorobenzene",6.0,-0.62007654,10.052166
astragaloside-a,13943299.0,0.87683254,5.467735
chir-98014,53396311.0,2.3371983,1.8902191
dizocilpine-(+),180081.0,-4.4004755,5.0818434
amineptine,38988248.0,-2.78759,4.463933
lb42708,10099206.0,2.6019955,2.7171588
p-dimethylinamyl-benzoate,26890.0,0.32316145,9.723491
tc2559,9823180.0,-0.12793307,9.89619
anisindione,2197.0,-4.0630107,5.0812273
dmh1,50997747.0,2.817964,2.7042358
butabindide,9817923.0,-0.08874297,9.115507
way-100635,5684.0,-2.0982187,4.5721684
pivmecillinam,,1.3297125,7.709174
lercanidipine,9809926.0,0.9013735,1.93048
asp-9521,25210792.0,-3.076349,5.2093525
sb-452533,9842609.0,-2.7722094,4.495124
resibufogenin,6917974.0,0.40733108,9.472199
vinburnine,71203.0,-4.047459,4.4335723
kl-001,1367681.0,3.301676,1.5891876
fenspiride,3344.0,-0.274043,10.018453
rimcazole,53389.0,-0.17000578,-0.5828204
cgp-78608,6604872.0,-2.4441535,6.028838
mn-64,2802462.0,-0.30046842,-0.78160113
liraglutide,16153050.0,1.0944667,4.731649
inarigivir,,-0.07979733,5.9856663
bexagliflozin,25195624.0,-1.2720475,5.538881
cinobufotalin,259776.0,0.75699085,7.7982492
alisertib,24771867.0,2.378956,1.6326834
butibufen,71314316.0,0.25891054,10.06839
miridesap,125516.0,1.9604014,8.437276
efaroxan,11957548.0,-0.4030771,10.232519
am-580,2126.0,-3.0379734,4.2013297
l-152804,969478.0,0.43546048,9.59515
a61603,6604803.0,-0.5135946,8.878683
tangeritin,68077.0,-0.21308607,0.8450323
kaempferol,5280863.0,-1.1730003,0.35015178
nialamide,4472.0,-2.6476603,5.7831945
efatutazone,76962475.0,2.4103286,1.6747644
doxercalciferol,46931009.0,2.0474973,7.039718
pf-06273340,66571548.0,2.637202,1.92304
cintirorgon,124126348.0,0.8318363,1.5588975
neridronic-acid,71237.0,1.9724241,8.911512
tyrphostin-ag-99,5328768.0,-1.2110157,9.103087
nampt-in-1,92044379.0,-1.782574,5.556617
vanillylacetone,31211.0,-0.46100193,10.232312
nsc-663284,379077.0,-0.28556857,9.07305
sitaxentan,216235.0,-0.16537178,1.2339375
osemozotan,198747.0,-2.2877321,4.8394265
drofenine,38988270.0,0.5619681,9.306516
semapimod,492132.0,0.52939415,5.342743
erteberel,10286159.0,-3.6583002,4.990945
inc-280,25145656.0,2.9424043,2.6194155
acoziborole,44178354.0,-3.1851537,5.1655273
merimepodib,153241.0,-0.09370111,1.5381318
bqu57,,-3.2196333,5.064159
cnx-2006,56968072.0,0.32157862,1.8546989
s63845,122197581.0,1.8247668,2.658579
estrone,5870.0,0.35780427,10.070025
fk-3311,164009.0,-2.841989,4.867742
tubocurarine,6000.0,15.319859,3.9448104
clinofibrate,,-1.7070698,4.407301
indirubin,,-3.6624537,5.6198263
droxidopa,92974.0,-1.2570614,8.651926
amphotericin-b,91827561.0,0.89307195,5.4014397
s18986,637863.0,-0.6821622,10.216973
luzindole,122162.0,-0.414605,-0.41421226
posaconazole,468595.0,1.9402674,2.4793158
diphemanil,6127.0,15.228395,4.029846
methoxyamine,4113.0,3.4150295,9.021067
perphenazine,4748.0,-2.4969687,4.3208556
ap-18,9584673.0,0.120000504,10.352035
isoleucine,76551.0,3.1165247,8.8844795
vlx600,6806409.0,3.3690596,1.8019313
lamivudine,60825.0,-1.050517,9.036563
hemomex-s,11468733.0,1.9469578,7.0910673
baloxavir-marboxil,124081896.0,-0.046801437,1.6471859
allylestrenol,235905.0,2.6736271,7.428576
fulvestrant,57300161.0,1.4077315,6.324591
rwj-21757,135410906.0,-1.606453,6.563658
ttp-22,1536915.0,-0.21390496,-0.08557737
jnj-26990990,11687376.0,-3.6355262,5.946967
taurocholate,6675.0,0.8353514,7.3322816
acy-1215,53340666.0,0.17328218,1.4453105
aniracetam,2196.0,-0.4651548,10.383731
nocodazole,4122.0,-0.8799927,0.035877425
tenofovir,464205.0,-2.3679848,6.2617154
opicapone,135565903.0,-0.5035197,1.265618
trans-2-undecenoic-acid,5282728.0,2.9661875,8.283543
brefeldin-a,5287620.0,2.4101796,7.9709816
xibenolol,12179892.0,-0.11547924,9.644918
plx647,11545419.0,3.4372687,1.1965158
ak-7,1328033.0,-2.6877704,4.36212
bi-2536,11364421.0,-1.2051586,5.1301737
d-delta-tocopherol,92094.0,1.533441,6.4497886
yk-4-279,93948843.0,-2.739281,5.1096177
ha-130,46911532.0,-0.04788937,1.2174728
pd-407824,4369491.0,3.410726,1.6683012
bx-912,11754511.0,-0.21308672,1.3242104
itopride,3792.0,-2.1853707,4.733546
azm-475271,5330175.0,0.2189987,1.1585184
cilazapril,56330.0,0.09609733,8.166243
methylprednisolone-sodium-succinate,16923.0,0.8210229,7.359818
benfluralin,2319.0,0.36612767,9.012233
"cp-105,696",9867257.0,0.56657445,0.46294048
nedocromil,50294.0,-0.6949022,0.82117796
l-ergothioneine,3037043.0,14.977409,4.2624273
ikk-2-inhibitor,2807869.0,-3.682732,5.891431
modaline,17860.0,-0.4197169,10.586796
ite,4668801.0,-0.8081665,-0.31094888
istaroxime,9841834.0,1.9256947,7.657707
antimonyl,,-0.09451454,7.217558
ro-90-7501,824226.0,3.2551653,1.927428
edelfosine,6610230.0,15.429219,3.8725796
t-5601640,9438169.0,-0.0029752369,0.43333063
3-mppi,4013695.0,3.1499345,1.7630349
asunaprevir,16076883.0,0.2813115,5.4981394
geniposide,107848.0,1.3418119,8.5251665
jnj-38877605,46911863.0,2.9718678,2.6291022
treprostinil,6918140.0,0.4185163,7.991309
morphothiadin,129387808.0,-1.6696796,5.154927
shp099,118238298.0,-2.813903,5.2140703
fimasartan,9870652.0,2.5630734,1.6130382
amfenac,2136.0,-3.3458405,5.693086
bismuth(iii)-trifluoromethanesulfonate,,1.3567836,7.728771
mirin,137319711.0,-0.8080439,9.696631
urb597,1383884.0,-2.7795873,4.98369
atiprimod,129869.0,1.8685249,6.8166385
cyacetacide,8820.0,3.0772874,9.25787
(r)-(-)-apomorphine,6005.0,-3.7280211,5.5801206
a12b4c3,,-0.9480048,4.882441
sodium-nitrite,129009887.0,3.3085003,9.185508
iododexetimide,14479849.0,-2.5348344,4.4407854
ly404187,66857735.0,-2.8340065,4.6192822
fgin-1-27,132496.0,0.961687,0.6872235
apy0201,56927660.0,3.124002,1.7117018
ethoxzolamide,3295.0,-3.334927,6.0420084
methyl-aminolevulinate,157922.0,2.8554928,9.029867
inx-08189,49862762.0,0.6522873,2.3456519
nhi-2,51355147.0,-0.10711186,-0.4704371
letrozole,3902.0,-0.77243006,-0.49665424
dorsomorphin,11524144.0,3.2579563,1.3643737
nadifloxacin,9850038.0,-2.7912295,5.5585256
skf-81297,11957706.0,-3.5576193,5.6315804
tolonium,91311512.0,15.120519,4.1347613
corticosterone,5753.0,2.038788,7.760051
kpt-276,71496742.0,-2.911798,4.3314695
mozavaptan,11441742.0,0.5774334,0.3415012
ac-186,71245042.0,-3.7295616,4.190703
dspc,5313335.0,15.416982,3.8717222
kifunensine,130611.0,1.9231008,9.238071
gdc-0941,17755052.0,2.7311904,1.9712327
oxyphenbutazone,448033.0,-3.0697393,4.78285
ec-144,11517212.0,-0.5526791,0.88364094
phenacaine,7588.0,-3.1391277,4.2214727
ravuconazole,467825.0,3.0187902,1.5467465
bms-ccr2-22,24801690.0,-0.9170061,5.0339503
act-132577,25099191.0,-0.16477196,1.6603315
kme-4,6438990.0,0.41186044,9.901894
ostarine,11326715.0,-2.1476943,5.321779
incb-3284,,-1.2382127,5.154414
cu-t12-9,91826088.0,-0.044811033,-0.08957161
sulbutiamine,3002120.0,0.20091681,5.5831056
ilaprazole,76968095.0,3.433268,1.5747204
tacedinaline,2746.0,-3.0806367,5.778966
nbi-98782,14580381.0,0.25019,9.469413
clenbuterol,688428.0,-0.23923804,9.741199
galidesivir,10445549.0,-1.7542884,6.6122026
tg-003,1893668.0,0.13961741,10.073654
valrocemide,6918293.0,2.8747163,8.59166
bosutinib,5328940.0,0.40847638,1.6140264
parachlorophenol,4684.0,-0.5774049,10.854618
pyridoxamine,11205997.0,-1.323507,9.314016
plurisin-1,225362.0,-3.7825534,5.823901
fenbufen,3335.0,-3.6464946,4.9379
propranolol-(s),91536.0,-3.492067,5.29467
itx3,1362865.0,2.9895122,2.5881958
sodium-danshensu,179536.0,-1.3504682,8.919535
lupanine,91471.0,3.1248772,7.9429655
isodibut,145949.0,-3.5607176,5.312725
eliprodil,9798372.0,-3.2321844,4.274192
gw-542573x,24885053.0,0.31329465,9.069061
ttnpb,5289501.0,-3.3001354,4.0380282
riociguat,11304743.0,2.8064086,1.9501774
scopine,,3.3948374,8.809395
ko143,10322450.0,-1.6302651,5.0663867
indium(iii)-isopropoxide,,3.1315293,8.786232
pf-04620110,,-1.9654065,5.4532757
e7449,135565981.0,-0.9287796,0.073264614
benzoylpas,10718.0,-3.1124961,5.793992
sj-733,89508529.0,0.29408342,0.5393061
fosfluconazole,214356.0,-0.78452855,1.0740739
istradefylline,5311037.0,-0.57225126,0.41431552
amcasertib,122412734.0,2.2101247,1.6939112
moxidectin,9832912.0,0.81704503,6.8967514
ono-ae3-208,92978378.0,0.2667702,0.6599848
sb-415286,4210951.0,-2.1725698,5.654545
tboa-(dl),90479771.0,-0.29669014,6.0782747
cc-115,58298318.0,-2.133646,5.9427323
azd5069,56645576.0,-1.0755255,5.528989
blonanserin,125564.0,-3.2695286,4.102337
bp-554,134117.0,-2.6686554,4.5698495
jhw-007,,-3.092648,3.9895778
diethylcarbamazine,3052.0,3.3193438,8.566047
glesatinib,25181472.0,2.0486407,2.482017
ursolic-acid,64945.0,2.1064672,7.1642146
vesamicol,659840.0,0.21985243,10.206243
alovudine,33039.0,-1.0846362,9.275654
pilocarpine,5910.0,-0.49985287,10.337368
purvalanol-a,456214.0,-0.25212812,1.03751
benzethonium,2335.0,15.330762,3.9418604
mefloquine,40692.0,-3.067521,4.20511
deoxyarbutin,11521237.0,-0.30419838,10.264332
ly3214996,121408882.0,-0.33537534,1.409013
ns-11021,24825677.0,0.4786691,0.70598876
monocrotaline,9415.0,2.0780377,8.644876
masoprocol,688035.0,-2.638046,5.4144564
squalamine,72495.0,0.7789388,6.1959558
mc1568,71311876.0,-3.133387,5.3738394
targinine,46906075.0,2.2764251,9.08499
xanthone,7020.0,-0.6708626,-0.8294133
alantolactone,72724.0,3.143496,7.8760533
mibampator,9889366.0,-1.7533605,4.934874
karenitecin,148202.0,-0.030844642,0.50276864
sbe-13,4719406.0,0.5005232,1.1224834
ozolinone,76959758.0,2.7618968,8.4949045
kw-3902,,-2.878617,4.9417233
abt-491,154087.0,2.6986005,2.7160554
nonivamide,2998.0,0.4132957,8.934701
chiniofon,1550821.0,-3.295065,5.9816666
carbendazim,25429.0,-3.9462862,5.9644074
mercaptopurine,667490.0,-4.0563283,6.073401
6-aminopenicillanic-acid,7057887.0,2.6527033,9.104152
acriflavine,452192.0,15.250915,3.996662
linezolid,441401.0,-0.16735859,9.09044
trichlormethiazide,12444480.0,-0.5665116,8.655126
2-thiouracil,1269845.0,-1.3810935,10.17342
methantheline,4097.0,15.264909,3.9932528
3-indolebutyric-acid,8617.0,-3.9776635,5.4501233
dehydrocorydaline,34781.0,15.25682,3.998157
nu-2058,4564.0,-3.195489,6.078699
tmn-355,44249042.0,-0.048117757,-0.3359323
dixyrazine,9932302.0,-1.9752419,4.584271
isosorbide-mononitrate,27661.0,2.4113984,8.963177
alosetron,2099.0,-0.67128885,-0.63320637
editol,7014872.0,1.9897133,8.738071
s-38093,70941112.0,0.04150291,9.450321
gsk2816126,68210102.0,2.4597614,1.6393061
thiorphan,4369380.0,-0.6683972,9.185091
antalarmin,177990.0,0.7505573,-0.082604095
hydroxychloroquine,12947.0,-2.2518113,4.6813107
hematoxylin,442514.0,-2.5665193,6.057323
tetramisole,26879.0,-0.3048294,10.537348
slv-319-(+/-),9826744.0,0.44549182,0.4717172
sapacitabine,153970.0,0.7725395,6.328667
ataluren,11219835.0,-0.6978857,-0.4404039
l-glutamine,6992086.0,2.5808196,9.239697
prima1,322968.0,2.7446625,9.116726
filanesib,44224257.0,-2.1271703,4.6772704
ml133,781301.0,-0.06673458,-0.56668514
ouabain,11527152.0,0.06868705,6.36498
retapamulin,,1.4765382,7.4095583
tazobactam,123630.0,-0.852787,8.983374
tradipitant,9916461.0,2.3135145,2.4800963
dpi-201106,10389826.0,2.836459,1.4321539
m-chlorophenylbiguanide,1354.0,-1.1434457,9.59615
metacresol,342.0,-0.7099766,10.865051
lobenzarit,3946.0,-2.974392,5.399829
butalbital,2481.0,2.803317,8.63735
cgp-74514,2794188.0,-0.44107744,0.882125
lanifibranor,68677842.0,3.1061687,1.3590223
ginkgolide-a,,0.14589116,7.4388695
cs-110266,123692.0,-3.8077486,4.08176
vu0155069,25105713.0,3.173554,1.3742684
lapatinib,208908.0,2.0547583,2.470744
fidaxomicin,10034073.0,0.811959,5.5437336
beta-glycerophosphoric-acid,2526.0,2.347897,9.179787
l-arginine,6322.0,2.2509327,9.086742
dipivefrine,969492.0,0.16007678,8.728102
phthalylsulfacetamide,8574.0,-2.245261,5.803361
flumethasone,16490.0,1.6391875,7.8608756
n-salicoylaminophenol,4602.0,-3.5482645,5.8358297
ch5132799,49784945.0,-1.7973826,5.8615155
ckd-712,9861304.0,-0.5862242,-0.26445022
md-920,6466.0,1.751535,7.9742713
ns-3623,9954236.0,-0.16033457,0.5413124
clobenpropit,2790.0,-2.6985261,5.2075953
omtriptolide,6918522.0,0.8688477,7.474317
bms-649,127019.0,-2.9794533,4.1484427
norfloxacin,6919051.0,-3.022014,5.8423924
carsalam,16258.0,-4.0710588,6.055822
pf-04691502,,-0.539521,1.409473
ncs-382,6604757.0,-0.5757341,9.986944
ggti-298,9811606.0,0.14283866,1.5115914
siponimod,44599207.0,0.91382015,1.0840989
bms-817378,44137813.0,2.1586528,1.8600354
diftalone,30717.0,-4.284731,5.1798015
doconexent-ethyl-ester,9831416.0,1.7054139,6.5402446
hycanthone,3634.0,-0.25283343,0.25902346
molindone,6604347.0,-0.123850636,9.862917
cedrol-(+),65575.0,3.1926632,7.868188
dexchlorpheniramine,33036.0,-3.7397828,4.1853085
cb-03-01,11750009.0,1.771113,7.562525
bilobalide,73581.0,1.9919544,8.6705065
